score_type,source_1,source_2,n_common_images,pearson_r,pearson_p,spearman_r,spearman_p,icc_2_1_absolute_agreement,icc_3_1_consistency
alignment_score,Sys_RAEv2_ref,User_JiTfdloss_1,234,0.1348,0.039311,0.1678,0.010121,0.128,0.1343
alignment_score,Sys_RAEv2_ref,User_JiTfdloss_2,250,0.1559,0.013606,0.1335,0.034933,0.1464,0.1546
alignment_score,Sys_RAEv2_ref,User_JiTfdloss_3,250,0.1455,0.021417,0.1354,0.032382,0.1372,0.1446
alignment_score,User_JiTfdloss_1,User_JiTfdloss_2,484,0.7943,0.0,0.7981,0.0,0.7937,0.7941
alignment_score,User_JiTfdloss_1,User_JiTfdloss_3,484,0.8222,0.0,0.824,0.0,0.8221,0.8222
alignment_score,User_JiTfdloss_2,User_JiTfdloss_3,500,0.826,0.0,0.8348,0.0,0.8263,0.826
authenticity_score,Sys_RAEv2_ref,User_JiTfdloss_1,234,0.0319,0.627217,0.0507,0.440407,0.0299,0.0317
authenticity_score,Sys_RAEv2_ref,User_JiTfdloss_2,250,0.1024,0.106194,0.1064,0.093107,0.0962,0.1011
authenticity_score,Sys_RAEv2_ref,User_JiTfdloss_3,250,0.077,0.224847,0.0906,0.15325,0.071,0.0759
authenticity_score,User_JiTfdloss_1,User_JiTfdloss_2,484,0.7351,0.0,0.7331,0.0,0.7354,0.735
authenticity_score,User_JiTfdloss_1,User_JiTfdloss_3,484,0.7689,0.0,0.7648,0.0,0.7684,0.7688
authenticity_score,User_JiTfdloss_2,User_JiTfdloss_3,500,0.7278,0.0,0.728,0.0,0.7272,0.7277
