image_id,source,alignment_score,authenticity_score,class_id,alignment_norm,authenticity_norm,composite_product_perimage,composite_harmonic_perimage
0,User_JiTfdloss_1,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
0,User_JiTfdloss_2,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
0,User_JiTfdloss_3,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
0,Sys_RAEv2_ref,4.65,2.85,4,0.93,0.5700000000000001,0.5301000000000001,0.7068000000000002
1,User_JiTfdloss_1,4.44,2.0,4,0.8880000000000001,0.4,0.35520000000000007,0.5515527950310559
1,User_JiTfdloss_2,5.0,2.0,4,1.0,0.4,0.4,0.5714285714285715
1,User_JiTfdloss_3,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
1,Sys_RAEv2_ref,4.62,2.85,4,0.924,0.5700000000000001,0.52668,0.7050602409638553
2,Sys_RAEv2_ref,4.85,3.2,4,0.97,0.64,0.6208,0.7711801242236026
3,Sys_RAEv2_ref,4.62,3.85,4,0.924,0.77,0.71148,0.8400000000000001
4,User_JiTfdloss_1,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
4,User_JiTfdloss_2,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
4,User_JiTfdloss_3,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
4,Sys_RAEv2_ref,4.92,4.95,4,0.984,0.99,0.97416,0.9869908814589666
5,Sys_RAEv2_ref,4.65,1.5,7,0.93,0.3,0.279,0.4536585365853659
6,User_JiTfdloss_1,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
6,User_JiTfdloss_2,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
6,User_JiTfdloss_3,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
6,Sys_RAEv2_ref,4.82,3.65,7,0.9640000000000001,0.73,0.70372,0.8308382526564345
7,Sys_RAEv2_ref,4.82,3.65,7,0.9640000000000001,0.73,0.70372,0.8308382526564345
8,Sys_RAEv2_ref,4.98,4.95,7,0.9960000000000001,0.99,0.9860400000000001,0.9929909365558913
9,User_JiTfdloss_1,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
9,User_JiTfdloss_2,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
9,User_JiTfdloss_3,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
9,Sys_RAEv2_ref,1.85,2.0,7,0.37,0.4,0.148,0.3844155844155844
10,Sys_RAEv2_ref,3.85,2.75,10,0.77,0.55,0.42350000000000004,0.6416666666666667
11,User_JiTfdloss_1,4.5,3.0,7,0.9,0.6,0.54,0.7200000000000001
11,User_JiTfdloss_2,4.09,3.0,7,0.818,0.6,0.49079999999999996,0.6922425952045134
11,User_JiTfdloss_3,4.5,2.0,7,0.9,0.4,0.36000000000000004,0.5538461538461539
11,Sys_RAEv2_ref,3.85,2.15,10,0.77,0.43,0.3311,0.5518333333333334
12,User_JiTfdloss_1,4.17,4.0,7,0.834,0.8,0.6672,0.8166462668298654
12,User_JiTfdloss_2,4.17,4.0,7,0.834,0.8,0.6672,0.8166462668298654
12,User_JiTfdloss_3,4.17,4.0,7,0.834,0.8,0.6672,0.8166462668298654
12,Sys_RAEv2_ref,4.12,1.5,10,0.8240000000000001,0.3,0.2472,0.43985765124555154
13,User_JiTfdloss_1,5.0,4.0,7,1.0,0.8,0.8,0.888888888888889
13,User_JiTfdloss_2,5.0,4.0,7,1.0,0.8,0.8,0.888888888888889
13,User_JiTfdloss_3,5.0,4.0,7,1.0,0.8,0.8,0.888888888888889
13,Sys_RAEv2_ref,4.65,1.5,10,0.93,0.3,0.279,0.4536585365853659
14,User_JiTfdloss_1,4.09,2.0,7,0.818,0.4,0.3272,0.5372742200328408
14,User_JiTfdloss_2,4.09,3.0,7,0.818,0.6,0.49079999999999996,0.6922425952045134
14,User_JiTfdloss_3,4.09,2.0,7,0.818,0.4,0.3272,0.5372742200328408
14,Sys_RAEv2_ref,2.15,1.85,10,0.43,0.37,0.1591,0.39774999999999994
15,Sys_RAEv2_ref,3.85,1.5,25,0.77,0.3,0.23099999999999998,0.4317757009345794
16,Sys_RAEv2_ref,4.85,4.92,25,0.97,0.984,0.95448,0.976949846468782
17,Sys_RAEv2_ref,4.15,3.85,25,0.8300000000000001,0.77,0.6391000000000001,0.7988750000000001
18,User_JiTfdloss_1,5.0,3.0,7,1.0,0.6,0.6,0.7499999999999999
18,User_JiTfdloss_2,4.29,2.0,7,0.858,0.4,0.3432,0.5456279809220985
18,User_JiTfdloss_3,5.0,2.0,7,1.0,0.4,0.4,0.5714285714285715
18,Sys_RAEv2_ref,4.85,4.72,25,0.97,0.944,0.9156799999999999,0.9568234064785789
19,Sys_RAEv2_ref,4.35,1.5,25,0.8699999999999999,0.3,0.26099999999999995,0.4461538461538461
20,User_JiTfdloss_1,5.0,5.0,10,1.0,1.0,1.0,1.0
20,User_JiTfdloss_2,4.0,4.0,10,0.8,0.8,0.6400000000000001,0.8000000000000002
20,User_JiTfdloss_3,4.0,4.0,10,0.8,0.8,0.6400000000000001,0.8000000000000002
20,Sys_RAEv2_ref,4.65,3.82,35,0.93,0.764,0.71052,0.8388665879574971
21,User_JiTfdloss_1,5.0,5.0,10,1.0,1.0,1.0,1.0
21,User_JiTfdloss_2,5.0,5.0,10,1.0,1.0,1.0,1.0
21,User_JiTfdloss_3,5.0,5.0,10,1.0,1.0,1.0,1.0
21,Sys_RAEv2_ref,1.25,3.85,35,0.25,0.77,0.1925,0.37745098039215685
22,Sys_RAEv2_ref,1.45,4.92,35,0.29,0.984,0.28536,0.44797488226059656
23,Sys_RAEv2_ref,0.42,3.65,35,0.08399999999999999,0.73,0.06131999999999999,0.15066339066339066
24,Sys_RAEv2_ref,1.25,3.85,35,0.25,0.77,0.1925,0.37745098039215685
25,Sys_RAEv2_ref,3.65,1.85,39,0.73,0.37,0.2701,0.4910909090909091
26,User_JiTfdloss_1,3.89,5.0,10,0.778,1.0,0.778,0.875140607424072
