image_id,source,alignment_score,artifact_score,class_id
0,User_VAR_500_1,5.0,3.0,4
0,User_VAR_500_2,4.44,3.0,4
0,User_VAR_500_3,5.0,3.0,4
0,Sys_VAR_noexpert_1,4.92,3.65,4
0,Sys_VAR_noexpert_2,5.0,5.0,4
0,Sys_VAR_noexpert_3,4.92,4.65,4
1,User_VAR_500_1,5.0,3.0,4
1,User_VAR_500_2,4.44,3.0,4
1,User_VAR_500_3,5.0,3.0,4
1,Sys_VAR_noexpert_1,4.92,4.65,4
1,Sys_VAR_noexpert_2,4.92,3.85,4
1,Sys_VAR_noexpert_3,4.92,4.35,4
4,User_VAR_500_1,5.0,3.0,4
4,User_VAR_500_2,5.0,3.0,4
4,User_VAR_500_3,5.0,3.0,4
4,Sys_VAR_noexpert_1,4.85,4.6,4
4,Sys_VAR_noexpert_2,4.92,4.85,4
4,Sys_VAR_noexpert_3,5.0,5.0,4
6,User_VAR_500_1,5.0,3.0,4
6,User_VAR_500_2,5.0,3.0,4
6,User_VAR_500_3,4.29,3.0,4
6,Sys_VAR_noexpert_1,5.0,5.0,4
6,Sys_VAR_noexpert_2,5.0,5.0,4
6,Sys_VAR_noexpert_3,4.85,3.2,4
9,User_VAR_500_1,5.0,3.0,4
9,User_VAR_500_2,5.0,2.0,4
9,User_VAR_500_3,4.38,2.0,4
9,Sys_VAR_noexpert_1,4.15,2.85,4
9,Sys_VAR_noexpert_2,3.85,2.9,4
9,Sys_VAR_noexpert_3,3.45,2.85,4
11,User_VAR_500_1,4.17,3.0,7
11,User_VAR_500_2,4.17,4.0,7
11,User_VAR_500_3,4.17,4.0,7
11,Sys_VAR_noexpert_1,4.35,4.1,7
11,Sys_VAR_noexpert_2,3.45,4.6,7
11,Sys_VAR_noexpert_3,3.2,4.1,7
12,User_VAR_500_1,5.0,2.0,7
12,User_VAR_500_2,4.09,3.0,7
12,User_VAR_500_3,4.09,3.0,7
12,Sys_VAR_noexpert_1,4.65,4.35,7
12,Sys_VAR_noexpert_2,3.65,3.8,7
12,Sys_VAR_noexpert_3,4.2,4.6,7
13,User_VAR_500_1,5.0,4.0,7
13,User_VAR_500_2,5.0,4.0,7
13,User_VAR_500_3,5.0,5.0,7
13,Sys_VAR_noexpert_1,4.35,4.65,7
13,Sys_VAR_noexpert_2,4.85,5.0,7
13,Sys_VAR_noexpert_3,4.35,4.65,7
14,User_VAR_500_1,5.0,3.0,7
