score_type,sys_group,human_group,sys_source,human_source,aggregation,n_common,threshold,n_positive,n_negative,auc
alignment_score,Sys_VAR_noexpert,Human_VAR_500,Sys_VAR_noexpert_1,User_VAR_500_1,individual,500,4.38,278,222,0.7969
alignment_score,Sys_VAR_noexpert,Human_VAR_500,Sys_VAR_noexpert_1,User_VAR_500_2,individual,500,4.38,254,246,0.7989
alignment_score,Sys_VAR_noexpert,Human_VAR_500,Sys_VAR_noexpert_1,User_VAR_500_3,individual,500,4.38,270,230,0.7767
alignment_score,Sys_VAR_noexpert,Human_VAR_500,Sys_VAR_noexpert_2,User_VAR_500_1,individual,500,4.38,278,222,0.8204
alignment_score,Sys_VAR_noexpert,Human_VAR_500,Sys_VAR_noexpert_2,User_VAR_500_2,individual,500,4.38,254,246,0.825
alignment_score,Sys_VAR_noexpert,Human_VAR_500,Sys_VAR_noexpert_2,User_VAR_500_3,individual,500,4.38,270,230,0.8163
alignment_score,Sys_VAR_noexpert,Human_VAR_500,Sys_VAR_noexpert_3,User_VAR_500_1,individual,500,4.38,278,222,0.8286
alignment_score,Sys_VAR_noexpert,Human_VAR_500,Sys_VAR_noexpert_3,User_VAR_500_2,individual,500,4.38,254,246,0.8265
alignment_score,Sys_VAR_noexpert,Human_VAR_500,Sys_VAR_noexpert_3,User_VAR_500_3,individual,500,4.38,270,230,0.8061
artifact_score,Sys_VAR_noexpert,Human_VAR_500,Sys_VAR_noexpert_1,User_VAR_500_1,individual,500,3.0,318,182,0.7667
artifact_score,Sys_VAR_noexpert,Human_VAR_500,Sys_VAR_noexpert_1,User_VAR_500_2,individual,500,3.0,328,172,0.7929
artifact_score,Sys_VAR_noexpert,Human_VAR_500,Sys_VAR_noexpert_1,User_VAR_500_3,individual,500,3.0,331,169,0.8113
artifact_score,Sys_VAR_noexpert,Human_VAR_500,Sys_VAR_noexpert_2,User_VAR_500_1,individual,500,3.0,318,182,0.7701
artifact_score,Sys_VAR_noexpert,Human_VAR_500,Sys_VAR_noexpert_2,User_VAR_500_2,individual,500,3.0,328,172,0.798
artifact_score,Sys_VAR_noexpert,Human_VAR_500,Sys_VAR_noexpert_2,User_VAR_500_3,individual,500,3.0,331,169,0.8171
artifact_score,Sys_VAR_noexpert,Human_VAR_500,Sys_VAR_noexpert_3,User_VAR_500_1,individual,500,3.0,318,182,0.7648
artifact_score,Sys_VAR_noexpert,Human_VAR_500,Sys_VAR_noexpert_3,User_VAR_500_2,individual,500,3.0,328,172,0.7931
artifact_score,Sys_VAR_noexpert,Human_VAR_500,Sys_VAR_noexpert_3,User_VAR_500_3,individual,500,3.0,331,169,0.8148
alignment_score,Sys_VAR_noexpert,Human_VAR_500,Sys_VAR_noexpert (avg),Human_VAR_500 (avg),group_avg,500,4.38,256,244,0.8504
artifact_score,Sys_VAR_noexpert,Human_VAR_500,Sys_VAR_noexpert (avg),Human_VAR_500 (avg),group_avg,500,3.0,292,208,0.8354
