score_type,source_1,source_2,n_common_images,pearson_r,pearson_p,spearman_r,spearman_p,icc_2_1_absolute_agreement,icc_3_1_consistency
alignment_score,Sys_VAR_noexpert_1,Sys_VAR_noexpert_2,500,0.8517,0.0,0.8303,0.0,0.8515,0.8516
alignment_score,Sys_VAR_noexpert_1,Sys_VAR_noexpert_3,500,0.8919,0.0,0.8596,0.0,0.8912,0.8918
alignment_score,Sys_VAR_noexpert_1,User_VAR_500_1,500,0.6641,0.0,0.5528,0.0,0.661,0.6606
alignment_score,Sys_VAR_noexpert_1,User_VAR_500_2,500,0.6562,0.0,0.574,0.0,0.6528,0.6528
alignment_score,Sys_VAR_noexpert_1,User_VAR_500_3,500,0.6591,0.0,0.5399,0.0,0.6569,0.6564
alignment_score,Sys_VAR_noexpert_2,Sys_VAR_noexpert_3,500,0.8663,0.0,0.8361,0.0,0.8665,0.8663
alignment_score,Sys_VAR_noexpert_2,User_VAR_500_1,500,0.6876,0.0,0.6012,0.0,0.6849,0.685
alignment_score,Sys_VAR_noexpert_2,User_VAR_500_2,500,0.6647,0.0,0.6205,0.0,0.6628,0.6624
alignment_score,Sys_VAR_noexpert_2,User_VAR_500_3,500,0.677,0.0,0.608,0.0,0.6753,0.6752
alignment_score,Sys_VAR_noexpert_3,User_VAR_500_1,500,0.6678,0.0,0.5918,0.0,0.6648,0.6653
alignment_score,Sys_VAR_noexpert_3,User_VAR_500_2,500,0.6606,0.0,0.6118,0.0,0.6587,0.6582
alignment_score,Sys_VAR_noexpert_3,User_VAR_500_3,500,0.6588,0.0,0.5822,0.0,0.6567,0.657
alignment_score,User_VAR_500_1,User_VAR_500_2,500,0.8073,0.0,0.7768,0.0,0.8067,0.8073
alignment_score,User_VAR_500_1,User_VAR_500_3,500,0.8265,0.0,0.7746,0.0,0.8267,0.8264
alignment_score,User_VAR_500_2,User_VAR_500_3,500,0.8295,0.0,0.7938,0.0,0.829,0.8294
authenticity_score,Sys_VAR_noexpert_1,Sys_VAR_noexpert_2,500,0.7811,0.0,0.7609,0.0,0.7815,0.7811
authenticity_score,Sys_VAR_noexpert_1,Sys_VAR_noexpert_3,500,0.804,0.0,0.7927,0.0,0.8043,0.804
authenticity_score,Sys_VAR_noexpert_1,User_VAR_500_1,500,0.5592,0.0,0.5505,0.0,0.4593,0.559
authenticity_score,Sys_VAR_noexpert_1,User_VAR_500_2,500,0.5647,0.0,0.5659,0.0,0.4683,0.5646
authenticity_score,Sys_VAR_noexpert_1,User_VAR_500_3,500,0.5865,0.0,0.5842,0.0,0.4958,0.5861
authenticity_score,Sys_VAR_noexpert_2,Sys_VAR_noexpert_3,500,0.8065,0.0,0.7855,0.0,0.8068,0.8065
authenticity_score,Sys_VAR_noexpert_2,User_VAR_500_1,500,0.5867,0.0,0.5723,0.0,0.4817,0.5866
authenticity_score,Sys_VAR_noexpert_2,User_VAR_500_2,500,0.6014,0.0,0.5825,0.0,0.4984,0.6013
authenticity_score,Sys_VAR_noexpert_2,User_VAR_500_3,500,0.6119,0.0,0.5992,0.0,0.5169,0.6116
authenticity_score,Sys_VAR_noexpert_3,User_VAR_500_1,500,0.5746,0.0,0.5496,0.0,0.4745,0.5745
authenticity_score,Sys_VAR_noexpert_3,User_VAR_500_2,500,0.6029,0.0,0.5825,0.0,0.5025,0.6028
authenticity_score,Sys_VAR_noexpert_3,User_VAR_500_3,500,0.6107,0.0,0.5962,0.0,0.5188,0.6104
authenticity_score,User_VAR_500_1,User_VAR_500_2,500,0.7285,0.0,0.7139,0.0,0.7288,0.7285
authenticity_score,User_VAR_500_1,User_VAR_500_3,500,0.7165,0.0,0.7079,0.0,0.7159,0.7164
authenticity_score,User_VAR_500_2,User_VAR_500_3,500,0.7662,0.0,0.7638,0.0,0.7661,0.7661
