source,alignment_norm,authenticity_norm,composite_product,composite_harmonic,alignment_norm_std,alignment_norm_se,alignment_norm_ci_low,alignment_norm_ci_high,authenticity_norm_std,authenticity_norm_se,authenticity_norm_ci_low,authenticity_norm_ci_high,composite_product_std,composite_product_se,composite_product_ci_low,composite_product_ci_high,composite_harmonic_std,composite_harmonic_se,composite_harmonic_ci_low,composite_harmonic_ci_high,composite_product_x_vendi_ratio,composite_product_x_vendi_ratio_std,composite_product_x_vendi_ratio_se,composite_product_x_vendi_ratio_ci_low,composite_product_x_vendi_ratio_ci_high,composite_product_x_vendi_ratio_train,composite_product_x_vendi_ratio_train_std,composite_product_x_vendi_ratio_train_se,composite_product_x_vendi_ratio_train_ci_low,composite_product_x_vendi_ratio_train_ci_high,composite_harmonic_x_vendi_ratio,composite_harmonic_x_vendi_ratio_std,composite_harmonic_x_vendi_ratio_se,composite_harmonic_x_vendi_ratio_ci_low,composite_harmonic_x_vendi_ratio_ci_high,composite_harmonic_x_vendi_ratio_train,composite_harmonic_x_vendi_ratio_train_std,composite_harmonic_x_vendi_ratio_train_se,composite_harmonic_x_vendi_ratio_train_ci_low,composite_harmonic_x_vendi_ratio_train_ci_high,composite_product_x_MEAN_VENDI_RATIO,composite_harmonic_x_MEAN_VENDI_RATIO,composite_product_x_MEAN_VENDI_RATIO_TRAIN,composite_harmonic_x_MEAN_VENDI_RATIO_TRAIN
Sys_VAR_noexpert_1,0.7848,0.7493,0.6168,0.7383,0.1681,0.0168,0.7514,0.8182,0.1449,0.0145,0.7205,0.7781,0.1994,0.0199,0.5772,0.6564,0.1628,0.0163,0.706,0.7706,0.6564,0.5235,0.0523,0.5525,0.7603,0.5293,0.1931,0.0193,0.491,0.5676,0.7885,0.5814,0.0581,0.6731,0.9039,0.6332,0.1754,0.0175,0.5984,0.668,0.6729,0.8054,0.5287,0.6328
Sys_VAR_noexpert_2,0.7775,0.7494,0.6112,0.7331,0.168,0.0168,0.7442,0.8108,0.1434,0.0143,0.7209,0.7779,0.2035,0.0203,0.5708,0.6516,0.1676,0.0168,0.6998,0.7664,0.6547,0.5476,0.0548,0.546,0.7634,0.5234,0.1946,0.0195,0.4848,0.562,0.7871,0.6007,0.0601,0.6679,0.9063,0.6278,0.177,0.0177,0.5927,0.6629,0.6668,0.7997,0.5239,0.6283
Sys_VAR_noexpert_3,0.7751,0.7476,0.6081,0.7328,0.1744,0.0174,0.7405,0.8097,0.1419,0.0142,0.7194,0.7758,0.2043,0.0204,0.5676,0.6486,0.1666,0.0167,0.6997,0.7659,0.6527,0.5454,0.0545,0.5445,0.7609,0.5222,0.1966,0.0197,0.4832,0.5612,0.7866,0.5986,0.0599,0.6678,0.9054,0.6279,0.1768,0.0177,0.5928,0.663,0.6634,0.7994,0.5212,0.6281
User_VAR_500_1,0.7893,0.604,0.5018,0.6448,0.1971,0.0197,0.7502,0.8284,0.1513,0.0151,0.574,0.634,0.1923,0.0192,0.4636,0.54,0.1759,0.0176,0.6099,0.6797,0.5335,0.4529,0.0453,0.4436,0.6234,0.4291,0.1755,0.0175,0.3943,0.4639,0.6907,0.5371,0.0537,0.5841,0.7973,0.5526,0.1736,0.0174,0.5182,0.587,0.5474,0.7034,0.4301,0.5527
User_VAR_500_2,0.7753,0.608,0.496,0.6408,0.1972,0.0197,0.7362,0.8144,0.1515,0.0151,0.5779,0.6381,0.1924,0.0192,0.4578,0.5342,0.1771,0.0177,0.6057,0.6759,0.5342,0.4605,0.0461,0.4428,0.6256,0.4257,0.179,0.0179,0.3902,0.4612,0.6941,0.5517,0.0552,0.5846,0.8036,0.5504,0.1777,0.0178,0.5151,0.5857,0.5411,0.6991,0.4251,0.5492
User_VAR_500_3,0.7872,0.6152,0.5066,0.6485,0.1975,0.0198,0.748,0.8264,0.1464,0.0146,0.5862,0.6442,0.1905,0.0191,0.4688,0.5444,0.176,0.0176,0.6136,0.6834,0.5432,0.4528,0.0453,0.4534,0.633,0.4356,0.1788,0.0179,0.4001,0.4711,0.6989,0.5433,0.0543,0.5911,0.8067,0.557,0.1776,0.0178,0.5218,0.5922,0.5527,0.7075,0.4342,0.5558
Sys_VAR_noexpert_AVG_STATS,0.7791,0.7488,0.612,0.7347,0.1702,0.017,0.7454,0.8129,0.1434,0.0143,0.7203,0.7773,0.2024,0.0202,0.5719,0.6522,0.1657,0.0166,0.7018,0.7676,0.6546,0.5388,0.0539,0.5477,0.7615,0.525,0.1948,0.0195,0.4863,0.5636,0.7874,0.5936,0.0594,0.6696,0.9052,0.6296,0.1764,0.0176,0.5946,0.6646,0.6677,0.8015,0.5246,0.6297
Sys_VAR_noexpert_AVG_PERCLASS,0.7791,0.7488,0.612,0.7347,0.1663,0.0166,0.7461,0.8121,0.1398,0.014,0.721,0.7765,0.1982,0.0198,0.5727,0.6514,0.1623,0.0162,0.7025,0.7669,0.6546,0.5366,0.0537,0.5481,0.7611,0.525,0.1917,0.0192,0.4869,0.563,0.7874,0.5923,0.0592,0.6699,0.9049,0.6296,0.174,0.0174,0.5951,0.6642,0.6677,0.8015,0.5246,0.6297
Human_VAR_500_AVG_STATS,0.7839,0.6091,0.5015,0.6447,0.1973,0.0197,0.7448,0.8231,0.1497,0.0149,0.5794,0.6388,0.1917,0.0192,0.4634,0.5395,0.1763,0.0176,0.6097,0.6797,0.537,0.4554,0.0456,0.4466,0.6273,0.4301,0.1778,0.0178,0.3949,0.4654,0.6946,0.544,0.0544,0.5866,0.8025,0.5533,0.1763,0.0177,0.5184,0.5883,0.5471,0.7033,0.4298,0.5526
Human_VAR_500_AVG_PERCLASS,0.7839,0.6091,0.5015,0.6447,0.1929,0.0193,0.7457,0.8222,0.1442,0.0144,0.5805,0.6377,0.187,0.0187,0.4644,0.5386,0.1723,0.0172,0.6105,0.6789,0.537,0.452,0.0452,0.4473,0.6267,0.4301,0.1738,0.0174,0.3956,0.4646,0.6946,0.542,0.0542,0.587,0.8021,0.5533,0.1732,0.0173,0.519,0.5877,0.5471,0.7033,0.4298,0.5526
