group,alignment_threshold,authenticity_threshold,probability
Sys_VAR_noexpert,0.0,0.0,1.0
Sys_VAR_noexpert,0.0,0.02,1.0
Sys_VAR_noexpert,0.0,0.04,1.0
Sys_VAR_noexpert,0.0,0.06,1.0
Sys_VAR_noexpert,0.0,0.08,1.0
Sys_VAR_noexpert,0.0,0.1,1.0
Sys_VAR_noexpert,0.0,0.12,1.0
Sys_VAR_noexpert,0.0,0.14,1.0
Sys_VAR_noexpert,0.0,0.16,1.0
Sys_VAR_noexpert,0.0,0.18,1.0
Sys_VAR_noexpert,0.0,0.2,1.0
Sys_VAR_noexpert,0.0,0.22,0.998
Sys_VAR_noexpert,0.0,0.24,0.9939999999999999
Sys_VAR_noexpert,0.0,0.26,0.9819999999999999
Sys_VAR_noexpert,0.0,0.28,0.9679999999999996
Sys_VAR_noexpert,0.0,0.3,0.9639999999999996
Sys_VAR_noexpert,0.0,0.32,0.9619999999999996
Sys_VAR_noexpert,0.0,0.34,0.9519999999999998
Sys_VAR_noexpert,0.0,0.36,0.944
Sys_VAR_noexpert,0.0,0.38,0.9259999999999998
Sys_VAR_noexpert,0.0,0.4,0.9079999999999997
Sys_VAR_noexpert,0.0,0.42,0.9039999999999996
Sys_VAR_noexpert,0.0,0.44,0.8999999999999996
Sys_VAR_noexpert,0.0,0.46,0.8899999999999996
Sys_VAR_noexpert,0.0,0.48,0.8799999999999996
Sys_VAR_noexpert,0.0,0.5,0.8699999999999994
Sys_VAR_noexpert,0.0,0.52,0.8539999999999996
Sys_VAR_noexpert,0.0,0.54,0.8359999999999996
Sys_VAR_noexpert,0.0,0.56,0.8239999999999996
Sys_VAR_noexpert,0.0,0.58,0.7979999999999996
Sys_VAR_noexpert,0.0,0.6,0.7819999999999995
Sys_VAR_noexpert,0.0,0.62,0.7699999999999996
Sys_VAR_noexpert,0.0,0.64,0.7479999999999996
Sys_VAR_noexpert,0.0,0.66,0.7199999999999998
Sys_VAR_noexpert,0.0,0.68,0.6919999999999997
Sys_VAR_noexpert,0.0,0.7,0.6679999999999999
Sys_VAR_noexpert,0.0,0.72,0.6319999999999999
Sys_VAR_noexpert,0.0,0.74,0.586
Sys_VAR_noexpert,0.0,0.76,0.5540000000000002
Sys_VAR_noexpert,0.0,0.78,0.47
Sys_VAR_noexpert,0.0,0.8,0.4439999999999999
Sys_VAR_noexpert,0.0,0.82,0.40999999999999986
Sys_VAR_noexpert,0.0,0.84,0.37799999999999995
Sys_VAR_noexpert,0.0,0.86,0.32599999999999985
Sys_VAR_noexpert,0.0,0.88,0.2979999999999999
Sys_VAR_noexpert,0.0,0.9,0.27599999999999986
Sys_VAR_noexpert,0.0,0.92,0.25199999999999995
Sys_VAR_noexpert,0.0,0.94,0.2119999999999999
Sys_VAR_noexpert,0.0,0.96,0.18799999999999994
Sys_VAR_noexpert,0.0,0.98,0.16799999999999993
Sys_VAR_noexpert,0.0,1.0,0.15599999999999992
