image_id,source,alignment_score,artifact_score,class_id,alignment_norm,artifact_norm,composite_product,composite_harmonic
0,User_VAR_500_1,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
0,User_VAR_500_2,4.44,3.0,4,0.8880000000000001,0.6,0.5328,0.7161290322580646
0,User_VAR_500_3,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
0,Sys_VAR_noexpert_1,4.92,3.65,4,0.984,0.73,0.71832,0.8381796966161027
0,Sys_VAR_noexpert_2,5.0,5.0,4,1.0,1.0,1.0,1.0
0,Sys_VAR_noexpert_3,4.92,4.65,4,0.984,0.93,0.91512,0.9562382445141066
1,User_VAR_500_1,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
1,User_VAR_500_2,4.44,3.0,4,0.8880000000000001,0.6,0.5328,0.7161290322580646
1,User_VAR_500_3,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
1,Sys_VAR_noexpert_1,4.92,4.65,4,0.984,0.93,0.91512,0.9562382445141066
1,Sys_VAR_noexpert_2,4.92,3.85,4,0.984,0.77,0.75768,0.863945267958951
1,Sys_VAR_noexpert_3,4.92,4.35,4,0.984,0.8699999999999999,0.8560799999999998,0.9234951456310678
4,User_VAR_500_1,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
4,User_VAR_500_2,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
4,User_VAR_500_3,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
4,Sys_VAR_noexpert_1,4.85,4.6,4,0.97,0.9199999999999999,0.8923999999999999,0.9443386243386243
4,Sys_VAR_noexpert_2,4.92,4.85,4,0.984,0.97,0.95448,0.976949846468782
4,Sys_VAR_noexpert_3,5.0,5.0,4,1.0,1.0,1.0,1.0
6,User_VAR_500_1,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
6,User_VAR_500_2,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
6,User_VAR_500_3,4.29,3.0,4,0.858,0.6,0.5147999999999999,0.7061728395061727
6,Sys_VAR_noexpert_1,5.0,5.0,4,1.0,1.0,1.0,1.0
6,Sys_VAR_noexpert_2,5.0,5.0,4,1.0,1.0,1.0,1.0
6,Sys_VAR_noexpert_3,4.85,3.2,4,0.97,0.64,0.6208,0.7711801242236026
9,User_VAR_500_1,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
9,User_VAR_500_2,5.0,2.0,4,1.0,0.4,0.4,0.5714285714285715
9,User_VAR_500_3,4.38,2.0,4,0.876,0.4,0.35040000000000004,0.5492163009404389
9,Sys_VAR_noexpert_1,4.15,2.85,4,0.8300000000000001,0.5700000000000001,0.4731000000000001,0.6758571428571429
9,Sys_VAR_noexpert_2,3.85,2.9,4,0.77,0.58,0.4466,0.6616296296296296
9,Sys_VAR_noexpert_3,3.45,2.85,4,0.6900000000000001,0.5700000000000001,0.3933000000000001,0.6242857142857143
11,User_VAR_500_1,4.17,3.0,7,0.834,0.6,0.5004,0.697907949790795
11,User_VAR_500_2,4.17,4.0,7,0.834,0.8,0.6672,0.8166462668298654
11,User_VAR_500_3,4.17,4.0,7,0.834,0.8,0.6672,0.8166462668298654
11,Sys_VAR_noexpert_1,4.35,4.1,7,0.8699999999999999,0.82,0.7133999999999998,0.8442603550295856
