score_type,sys_group,human_group,sys_source,human_source,aggregation,n_common,threshold,n_positive,n_negative,auc
alignment_score,Sys_VAR_noref,Human_VAR_500,Sys_VAR_noref_1,User_VAR_500_1,individual,500,4.38,278,222,0.8161
alignment_score,Sys_VAR_noref,Human_VAR_500,Sys_VAR_noref_1,User_VAR_500_2,individual,500,4.38,254,246,0.8149
alignment_score,Sys_VAR_noref,Human_VAR_500,Sys_VAR_noref_1,User_VAR_500_3,individual,500,4.38,270,230,0.7958
alignment_score,Sys_VAR_noref,Human_VAR_500,Sys_VAR_noref_2,User_VAR_500_1,individual,500,4.38,278,222,0.8166
alignment_score,Sys_VAR_noref,Human_VAR_500,Sys_VAR_noref_2,User_VAR_500_2,individual,500,4.38,254,246,0.8009
alignment_score,Sys_VAR_noref,Human_VAR_500,Sys_VAR_noref_2,User_VAR_500_3,individual,500,4.38,270,230,0.8002
alignment_score,Sys_VAR_noref,Human_VAR_500,Sys_VAR_noref_3,User_VAR_500_1,individual,500,4.38,278,222,0.8061
alignment_score,Sys_VAR_noref,Human_VAR_500,Sys_VAR_noref_3,User_VAR_500_2,individual,500,4.38,254,246,0.7817
alignment_score,Sys_VAR_noref,Human_VAR_500,Sys_VAR_noref_3,User_VAR_500_3,individual,500,4.38,270,230,0.7713
artifact_score,Sys_VAR_noref,Human_VAR_500,Sys_VAR_noref_1,User_VAR_500_1,individual,500,3.0,318,182,0.7953
artifact_score,Sys_VAR_noref,Human_VAR_500,Sys_VAR_noref_1,User_VAR_500_2,individual,500,3.0,328,172,0.8033
artifact_score,Sys_VAR_noref,Human_VAR_500,Sys_VAR_noref_1,User_VAR_500_3,individual,500,3.0,331,169,0.819
artifact_score,Sys_VAR_noref,Human_VAR_500,Sys_VAR_noref_2,User_VAR_500_1,individual,500,3.0,318,182,0.803
artifact_score,Sys_VAR_noref,Human_VAR_500,Sys_VAR_noref_2,User_VAR_500_2,individual,500,3.0,328,172,0.808
artifact_score,Sys_VAR_noref,Human_VAR_500,Sys_VAR_noref_2,User_VAR_500_3,individual,500,3.0,331,169,0.8092
artifact_score,Sys_VAR_noref,Human_VAR_500,Sys_VAR_noref_3,User_VAR_500_1,individual,500,3.0,318,182,0.7838
artifact_score,Sys_VAR_noref,Human_VAR_500,Sys_VAR_noref_3,User_VAR_500_2,individual,500,3.0,328,172,0.8198
artifact_score,Sys_VAR_noref,Human_VAR_500,Sys_VAR_noref_3,User_VAR_500_3,individual,500,3.0,331,169,0.812
alignment_score,Sys_VAR_noref,Human_VAR_500,Sys_VAR_noref (avg),Human_VAR_500 (avg),group_avg,500,4.38,256,244,0.8594
artifact_score,Sys_VAR_noref,Human_VAR_500,Sys_VAR_noref (avg),Human_VAR_500 (avg),group_avg,500,3.0,292,208,0.8817
