score_type,source_1,source_2,n_common_images,pearson_r,pearson_p,spearman_r,spearman_p,icc_2_1_absolute_agreement,icc_3_1_consistency
alignment_score,Sys_VAR_noref_1,Sys_VAR_noref_2,500,0.8367,0.0,0.723,0.0,0.8368,0.8366
alignment_score,Sys_VAR_noref_1,Sys_VAR_noref_3,500,0.8187,0.0,0.7436,0.0,0.8186,0.8187
alignment_score,Sys_VAR_noref_1,User_VAR_500_1,500,0.6765,0.0,0.5761,0.0,0.6634,0.669
alignment_score,Sys_VAR_noref_1,User_VAR_500_2,500,0.656,0.0,0.5955,0.0,0.647,0.6488
alignment_score,Sys_VAR_noref_1,User_VAR_500_3,500,0.6764,0.0,0.5608,0.0,0.6651,0.6702
alignment_score,Sys_VAR_noref_2,Sys_VAR_noref_3,500,0.8381,0.0,0.7604,0.0,0.8378,0.8381
alignment_score,Sys_VAR_noref_2,User_VAR_500_1,500,0.7038,0.0,0.6008,0.0,0.689,0.6944
alignment_score,Sys_VAR_noref_2,User_VAR_500_2,500,0.6662,0.0,0.5912,0.0,0.6559,0.6575
alignment_score,Sys_VAR_noref_2,User_VAR_500_3,500,0.6866,0.0,0.5843,0.0,0.6741,0.6788
alignment_score,Sys_VAR_noref_3,User_VAR_500_1,500,0.6449,0.0,0.5782,0.0,0.6289,0.6368
alignment_score,Sys_VAR_noref_3,User_VAR_500_2,500,0.651,0.0,0.5756,0.0,0.6395,0.643
alignment_score,Sys_VAR_noref_3,User_VAR_500_3,500,0.6398,0.0,0.5353,0.0,0.6258,0.633
alignment_score,User_VAR_500_1,User_VAR_500_2,500,0.8073,0.0,0.7768,0.0,0.8067,0.8073
alignment_score,User_VAR_500_1,User_VAR_500_3,500,0.8265,0.0,0.7746,0.0,0.8267,0.8264
alignment_score,User_VAR_500_2,User_VAR_500_3,500,0.8295,0.0,0.7938,0.0,0.829,0.8294
artifact_score,Sys_VAR_noref_1,Sys_VAR_noref_2,500,0.6443,0.0,0.6307,0.0,0.6446,0.6443
artifact_score,Sys_VAR_noref_1,Sys_VAR_noref_3,500,0.6385,0.0,0.6304,0.0,0.6386,0.6384
artifact_score,Sys_VAR_noref_1,User_VAR_500_1,500,0.6341,0.0,0.6079,0.0,0.6315,0.6332
artifact_score,Sys_VAR_noref_1,User_VAR_500_2,500,0.6399,0.0,0.6211,0.0,0.6362,0.639
artifact_score,Sys_VAR_noref_1,User_VAR_500_3,500,0.6632,0.0,0.6557,0.0,0.6575,0.6627
artifact_score,Sys_VAR_noref_2,Sys_VAR_noref_3,500,0.6343,0.0,0.6197,0.0,0.6339,0.6341
artifact_score,Sys_VAR_noref_2,User_VAR_500_1,500,0.6071,0.0,0.593,0.0,0.6057,0.6065
artifact_score,Sys_VAR_noref_2,User_VAR_500_2,500,0.6467,0.0,0.6325,0.0,0.6443,0.646
artifact_score,Sys_VAR_noref_2,User_VAR_500_3,500,0.6253,0.0,0.6128,0.0,0.6215,0.625
artifact_score,Sys_VAR_noref_3,User_VAR_500_1,500,0.6308,0.0,0.6123,0.0,0.626,0.6293
artifact_score,Sys_VAR_noref_3,User_VAR_500_2,500,0.6589,0.0,0.6439,0.0,0.6523,0.6572
artifact_score,Sys_VAR_noref_3,User_VAR_500_3,500,0.6428,0.0,0.6333,0.0,0.6344,0.6418
artifact_score,User_VAR_500_1,User_VAR_500_2,500,0.7285,0.0,0.7139,0.0,0.7288,0.7285
artifact_score,User_VAR_500_1,User_VAR_500_3,500,0.7165,0.0,0.7079,0.0,0.7159,0.7164
artifact_score,User_VAR_500_2,User_VAR_500_3,500,0.7662,0.0,0.7638,0.0,0.7661,0.7661
