source,alignment_norm,authenticity_norm,composite_product,composite_harmonic,alignment_norm_std,alignment_norm_se,alignment_norm_ci_low,alignment_norm_ci_high,authenticity_norm_std,authenticity_norm_se,authenticity_norm_ci_low,authenticity_norm_ci_high,composite_product_std,composite_product_se,composite_product_ci_low,composite_product_ci_high,composite_harmonic_std,composite_harmonic_se,composite_harmonic_ci_low,composite_harmonic_ci_high,composite_product_x_vendi_ratio,composite_product_x_vendi_ratio_std,composite_product_x_vendi_ratio_se,composite_product_x_vendi_ratio_ci_low,composite_product_x_vendi_ratio_ci_high,composite_product_x_vendi_ratio_train,composite_product_x_vendi_ratio_train_std,composite_product_x_vendi_ratio_train_se,composite_product_x_vendi_ratio_train_ci_low,composite_product_x_vendi_ratio_train_ci_high,composite_harmonic_x_vendi_ratio,composite_harmonic_x_vendi_ratio_std,composite_harmonic_x_vendi_ratio_se,composite_harmonic_x_vendi_ratio_ci_low,composite_harmonic_x_vendi_ratio_ci_high,composite_harmonic_x_vendi_ratio_train,composite_harmonic_x_vendi_ratio_train_std,composite_harmonic_x_vendi_ratio_train_se,composite_harmonic_x_vendi_ratio_train_ci_low,composite_harmonic_x_vendi_ratio_train_ci_high,composite_product_x_MEAN_VENDI_RATIO,composite_harmonic_x_MEAN_VENDI_RATIO,composite_product_x_MEAN_VENDI_RATIO_TRAIN,composite_harmonic_x_MEAN_VENDI_RATIO_TRAIN
Sys_VAR_noref_1,0.7524,0.585,0.471,0.6321,0.1625,0.0162,0.7202,0.7846,0.1536,0.0154,0.5545,0.6155,0.1747,0.0175,0.4363,0.5057,0.1518,0.0152,0.602,0.6622,0.4937,0.3948,0.0395,0.4154,0.572,0.4039,0.1647,0.0165,0.3712,0.4366,0.6701,0.4936,0.0494,0.5721,0.7681,0.5413,0.1594,0.0159,0.5097,0.5729,0.5138,0.6896,0.4037,0.5418
Sys_VAR_noref_2,0.7542,0.5896,0.4731,0.6348,0.1681,0.0168,0.7209,0.7875,0.1617,0.0162,0.5575,0.6217,0.1862,0.0186,0.4361,0.5101,0.1599,0.016,0.6031,0.6665,0.4969,0.4059,0.0406,0.4164,0.5774,0.4058,0.1722,0.0172,0.3716,0.44,0.6754,0.5018,0.0502,0.5758,0.775,0.5439,0.1633,0.0163,0.5115,0.5763,0.5161,0.6925,0.4055,0.5441
Sys_VAR_noref_3,0.7457,0.578,0.4662,0.6273,0.1597,0.016,0.714,0.7774,0.1579,0.0158,0.5467,0.6093,0.1828,0.0183,0.4299,0.5025,0.1574,0.0157,0.5961,0.6585,0.4958,0.4076,0.0408,0.4149,0.5767,0.3992,0.1685,0.0168,0.3658,0.4326,0.6719,0.5081,0.0508,0.5711,0.7727,0.5378,0.1595,0.016,0.5061,0.5695,0.5086,0.6843,0.3996,0.5377
User_VAR_500_1,0.7893,0.604,0.5018,0.6448,0.1971,0.0197,0.7502,0.8284,0.1513,0.0151,0.574,0.634,0.1923,0.0192,0.4636,0.54,0.1759,0.0176,0.6099,0.6797,0.5335,0.4529,0.0453,0.4436,0.6234,0.4291,0.1755,0.0175,0.3943,0.4639,0.6907,0.5371,0.0537,0.5841,0.7973,0.5526,0.1736,0.0174,0.5182,0.587,0.5474,0.7034,0.4301,0.5527
User_VAR_500_2,0.7753,0.608,0.496,0.6408,0.1972,0.0197,0.7362,0.8144,0.1515,0.0151,0.5779,0.6381,0.1924,0.0192,0.4578,0.5342,0.1771,0.0177,0.6057,0.6759,0.5342,0.4605,0.0461,0.4428,0.6256,0.4257,0.179,0.0179,0.3902,0.4612,0.6941,0.5517,0.0552,0.5846,0.8036,0.5504,0.1777,0.0178,0.5151,0.5857,0.5411,0.6991,0.4251,0.5492
User_VAR_500_3,0.7872,0.6152,0.5066,0.6485,0.1975,0.0198,0.748,0.8264,0.1464,0.0146,0.5862,0.6442,0.1905,0.0191,0.4688,0.5444,0.176,0.0176,0.6136,0.6834,0.5432,0.4528,0.0453,0.4534,0.633,0.4356,0.1788,0.0179,0.4001,0.4711,0.6989,0.5433,0.0543,0.5911,0.8067,0.557,0.1776,0.0178,0.5218,0.5922,0.5527,0.7075,0.4342,0.5558
Sys_VAR_noref_AVG_STATS,0.7508,0.5842,0.4701,0.6314,0.1634,0.0163,0.7184,0.7832,0.1577,0.0158,0.5529,0.6155,0.1812,0.0181,0.4341,0.5061,0.1564,0.0156,0.6004,0.6624,0.4955,0.4028,0.0403,0.4156,0.5754,0.403,0.1685,0.0168,0.3695,0.4364,0.6725,0.5012,0.0501,0.573,0.7719,0.541,0.1607,0.0161,0.5091,0.5729,0.5128,0.6888,0.4029,0.5412
Sys_VAR_noref_AVG_PERCLASS,0.7508,0.5842,0.4701,0.6314,0.1596,0.016,0.7191,0.7824,0.1474,0.0147,0.5549,0.6135,0.1732,0.0173,0.4357,0.5045,0.1504,0.015,0.6016,0.6612,0.4955,0.3977,0.0398,0.4165,0.5744,0.403,0.1617,0.0162,0.3709,0.4351,0.6725,0.4982,0.0498,0.5736,0.7713,0.541,0.1561,0.0156,0.51,0.572,0.5128,0.6888,0.4029,0.5412
Human_VAR_500_AVG_STATS,0.7839,0.6091,0.5015,0.6447,0.1973,0.0197,0.7448,0.8231,0.1497,0.0149,0.5794,0.6388,0.1917,0.0192,0.4634,0.5395,0.1763,0.0176,0.6097,0.6797,0.537,0.4554,0.0456,0.4466,0.6273,0.4301,0.1778,0.0178,0.3949,0.4654,0.6946,0.544,0.0544,0.5866,0.8025,0.5533,0.1763,0.0177,0.5184,0.5883,0.5471,0.7033,0.4298,0.5526
Human_VAR_500_AVG_PERCLASS,0.7839,0.6091,0.5015,0.6447,0.1929,0.0193,0.7457,0.8222,0.1442,0.0144,0.5805,0.6377,0.187,0.0187,0.4644,0.5386,0.1723,0.0172,0.6105,0.6789,0.537,0.452,0.0452,0.4473,0.6267,0.4301,0.1738,0.0174,0.3956,0.4646,0.6946,0.542,0.0542,0.587,0.8021,0.5533,0.1732,0.0173,0.519,0.5877,0.5471,0.7033,0.4298,0.5526
