source,class_id,alignment_norm,authenticity_norm,composite_product_classmean,composite_harmonic_classmean,vendi_ratio,vendi_ratio_train,composite_product_classmean_x_vendi_ratio,composite_product_classmean_x_vendi_ratio_train,composite_harmonic_classmean_x_vendi_ratio,composite_harmonic_classmean_x_vendi_ratio_train
Sys_VAR_noref_1,4,0.91,0.68,0.63,0.78,1.15,1.02,0.72,0.64,0.89,0.8
Sys_VAR_noref_1,7,0.82,0.69,0.57,0.74,0.59,0.86,0.34,0.5,0.44,0.64
Sys_VAR_noref_1,10,0.91,0.82,0.75,0.86,0.89,0.96,0.67,0.72,0.76,0.82
Sys_VAR_noref_1,25,0.82,0.66,0.55,0.72,1.25,0.94,0.69,0.52,0.91,0.68
Sys_VAR_noref_1,35,0.56,0.58,0.3,0.52,0.96,0.79,0.29,0.24,0.5,0.42
Sys_VAR_noref_1,39,0.89,0.8,0.72,0.84,0.74,0.86,0.53,0.62,0.62,0.72
Sys_VAR_noref_1,49,0.54,0.71,0.38,0.6,0.98,0.97,0.37,0.37,0.59,0.58
Sys_VAR_noref_1,51,0.89,0.8,0.72,0.84,0.73,0.79,0.52,0.57,0.61,0.66
Sys_VAR_noref_1,52,0.89,0.87,0.79,0.87,2.17,0.92,1.7,0.72,1.89,0.8
Sys_VAR_noref_1,64,0.64,0.61,0.41,0.59,1.2,0.96,0.49,0.39,0.71,0.56
Sys_VAR_noref_1,80,0.86,0.59,0.52,0.69,0.66,1.07,0.34,0.55,0.45,0.74
Sys_VAR_noref_1,97,0.78,0.84,0.68,0.79,1.46,0.87,0.99,0.59,1.16,0.69
Sys_VAR_noref_1,106,0.9,0.7,0.65,0.78,2.87,0.87,1.86,0.57,2.23,0.68
Sys_VAR_noref_1,116,0.96,0.86,0.83,0.91,0.39,0.65,0.32,0.53,0.35,0.58
Sys_VAR_noref_1,118,0.6,0.48,0.32,0.53,1.37,1.0,0.44,0.32,0.73,0.53
Sys_VAR_noref_1,129,0.81,0.61,0.52,0.69,0.73,1.12,0.38,0.58,0.5,0.78
Sys_VAR_noref_1,144,0.79,0.62,0.5,0.69,0.93,0.83,0.46,0.41,0.64,0.57
Sys_VAR_noref_1,147,0.93,0.72,0.68,0.8,0.77,0.69,0.53,0.47,0.62,0.56
Sys_VAR_noref_1,150,0.87,0.73,0.65,0.79,1.31,0.89,0.85,0.58,1.03,0.7
Sys_VAR_noref_1,156,0.92,0.64,0.59,0.75,0.55,0.94,0.33,0.56,0.41,0.7
Sys_VAR_noref_1,159,0.66,0.49,0.33,0.55,0.94,0.86,0.31,0.29,0.52,0.48
Sys_VAR_noref_1,281,0.87,0.53,0.47,0.65,1.78,1.02,0.84,0.48,1.16,0.66
Sys_VAR_noref_1,300,0.92,0.79,0.76,0.85,0.58,0.99,0.44,0.75,0.5,0.84
Sys_VAR_noref_1,322,0.91,0.82,0.76,0.86,0.9,1.0,0.68,0.76,0.77,0.86
Sys_VAR_noref_1,330,0.79,0.69,0.57,0.73,0.36,0.97,0.21,0.55,0.26,0.7
Sys_VAR_noref_1,333,0.71,0.48,0.35,0.56,0.82,0.75,0.29,0.26,0.46,0.42
Sys_VAR_noref_1,339,0.73,0.7,0.57,0.71,1.65,0.96,0.94,0.55,1.17,0.69
Sys_VAR_noref_1,347,0.85,0.76,0.65,0.79,0.5,0.81,0.33,0.53,0.4,0.64
Sys_VAR_noref_1,356,0.9,0.74,0.67,0.81,1.45,0.95,0.97,0.63,1.17,0.76
Sys_VAR_noref_1,365,0.88,0.63,0.56,0.73,0.86,0.81,0.48,0.46,0.63,0.59
Sys_VAR_noref_1,370,0.85,0.68,0.62,0.74,0.72,0.79,0.44,0.49,0.53,0.59
Sys_VAR_noref_1,389,0.37,0.38,0.13,0.35,2.04,0.83,0.27,0.11,0.7,0.29
Sys_VAR_noref_1,392,0.81,0.67,0.56,0.71,0.36,0.88,0.2,0.5,0.25,0.63
Sys_VAR_noref_1,394,0.76,0.55,0.43,0.63,1.95,0.92,0.85,0.4,1.23,0.58
Sys_VAR_noref_1,396,0.93,0.68,0.63,0.77,0.27,1.15,0.17,0.73,0.21,0.89
Sys_VAR_noref_1,400,0.85,0.49,0.42,0.62,0.27,0.85,0.12,0.36,0.17,0.53
Sys_VAR_noref_1,405,0.84,0.55,0.47,0.66,0.65,1.17,0.31,0.56,0.43,0.78
Sys_VAR_noref_1,406,0.82,0.57,0.48,0.66,1.13,0.67,0.54,0.32,0.74,0.44
Sys_VAR_noref_1,413,0.84,0.57,0.51,0.67,0.45,1.04,0.23,0.52,0.31,0.7
Sys_VAR_noref_1,415,0.51,0.46,0.22,0.43,0.91,0.82,0.2,0.18,0.39,0.35
Sys_VAR_noref_1,419,0.6,0.65,0.36,0.49,1.16,0.84,0.42,0.3,0.57,0.42
Sys_VAR_noref_1,421,0.64,0.43,0.29,0.51,1.78,0.77,0.52,0.23,0.9,0.39
Sys_VAR_noref_1,426,0.57,0.28,0.16,0.37,1.07,0.74,0.17,0.12,0.4,0.27
Sys_VAR_noref_1,429,0.39,0.34,0.18,0.36,0.44,0.94,0.08,0.17,0.16,0.34
Sys_VAR_noref_1,432,0.79,0.51,0.45,0.6,1.4,1.21,0.63,0.54,0.85,0.73
Sys_VAR_noref_1,443,0.7,0.57,0.51,0.62,0.3,0.91,0.15,0.46,0.18,0.56
Sys_VAR_noref_1,446,0.7,0.47,0.3,0.5,1.28,0.86,0.38,0.26,0.64,0.43
Sys_VAR_noref_1,453,0.82,0.51,0.42,0.63,0.56,0.79,0.24,0.33,0.35,0.49
Sys_VAR_noref_1,461,0.73,0.83,0.59,0.74,0.37,0.66,0.22,0.39,0.27,0.48
Sys_VAR_noref_1,477,0.6,0.34,0.21,0.43,2.46,0.79,0.52,0.17,1.06,0.34
Sys_VAR_noref_1,479,0.81,0.65,0.56,0.72,0.47,0.74,0.26,0.41,0.34,0.53
Sys_VAR_noref_1,481,0.53,0.36,0.22,0.43,0.5,0.85,0.11,0.19,0.21,0.37
Sys_VAR_noref_1,488,0.62,0.52,0.4,0.56,0.92,0.88,0.36,0.35,0.51,0.49
Sys_VAR_noref_1,499,0.43,0.71,0.34,0.45,1.32,1.11,0.44,0.37,0.59,0.49
Sys_VAR_noref_1,529,0.85,0.56,0.48,0.67,3.25,0.8,1.57,0.39,2.18,0.54
Sys_VAR_noref_1,535,0.8,0.59,0.49,0.67,0.42,0.81,0.21,0.4,0.28,0.54
Sys_VAR_noref_1,554,0.77,0.44,0.37,0.56,1.0,0.76,0.37,0.29,0.56,0.42
Sys_VAR_noref_1,567,0.91,0.54,0.5,0.65,3.66,0.89,1.82,0.44,2.38,0.58
Sys_VAR_noref_1,575,0.93,0.53,0.5,0.66,0.76,0.79,0.38,0.39,0.5,0.52
Sys_VAR_noref_1,585,0.26,0.28,0.11,0.23,1.38,1.03,0.15,0.12,0.32,0.24
Sys_VAR_noref_1,590,0.67,0.43,0.33,0.52,1.05,0.87,0.34,0.28,0.54,0.45
Sys_VAR_noref_1,605,0.54,0.42,0.23,0.41,4.74,1.04,1.11,0.24,1.95,0.43
Sys_VAR_noref_1,606,0.73,0.54,0.45,0.59,0.78,0.62,0.35,0.28,0.46,0.36
Sys_VAR_noref_1,626,0.61,0.37,0.23,0.4,3.21,1.03,0.75,0.24,1.27,0.41
Sys_VAR_noref_1,632,0.8,0.59,0.51,0.67,0.95,0.89,0.49,0.46,0.64,0.6
Sys_VAR_noref_1,633,0.68,0.48,0.36,0.54,1.08,1.06,0.39,0.38,0.59,0.58
Sys_VAR_noref_1,634,0.66,0.52,0.38,0.58,0.46,0.75,0.17,0.28,0.27,0.44
Sys_VAR_noref_1,645,0.84,0.55,0.45,0.65,0.39,0.63,0.17,0.28,0.25,0.41
Sys_VAR_noref_1,654,0.93,0.53,0.5,0.67,0.88,0.73,0.44,0.36,0.59,0.49
Sys_VAR_noref_1,679,0.75,0.48,0.37,0.57,0.55,0.66,0.2,0.24,0.32,0.38
Sys_VAR_noref_1,687,0.92,0.68,0.62,0.76,0.27,0.63,0.17,0.39,0.2,0.48
Sys_VAR_noref_1,730,0.66,0.45,0.39,0.52,1.13,0.85,0.44,0.33,0.59,0.44
Sys_VAR_noref_1,743,0.89,0.55,0.5,0.66,1.1,0.83,0.55,0.42,0.72,0.54
Sys_VAR_noref_1,746,0.61,0.36,0.23,0.42,0.55,1.06,0.12,0.24,0.23,0.44
Sys_VAR_noref_1,755,0.84,0.66,0.55,0.73,0.24,0.98,0.13,0.54,0.17,0.71
Sys_VAR_noref_1,756,0.87,0.63,0.56,0.72,2.29,0.78,1.28,0.43,1.65,0.56
Sys_VAR_noref_1,806,0.94,0.8,0.75,0.86,1.08,1.06,0.81,0.79,0.93,0.91
Sys_VAR_noref_1,810,0.74,0.53,0.44,0.6,0.38,0.91,0.17,0.4,0.23,0.55
Sys_VAR_noref_1,819,0.86,0.49,0.43,0.61,0.38,0.72,0.16,0.31,0.23,0.44
Sys_VAR_noref_1,836,0.26,0.64,0.22,0.29,1.23,0.82,0.28,0.18,0.35,0.23
Sys_VAR_noref_1,903,0.62,0.38,0.23,0.47,1.1,0.76,0.26,0.18,0.51,0.35
Sys_VAR_noref_1,917,0.85,0.44,0.38,0.57,0.5,0.41,0.19,0.15,0.28,0.23
Sys_VAR_noref_1,919,0.47,0.27,0.13,0.33,1.32,0.73,0.17,0.09,0.44,0.24
Sys_VAR_noref_1,920,0.81,0.51,0.42,0.61,0.77,0.96,0.32,0.4,0.47,0.59
Sys_VAR_noref_1,922,0.32,0.19,0.11,0.22,0.47,0.78,0.05,0.08,0.1,0.17
Sys_VAR_noref_1,928,0.67,0.48,0.35,0.55,2.3,0.76,0.81,0.27,1.27,0.42
Sys_VAR_noref_1,931,0.7,0.6,0.39,0.59,0.63,0.86,0.25,0.34,0.38,0.51
Sys_VAR_noref_1,943,0.88,0.78,0.69,0.82,0.88,0.9,0.61,0.63,0.72,0.74
Sys_VAR_noref_1,952,0.79,0.88,0.68,0.74,0.72,0.73,0.49,0.5,0.53,0.54
Sys_VAR_noref_1,960,0.95,0.7,0.67,0.8,2.64,0.74,1.76,0.49,2.11,0.59
Sys_VAR_noref_1,962,0.81,0.73,0.62,0.76,0.56,0.75,0.35,0.46,0.43,0.57
Sys_VAR_noref_1,968,0.92,0.64,0.6,0.73,2.03,0.92,1.22,0.55,1.48,0.67
Sys_VAR_noref_1,971,0.88,0.6,0.54,0.7,0.3,0.66,0.16,0.36,0.21,0.46
Sys_VAR_noref_1,972,0.92,0.59,0.55,0.69,1.93,0.79,1.06,0.44,1.34,0.55
