image_id,source,alignment_score,authenticity_score,class_id,alignment_norm,authenticity_norm,composite_product_perimage,composite_harmonic_perimage
0,User_VAR_500_1,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
0,User_VAR_500_2,4.44,3.0,4,0.8880000000000001,0.6,0.5328,0.7161290322580646
0,User_VAR_500_3,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
0,Sys_VAR_noref_1,4.62,3.85,4,0.924,0.77,0.71148,0.8400000000000001
0,Sys_VAR_noref_2,4.62,3.85,4,0.924,0.77,0.71148,0.8400000000000001
0,Sys_VAR_noref_3,4.72,3.85,4,0.944,0.77,0.72688,0.8481680280046674
1,User_VAR_500_1,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
1,User_VAR_500_2,4.44,3.0,4,0.8880000000000001,0.6,0.5328,0.7161290322580646
1,User_VAR_500_3,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
1,Sys_VAR_noref_1,4.62,3.85,4,0.924,0.77,0.71148,0.8400000000000001
1,Sys_VAR_noref_2,4.82,3.65,4,0.9640000000000001,0.73,0.70372,0.8308382526564345
1,Sys_VAR_noref_3,4.15,2.85,4,0.8300000000000001,0.5700000000000001,0.4731000000000001,0.6758571428571429
4,User_VAR_500_1,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
4,User_VAR_500_2,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
4,User_VAR_500_3,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
4,Sys_VAR_noref_1,4.82,3.65,4,0.9640000000000001,0.73,0.70372,0.8308382526564345
4,Sys_VAR_noref_2,4.82,4.35,4,0.9640000000000001,0.8699999999999999,0.83868,0.9145910577971647
4,Sys_VAR_noref_3,4.85,3.65,4,0.97,0.73,0.7081,0.8330588235294117
6,User_VAR_500_1,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
6,User_VAR_500_2,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
6,User_VAR_500_3,4.29,3.0,4,0.858,0.6,0.5147999999999999,0.7061728395061727
6,Sys_VAR_noref_1,4.65,2.85,4,0.93,0.5700000000000001,0.5301000000000001,0.7068000000000002
6,Sys_VAR_noref_2,4.12,3.85,4,0.8240000000000001,0.77,0.63448,0.7960853199498118
6,Sys_VAR_noref_3,4.12,1.85,4,0.8240000000000001,0.37,0.30488000000000004,0.5106867671691793
9,User_VAR_500_1,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
9,User_VAR_500_2,5.0,2.0,4,1.0,0.4,0.4,0.5714285714285715
9,User_VAR_500_3,4.38,2.0,4,0.876,0.4,0.35040000000000004,0.5492163009404389
9,Sys_VAR_noref_1,4.12,2.85,4,0.8240000000000001,0.5700000000000001,0.4696800000000001,0.6738593974175037
9,Sys_VAR_noref_2,4.65,2.85,4,0.93,0.5700000000000001,0.5301000000000001,0.7068000000000002
9,Sys_VAR_noref_3,4.85,3.2,4,0.97,0.64,0.6208,0.7711801242236026
11,User_VAR_500_1,4.17,3.0,7,0.834,0.6,0.5004,0.697907949790795
11,User_VAR_500_2,4.17,4.0,7,0.834,0.8,0.6672,0.8166462668298654
11,User_VAR_500_3,4.17,4.0,7,0.834,0.8,0.6672,0.8166462668298654
