source,alignment_norm,authenticity_norm,composite_product,composite_harmonic,alignment_norm_std,alignment_norm_se,alignment_norm_ci_low,alignment_norm_ci_high,authenticity_norm_std,authenticity_norm_se,authenticity_norm_ci_low,authenticity_norm_ci_high,composite_product_std,composite_product_se,composite_product_ci_low,composite_product_ci_high,composite_harmonic_std,composite_harmonic_se,composite_harmonic_ci_low,composite_harmonic_ci_high
Sys_VAR_ref_200_1,0.7698,0.5789,0.4741,0.632,0.1989,0.0199,0.7303,0.8093,0.1849,0.0185,0.5422,0.6156,0.2152,0.0215,0.4314,0.5168,0.1935,0.0194,0.5936,0.6704
Sys_VAR_ref_200_2,0.7646,0.5783,0.4696,0.6302,0.203,0.0203,0.7243,0.8049,0.17,0.017,0.5446,0.612,0.2099,0.021,0.428,0.5112,0.1851,0.0185,0.5935,0.6669
Sys_VAR_ref_200_3,0.7561,0.5897,0.4766,0.6343,0.2047,0.0205,0.7155,0.7967,0.1802,0.018,0.5539,0.6255,0.2199,0.022,0.433,0.5202,0.1918,0.0192,0.5962,0.6724
User_VAR_200_1,0.7949,0.62,0.5228,0.6614,0.2359,0.0236,0.7481,0.8417,0.1758,0.0176,0.5851,0.6549,0.2295,0.023,0.4773,0.5683,0.2088,0.0209,0.62,0.7028
User_VAR_200_2,0.7845,0.622,0.5141,0.654,0.2367,0.0237,0.7375,0.8315,0.1823,0.0182,0.5858,0.6582,0.2288,0.0229,0.4687,0.5595,0.2098,0.021,0.6124,0.6956
User_VAR_200_3,0.7833,0.623,0.5149,0.654,0.2571,0.0257,0.7323,0.8343,0.1734,0.0173,0.5886,0.6574,0.2296,0.023,0.4693,0.5605,0.2149,0.0215,0.6114,0.6966
Sys_VAR_ref_200_AVG_STATS,0.7635,0.5823,0.4734,0.6322,0.2022,0.0202,0.7234,0.8036,0.1784,0.0178,0.5469,0.6177,0.215,0.0215,0.4308,0.5161,0.1901,0.019,0.5944,0.6699
Sys_VAR_ref_200_AVG_PERCLASS,0.7635,0.5823,0.4734,0.6322,0.1955,0.0195,0.7247,0.8023,0.1625,0.0162,0.5501,0.6145,0.2011,0.0201,0.4335,0.5133,0.1799,0.018,0.5965,0.6679
Human_VAR_200_AVG_STATS,0.7876,0.6217,0.5173,0.6565,0.2432,0.0243,0.7393,0.8358,0.1772,0.0177,0.5865,0.6568,0.2293,0.023,0.4718,0.5628,0.2112,0.0211,0.6146,0.6983
Human_VAR_200_AVG_PERCLASS,0.7876,0.6217,0.5173,0.6565,0.2323,0.0232,0.7415,0.8337,0.164,0.0164,0.5891,0.6542,0.2198,0.022,0.4737,0.5609,0.2029,0.0203,0.6162,0.6967
