group,alignment_threshold,authenticity_threshold,probability
Sys_VAR_ref_400,0.0,0.0,1.0
Sys_VAR_ref_400,0.0,0.02,1.0
Sys_VAR_ref_400,0.0,0.04,1.0
Sys_VAR_ref_400,0.0,0.06,1.0
Sys_VAR_ref_400,0.0,0.08,1.0
Sys_VAR_ref_400,0.0,0.1,1.0
Sys_VAR_ref_400,0.0,0.12,0.9975
Sys_VAR_ref_400,0.0,0.14,0.9975
Sys_VAR_ref_400,0.0,0.16,0.9925
Sys_VAR_ref_400,0.0,0.18,0.99
Sys_VAR_ref_400,0.0,0.2,0.99
Sys_VAR_ref_400,0.0,0.22,0.985
Sys_VAR_ref_400,0.0,0.24,0.9825
Sys_VAR_ref_400,0.0,0.26,0.965
Sys_VAR_ref_400,0.0,0.28,0.9475
Sys_VAR_ref_400,0.0,0.3,0.925
Sys_VAR_ref_400,0.0,0.32,0.84
Sys_VAR_ref_400,0.0,0.34,0.8175
Sys_VAR_ref_400,0.0,0.36,0.8
Sys_VAR_ref_400,0.0,0.38,0.785
Sys_VAR_ref_400,0.0,0.4,0.755
Sys_VAR_ref_400,0.0,0.42,0.725
Sys_VAR_ref_400,0.0,0.44,0.705
Sys_VAR_ref_400,0.0,0.46,0.6775
Sys_VAR_ref_400,0.0,0.48,0.655
Sys_VAR_ref_400,0.0,0.5,0.645
Sys_VAR_ref_400,0.0,0.52,0.615
Sys_VAR_ref_400,0.0,0.54,0.5725
Sys_VAR_ref_400,0.0,0.56,0.545
Sys_VAR_ref_400,0.0,0.58,0.5125
Sys_VAR_ref_400,0.0,0.6,0.4825
Sys_VAR_ref_400,0.0,0.62,0.445
Sys_VAR_ref_400,0.0,0.64,0.4025
Sys_VAR_ref_400,0.0,0.66,0.385
Sys_VAR_ref_400,0.0,0.68,0.35
Sys_VAR_ref_400,0.0,0.7,0.3125
Sys_VAR_ref_400,0.0,0.72,0.28
Sys_VAR_ref_400,0.0,0.74,0.24
Sys_VAR_ref_400,0.0,0.76,0.185
Sys_VAR_ref_400,0.0,0.78,0.1575
