source,class_id,alignment_norm,authenticity_norm,composite_product_classmean,composite_harmonic_classmean
Sys_VAR_ref_400_1,4,0.9,0.6,0.55,0.7
Sys_VAR_ref_400_1,7,0.82,0.54,0.46,0.63
Sys_VAR_ref_400_1,10,0.73,0.57,0.45,0.63
Sys_VAR_ref_400_1,25,0.7,0.6,0.46,0.63
Sys_VAR_ref_400_1,35,0.69,0.61,0.47,0.64
Sys_VAR_ref_400_1,39,0.85,0.79,0.68,0.81
Sys_VAR_ref_400_1,49,0.82,0.71,0.61,0.76
Sys_VAR_ref_400_1,51,0.92,0.82,0.78,0.87
Sys_VAR_ref_400_1,52,0.79,0.77,0.62,0.78
Sys_VAR_ref_400_1,64,0.57,0.47,0.27,0.5
Sys_VAR_ref_400_1,80,0.85,0.45,0.39,0.58
Sys_VAR_ref_400_1,97,0.85,0.75,0.64,0.79
Sys_VAR_ref_400_1,106,0.9,0.59,0.55,0.7
Sys_VAR_ref_400_1,116,0.94,0.84,0.79,0.88
Sys_VAR_ref_400_1,118,0.55,0.4,0.28,0.44
Sys_VAR_ref_400_1,129,0.83,0.43,0.35,0.55
Sys_VAR_ref_400_1,144,0.84,0.43,0.36,0.55
Sys_VAR_ref_400_1,147,0.87,0.69,0.63,0.77
Sys_VAR_ref_400_1,150,0.86,0.43,0.37,0.56
Sys_VAR_ref_400_1,156,0.95,0.44,0.42,0.58
Sys_VAR_ref_400_1,159,0.77,0.49,0.39,0.59
Sys_VAR_ref_400_1,281,0.78,0.27,0.22,0.4
Sys_VAR_ref_400_1,300,0.88,0.73,0.7,0.79
Sys_VAR_ref_400_1,322,0.78,0.76,0.68,0.77
Sys_VAR_ref_400_1,330,0.88,0.62,0.56,0.71
Sys_VAR_ref_400_1,333,0.66,0.34,0.25,0.44
Sys_VAR_ref_400_1,339,0.68,0.48,0.37,0.56
Sys_VAR_ref_400_1,347,0.81,0.8,0.68,0.8
Sys_VAR_ref_400_1,356,0.89,0.54,0.48,0.66
Sys_VAR_ref_400_1,365,0.73,0.39,0.3,0.49
Sys_VAR_ref_400_1,370,0.9,0.47,0.43,0.6
Sys_VAR_ref_400_1,389,0.29,0.39,0.11,0.33
Sys_VAR_ref_400_1,392,0.79,0.68,0.58,0.73
Sys_VAR_ref_400_1,394,0.82,0.72,0.66,0.76
Sys_VAR_ref_400_1,396,0.93,0.72,0.67,0.81
Sys_VAR_ref_400_1,400,0.89,0.47,0.43,0.58
Sys_VAR_ref_400_1,405,0.48,0.43,0.23,0.44
Sys_VAR_ref_400_1,406,0.77,0.69,0.55,0.71
Sys_VAR_ref_400_1,413,0.78,0.5,0.4,0.6
Sys_VAR_ref_400_1,415,0.59,0.58,0.34,0.52
Sys_VAR_ref_400_1,419,0.77,0.66,0.52,0.68
Sys_VAR_ref_400_1,421,0.57,0.45,0.26,0.5
Sys_VAR_ref_400_1,426,0.62,0.3,0.18,0.4
Sys_VAR_ref_400_1,429,0.77,0.66,0.54,0.7
Sys_VAR_ref_400_1,432,0.92,0.54,0.5,0.66
Sys_VAR_ref_400_1,443,0.71,0.72,0.51,0.67
Sys_VAR_ref_400_1,446,0.52,0.58,0.33,0.5
Sys_VAR_ref_400_1,453,0.96,0.56,0.54,0.7
Sys_VAR_ref_400_1,461,0.66,0.63,0.45,0.64
Sys_VAR_ref_400_1,477,0.53,0.54,0.3,0.53
Sys_VAR_ref_400_1,479,0.97,0.81,0.79,0.88
Sys_VAR_ref_400_1,481,0.56,0.43,0.27,0.47
Sys_VAR_ref_400_1,488,0.87,0.73,0.64,0.79
Sys_VAR_ref_400_1,499,0.44,0.3,0.21,0.32
Sys_VAR_ref_400_1,529,0.85,0.52,0.43,0.63
Sys_VAR_ref_400_1,535,0.84,0.66,0.57,0.74
Sys_VAR_ref_400_1,554,0.96,0.6,0.58,0.73
Sys_VAR_ref_400_1,567,0.92,0.8,0.74,0.85
Sys_VAR_ref_400_1,575,0.85,0.53,0.47,0.64
Sys_VAR_ref_400_1,585,0.5,0.37,0.21,0.37
Sys_VAR_ref_400_1,590,0.71,0.46,0.34,0.55
Sys_VAR_ref_400_1,605,0.88,0.67,0.58,0.75
Sys_VAR_ref_400_1,606,0.72,0.6,0.51,0.61
Sys_VAR_ref_400_1,626,0.67,0.52,0.38,0.52
Sys_VAR_ref_400_1,632,0.87,0.58,0.53,0.69
Sys_VAR_ref_400_1,633,0.58,0.42,0.26,0.47
Sys_VAR_ref_400_1,634,0.48,0.46,0.26,0.44
Sys_VAR_ref_400_1,645,0.89,0.3,0.27,0.45
Sys_VAR_ref_400_1,654,0.87,0.57,0.5,0.68
Sys_VAR_ref_400_1,679,0.73,0.62,0.48,0.67
Sys_VAR_ref_400_1,687,0.97,0.68,0.66,0.79
Sys_VAR_ref_400_1,730,0.53,0.45,0.29,0.45
Sys_VAR_ref_400_1,743,0.72,0.49,0.34,0.55
Sys_VAR_ref_400_1,746,0.55,0.44,0.3,0.45
Sys_VAR_ref_400_1,755,0.86,0.66,0.58,0.75
Sys_VAR_ref_400_1,756,0.83,0.64,0.53,0.72
Sys_VAR_ref_400_1,806,0.95,0.82,0.78,0.88
Sys_VAR_ref_400_1,810,0.4,0.37,0.2,0.32
Sys_VAR_ref_400_1,819,0.65,0.41,0.26,0.48
Sys_VAR_ref_400_1,836,0.28,0.59,0.21,0.28
Sys_VAR_ref_400_1,903,0.54,0.42,0.25,0.47
Sys_VAR_ref_400_1,917,0.7,0.45,0.33,0.55
Sys_VAR_ref_400_1,919,0.4,0.27,0.11,0.32
Sys_VAR_ref_400_1,920,0.86,0.63,0.54,0.71
Sys_VAR_ref_400_1,922,0.35,0.29,0.12,0.3
Sys_VAR_ref_400_1,928,0.94,0.71,0.67,0.81
Sys_VAR_ref_400_1,931,0.97,0.78,0.76,0.87
Sys_VAR_ref_400_1,943,0.85,0.76,0.64,0.79
Sys_VAR_ref_400_1,952,0.97,0.87,0.84,0.91
Sys_VAR_ref_400_1,960,0.87,0.68,0.61,0.76
Sys_VAR_ref_400_1,962,0.89,0.76,0.67,0.82
Sys_VAR_ref_400_1,968,0.92,0.71,0.65,0.8
Sys_VAR_ref_400_1,971,0.81,0.45,0.37,0.57
Sys_VAR_ref_400_1,972,0.78,0.62,0.49,0.68
Sys_VAR_ref_400_1,981,0.77,0.29,0.22,0.42
Sys_VAR_ref_400_1,982,0.55,0.28,0.15,0.35
Sys_VAR_ref_400_1,983,0.76,0.36,0.29,0.49
Sys_VAR_ref_400_1,985,0.77,0.79,0.62,0.77
Sys_VAR_ref_400_1,991,0.92,0.82,0.77,0.86
Sys_VAR_ref_400_1,999,0.59,0.43,0.31,0.5
Sys_VAR_ref_400_2,4,0.93,0.72,0.67,0.81
Sys_VAR_ref_400_2,7,0.82,0.56,0.47,0.65
Sys_VAR_ref_400_2,10,0.83,0.73,0.62,0.77
Sys_VAR_ref_400_2,25,0.86,0.68,0.58,0.74
Sys_VAR_ref_400_2,35,0.62,0.69,0.42,0.62
Sys_VAR_ref_400_2,39,0.9,0.72,0.64,0.77
Sys_VAR_ref_400_2,49,0.83,0.69,0.57,0.75
Sys_VAR_ref_400_2,51,0.94,0.83,0.78,0.87
Sys_VAR_ref_400_2,52,0.79,0.82,0.65,0.79
Sys_VAR_ref_400_2,64,0.54,0.48,0.25,0.48
Sys_VAR_ref_400_2,80,0.86,0.46,0.4,0.58
Sys_VAR_ref_400_2,97,0.86,0.83,0.72,0.83
Sys_VAR_ref_400_2,106,0.93,0.69,0.65,0.77
Sys_VAR_ref_400_2,116,0.98,0.88,0.87,0.93
Sys_VAR_ref_400_2,118,0.55,0.42,0.25,0.47
Sys_VAR_ref_400_2,129,0.87,0.48,0.43,0.6
Sys_VAR_ref_400_2,144,0.81,0.5,0.39,0.58
Sys_VAR_ref_400_2,147,0.93,0.66,0.63,0.77
Sys_VAR_ref_400_2,150,0.89,0.43,0.38,0.57
Sys_VAR_ref_400_2,156,0.92,0.43,0.4,0.57
Sys_VAR_ref_400_2,159,0.69,0.44,0.33,0.52
Sys_VAR_ref_400_2,281,0.87,0.3,0.26,0.45
Sys_VAR_ref_400_2,300,0.85,0.79,0.7,0.82
Sys_VAR_ref_400_2,322,0.79,0.7,0.62,0.74
Sys_VAR_ref_400_2,330,0.87,0.55,0.49,0.66
Sys_VAR_ref_400_2,333,0.67,0.3,0.2,0.4
Sys_VAR_ref_400_2,339,0.72,0.47,0.39,0.56
Sys_VAR_ref_400_2,347,0.82,0.58,0.49,0.68
Sys_VAR_ref_400_2,356,0.88,0.53,0.47,0.65
Sys_VAR_ref_400_2,365,0.72,0.39,0.3,0.5
Sys_VAR_ref_400_2,370,0.89,0.51,0.46,0.63
Sys_VAR_ref_400_2,389,0.35,0.38,0.13,0.36
Sys_VAR_ref_400_2,392,0.82,0.48,0.43,0.61
Sys_VAR_ref_400_2,394,0.88,0.49,0.44,0.62
Sys_VAR_ref_400_2,396,0.9,0.66,0.6,0.76
Sys_VAR_ref_400_2,400,0.85,0.68,0.61,0.74
Sys_VAR_ref_400_2,405,0.55,0.58,0.35,0.55
Sys_VAR_ref_400_2,406,0.77,0.68,0.54,0.71
Sys_VAR_ref_400_2,413,0.86,0.64,0.56,0.71
Sys_VAR_ref_400_2,415,0.55,0.44,0.25,0.46
Sys_VAR_ref_400_2,419,0.75,0.58,0.47,0.63
Sys_VAR_ref_400_2,421,0.6,0.6,0.37,0.59
Sys_VAR_ref_400_2,426,0.49,0.31,0.15,0.37
Sys_VAR_ref_400_2,429,0.72,0.57,0.48,0.63
Sys_VAR_ref_400_2,432,0.86,0.67,0.61,0.75
Sys_VAR_ref_400_2,443,0.7,0.8,0.59,0.71
