image_id,source,alignment_score,artifact_score,class_id
0,Sys_VAR_ref_500_1,4.85,4.2,4
0,Sys_VAR_ref_500_2,4.62,3.85,4
0,Sys_VAR_ref_500_3,4.85,4.72,4
0,User_VAR_500_1,5.0,3.0,4
0,User_VAR_500_2,4.44,3.0,4
0,User_VAR_500_3,5.0,3.0,4
1,Sys_VAR_ref_500_1,4.65,1.82,4
1,Sys_VAR_ref_500_2,4.65,3.82,4
1,Sys_VAR_ref_500_3,4.62,2.85,4
1,User_VAR_500_1,5.0,3.0,4
1,User_VAR_500_2,4.44,3.0,4
1,User_VAR_500_3,5.0,3.0,4
4,Sys_VAR_ref_500_1,4.65,3.85,4
4,Sys_VAR_ref_500_2,4.68,3.85,4
4,Sys_VAR_ref_500_3,4.85,4.62,4
4,User_VAR_500_1,5.0,3.0,4
4,User_VAR_500_2,5.0,3.0,4
4,User_VAR_500_3,5.0,3.0,4
6,Sys_VAR_ref_500_1,3.85,1.42,4
6,Sys_VAR_ref_500_2,4.35,2.85,4
6,Sys_VAR_ref_500_3,4.65,3.85,4
6,User_VAR_500_1,5.0,3.0,4
6,User_VAR_500_2,5.0,3.0,4
6,User_VAR_500_3,4.29,3.0,4
9,Sys_VAR_ref_500_1,3.85,2.15,4
9,Sys_VAR_ref_500_2,4.65,2.85,4
9,Sys_VAR_ref_500_3,4.65,2.85,4
9,User_VAR_500_1,5.0,3.0,4
9,User_VAR_500_2,5.0,2.0,4
9,User_VAR_500_3,4.38,2.0,4
11,Sys_VAR_ref_500_1,4.15,3.65,7
11,Sys_VAR_ref_500_2,4.15,3.85,7
11,Sys_VAR_ref_500_3,4.12,3.85,7
11,User_VAR_500_1,4.17,3.0,7
11,User_VAR_500_2,4.17,4.0,7
11,User_VAR_500_3,4.17,4.0,7
12,Sys_VAR_ref_500_1,3.85,1.5,7
12,Sys_VAR_ref_500_2,3.85,2.15,7
12,Sys_VAR_ref_500_3,4.12,1.5,7
12,User_VAR_500_1,5.0,2.0,7
12,User_VAR_500_2,4.09,3.0,7
12,User_VAR_500_3,4.09,3.0,7
13,Sys_VAR_ref_500_1,4.82,4.15,7
13,Sys_VAR_ref_500_2,4.85,3.65,7
13,Sys_VAR_ref_500_3,4.82,3.65,7
13,User_VAR_500_1,5.0,4.0,7
13,User_VAR_500_2,5.0,4.0,7
13,User_VAR_500_3,5.0,5.0,7
14,Sys_VAR_ref_500_1,4.12,1.5,7
14,Sys_VAR_ref_500_2,4.82,1.5,7
14,Sys_VAR_ref_500_3,4.12,1.5,7
14,User_VAR_500_1,5.0,3.0,7
14,User_VAR_500_2,5.0,2.0,7
14,User_VAR_500_3,5.0,2.0,7
18,Sys_VAR_ref_500_1,3.85,3.92,7
18,Sys_VAR_ref_500_2,3.45,2.8,7
18,Sys_VAR_ref_500_3,3.42,2.85,7
18,User_VAR_500_1,3.33,3.0,7
18,User_VAR_500_2,3.33,3.0,7
18,User_VAR_500_3,3.33,3.0,7
20,Sys_VAR_ref_500_1,3.42,2.15,10
20,Sys_VAR_ref_500_2,4.85,4.15,10
20,Sys_VAR_ref_500_3,4.85,4.75,10
20,User_VAR_500_1,5.0,3.0,10
20,User_VAR_500_2,5.0,5.0,10
20,User_VAR_500_3,3.75,4.0,10
21,Sys_VAR_ref_500_1,3.42,2.85,10
21,Sys_VAR_ref_500_2,3.42,2.85,10
21,Sys_VAR_ref_500_3,3.65,1.85,10
21,User_VAR_500_1,4.44,2.0,10
21,User_VAR_500_2,4.38,3.0,10
21,User_VAR_500_3,4.38,3.0,10
26,Sys_VAR_ref_500_1,4.92,4.85,10
26,Sys_VAR_ref_500_2,4.82,4.65,10
26,Sys_VAR_ref_500_3,4.92,4.95,10
26,User_VAR_500_1,4.0,5.0,10
26,User_VAR_500_2,4.0,5.0,10
26,User_VAR_500_3,4.0,5.0,10
27,Sys_VAR_ref_500_1,4.85,1.5,10
27,Sys_VAR_ref_500_2,4.12,1.5,10
27,Sys_VAR_ref_500_3,3.85,1.5,10
27,User_VAR_500_1,3.33,4.0,10
27,User_VAR_500_2,3.33,4.0,10
27,User_VAR_500_3,5.0,4.0,10
29,Sys_VAR_ref_500_1,3.85,1.5,10
29,Sys_VAR_ref_500_2,3.15,1.5,10
29,Sys_VAR_ref_500_3,3.42,1.5,10
29,User_VAR_500_1,3.89,5.0,10
29,User_VAR_500_2,4.0,2.0,10
29,User_VAR_500_3,4.38,2.0,10
30,Sys_VAR_ref_500_1,1.25,1.5,25
30,Sys_VAR_ref_500_2,4.12,3.65,25
30,Sys_VAR_ref_500_3,3.85,3.6,25
30,User_VAR_500_1,4.0,3.0,25
30,User_VAR_500_2,4.0,4.0,25
30,User_VAR_500_3,4.0,4.0,25
33,Sys_VAR_ref_500_1,4.72,3.85,25
33,Sys_VAR_ref_500_2,4.65,3.85,25
33,Sys_VAR_ref_500_3,4.72,1.5,25
33,User_VAR_500_1,4.29,4.0,25
33,User_VAR_500_2,4.29,4.0,25
33,User_VAR_500_3,4.29,4.0,25
35,Sys_VAR_ref_500_1,4.85,4.92,25
35,Sys_VAR_ref_500_2,4.85,1.5,25
35,Sys_VAR_ref_500_3,4.85,4.92,25
35,User_VAR_500_1,5.0,2.0,25
35,User_VAR_500_2,5.0,2.0,25
35,User_VAR_500_3,5.0,5.0,25
36,Sys_VAR_ref_500_1,4.65,2.0,25
