source,alignment_norm,authenticity_norm,composite_product,composite_harmonic,alignment_norm_std,alignment_norm_se,alignment_norm_ci_low,alignment_norm_ci_high,authenticity_norm_std,authenticity_norm_se,authenticity_norm_ci_low,authenticity_norm_ci_high,composite_product_std,composite_product_se,composite_product_ci_low,composite_product_ci_high,composite_harmonic_std,composite_harmonic_se,composite_harmonic_ci_low,composite_harmonic_ci_high,composite_product_x_vendi_ratio,composite_product_x_vendi_ratio_std,composite_product_x_vendi_ratio_se,composite_product_x_vendi_ratio_ci_low,composite_product_x_vendi_ratio_ci_high,composite_product_x_vendi_ratio_train,composite_product_x_vendi_ratio_train_std,composite_product_x_vendi_ratio_train_se,composite_product_x_vendi_ratio_train_ci_low,composite_product_x_vendi_ratio_train_ci_high,composite_harmonic_x_vendi_ratio,composite_harmonic_x_vendi_ratio_std,composite_harmonic_x_vendi_ratio_se,composite_harmonic_x_vendi_ratio_ci_low,composite_harmonic_x_vendi_ratio_ci_high,composite_harmonic_x_vendi_ratio_train,composite_harmonic_x_vendi_ratio_train_std,composite_harmonic_x_vendi_ratio_train_se,composite_harmonic_x_vendi_ratio_train_ci_low,composite_harmonic_x_vendi_ratio_train_ci_high,composite_product_x_MEAN_VENDI_RATIO,composite_harmonic_x_MEAN_VENDI_RATIO,composite_product_x_MEAN_VENDI_RATIO_TRAIN,composite_harmonic_x_MEAN_VENDI_RATIO_TRAIN
Sys_VAR_ref_500_1,0.7515,0.557,0.4468,0.6094,0.1609,0.0161,0.7196,0.7834,0.1488,0.0149,0.5275,0.5865,0.1681,0.0168,0.4135,0.4801,0.1499,0.015,0.5797,0.6391,0.4734,0.3908,0.0391,0.3959,0.5509,0.382,0.1559,0.0156,0.3511,0.4129,0.6504,0.4906,0.0491,0.5531,0.7477,0.5205,0.1502,0.015,0.4907,0.5503,0.4874,0.6648,0.3829,0.5223
Sys_VAR_ref_500_2,0.7685,0.568,0.4645,0.625,0.1591,0.0159,0.7369,0.8001,0.1447,0.0145,0.5393,0.5967,0.1678,0.0168,0.4312,0.4978,0.1482,0.0148,0.5956,0.6544,0.4932,0.4035,0.0403,0.4131,0.5733,0.3973,0.1583,0.0158,0.3659,0.4287,0.6702,0.5075,0.0508,0.5695,0.7709,0.5347,0.1531,0.0153,0.5043,0.5651,0.5067,0.6818,0.3981,0.5357
Sys_VAR_ref_500_3,0.7541,0.5717,0.4611,0.6195,0.1767,0.0177,0.719,0.7892,0.1553,0.0155,0.5409,0.6025,0.1785,0.0178,0.4257,0.4965,0.1614,0.0161,0.5875,0.6515,0.4892,0.4244,0.0424,0.405,0.5734,0.3934,0.1616,0.0162,0.3613,0.4255,0.6629,0.5216,0.0522,0.5594,0.7664,0.5287,0.158,0.0158,0.4974,0.56,0.503,0.6758,0.3952,0.531
User_VAR_500_1,0.7893,0.604,0.5018,0.6448,0.1971,0.0197,0.7502,0.8284,0.1513,0.0151,0.574,0.634,0.1923,0.0192,0.4636,0.54,0.1759,0.0176,0.6099,0.6797,0.5335,0.4529,0.0453,0.4436,0.6234,0.4291,0.1755,0.0175,0.3943,0.4639,0.6907,0.5371,0.0537,0.5841,0.7973,0.5526,0.1736,0.0174,0.5182,0.587,0.5474,0.7034,0.4301,0.5527
User_VAR_500_2,0.7753,0.608,0.496,0.6408,0.1972,0.0197,0.7362,0.8144,0.1515,0.0151,0.5779,0.6381,0.1924,0.0192,0.4578,0.5342,0.1771,0.0177,0.6057,0.6759,0.5342,0.4605,0.0461,0.4428,0.6256,0.4257,0.179,0.0179,0.3902,0.4612,0.6941,0.5517,0.0552,0.5846,0.8036,0.5504,0.1777,0.0178,0.5151,0.5857,0.5411,0.6991,0.4251,0.5492
User_VAR_500_3,0.7872,0.6152,0.5066,0.6485,0.1975,0.0198,0.748,0.8264,0.1464,0.0146,0.5862,0.6442,0.1905,0.0191,0.4688,0.5444,0.176,0.0176,0.6136,0.6834,0.5432,0.4528,0.0453,0.4534,0.633,0.4356,0.1788,0.0179,0.4001,0.4711,0.6989,0.5433,0.0543,0.5911,0.8067,0.557,0.1776,0.0178,0.5218,0.5922,0.5527,0.7075,0.4342,0.5558
Sys_VAR_ref_500_AVG_STATS,0.758,0.5656,0.4575,0.618,0.1656,0.0166,0.7252,0.7909,0.1496,0.015,0.5359,0.5952,0.1715,0.0171,0.4235,0.4915,0.1532,0.0153,0.5876,0.6483,0.4853,0.4062,0.0406,0.4047,0.5659,0.3909,0.1586,0.0159,0.3594,0.4224,0.6612,0.5066,0.0507,0.5607,0.7617,0.528,0.1538,0.0154,0.4975,0.5585,0.499,0.6741,0.3921,0.5297
Sys_VAR_ref_500_AVG_PERCLASS,0.758,0.5656,0.4575,0.618,0.1621,0.0162,0.7259,0.7902,0.1437,0.0144,0.537,0.5941,0.1664,0.0166,0.4245,0.4905,0.1492,0.0149,0.5884,0.6476,0.4853,0.4013,0.0401,0.4056,0.5649,0.3909,0.1541,0.0154,0.3603,0.4215,0.6612,0.5038,0.0504,0.5612,0.7611,0.528,0.1505,0.015,0.4981,0.5578,0.4991,0.6741,0.3921,0.5297
Human_VAR_500_AVG_STATS,0.7839,0.6091,0.5015,0.6447,0.1973,0.0197,0.7448,0.8231,0.1497,0.0149,0.5794,0.6388,0.1917,0.0192,0.4634,0.5395,0.1763,0.0176,0.6097,0.6797,0.537,0.4554,0.0456,0.4466,0.6273,0.4301,0.1778,0.0178,0.3949,0.4654,0.6946,0.544,0.0544,0.5866,0.8025,0.5533,0.1763,0.0177,0.5184,0.5883,0.5471,0.7033,0.4298,0.5526
Human_VAR_500_AVG_PERCLASS,0.7839,0.6091,0.5015,0.6447,0.1929,0.0193,0.7457,0.8222,0.1442,0.0144,0.5805,0.6377,0.187,0.0187,0.4644,0.5386,0.1723,0.0172,0.6105,0.6789,0.537,0.452,0.0452,0.4473,0.6267,0.4301,0.1738,0.0174,0.3956,0.4646,0.6946,0.542,0.0542,0.587,0.8021,0.5533,0.1732,0.0173,0.519,0.5877,0.5471,0.7033,0.4298,0.5526
