source,class_id,alignment_norm,authenticity_norm,composite_product_classmean,composite_harmonic_classmean,vendi_ratio,vendi_ratio_train,composite_product_classmean_x_vendi_ratio,composite_product_classmean_x_vendi_ratio_train,composite_harmonic_classmean_x_vendi_ratio,composite_harmonic_classmean_x_vendi_ratio_train
Sys_VAR_ref_500_1,4,0.87,0.54,0.48,0.65,1.15,1.02,0.56,0.5,0.74,0.66
Sys_VAR_ref_500_1,7,0.83,0.59,0.5,0.66,0.59,0.86,0.29,0.43,0.39,0.57
Sys_VAR_ref_500_1,10,0.82,0.51,0.43,0.6,0.89,0.96,0.38,0.41,0.54,0.58
Sys_VAR_ref_500_1,25,0.78,0.57,0.49,0.64,1.25,0.94,0.61,0.46,0.8,0.6
Sys_VAR_ref_500_1,35,0.76,0.54,0.42,0.63,0.96,0.79,0.4,0.33,0.6,0.5
Sys_VAR_ref_500_1,39,0.91,0.8,0.76,0.84,0.74,0.86,0.56,0.65,0.62,0.72
Sys_VAR_ref_500_1,49,0.63,0.5,0.33,0.56,0.98,0.97,0.32,0.32,0.54,0.54
Sys_VAR_ref_500_1,51,0.85,0.78,0.71,0.81,0.73,0.79,0.52,0.57,0.59,0.65
Sys_VAR_ref_500_1,52,0.88,0.81,0.72,0.84,2.17,0.92,1.57,0.66,1.82,0.77
Sys_VAR_ref_500_1,64,0.65,0.67,0.45,0.62,1.2,0.96,0.54,0.43,0.74,0.59
Sys_VAR_ref_500_1,80,0.79,0.42,0.34,0.54,0.66,1.07,0.23,0.37,0.36,0.58
Sys_VAR_ref_500_1,97,0.87,0.62,0.53,0.67,1.46,0.87,0.78,0.46,0.99,0.59
Sys_VAR_ref_500_1,106,0.89,0.63,0.58,0.73,2.87,0.87,1.67,0.5,2.08,0.63
Sys_VAR_ref_500_1,116,0.93,0.8,0.75,0.86,0.39,0.65,0.29,0.49,0.33,0.55
Sys_VAR_ref_500_1,118,0.61,0.43,0.29,0.51,1.37,1.0,0.4,0.29,0.69,0.5
Sys_VAR_ref_500_1,129,0.75,0.32,0.24,0.45,0.73,1.12,0.17,0.27,0.32,0.5
Sys_VAR_ref_500_1,144,0.77,0.44,0.34,0.54,0.93,0.83,0.32,0.28,0.5,0.45
Sys_VAR_ref_500_1,147,0.86,0.67,0.6,0.75,0.77,0.69,0.46,0.42,0.58,0.52
Sys_VAR_ref_500_1,150,0.8,0.34,0.27,0.47,1.31,0.89,0.35,0.24,0.62,0.42
Sys_VAR_ref_500_1,156,0.89,0.45,0.41,0.59,0.55,0.94,0.23,0.39,0.32,0.55
Sys_VAR_ref_500_1,159,0.73,0.4,0.31,0.51,0.94,0.86,0.29,0.27,0.48,0.44
