score_type,sys_group,human_group,sys_source,human_source,aggregation,n_common,threshold,n_positive,n_negative,auc
alignment_score,Sys_VAR_ref_600,Human_VAR_600,Sys_VAR_ref_600_1,User_VAR_600_1,individual,600,4.38,329,271,0.8228
alignment_score,Sys_VAR_ref_600,Human_VAR_600,Sys_VAR_ref_600_1,User_VAR_600_2,individual,600,4.38,311,289,0.8253
alignment_score,Sys_VAR_ref_600,Human_VAR_600,Sys_VAR_ref_600_1,User_VAR_600_3,individual,599,4.38,314,285,0.8285
alignment_score,Sys_VAR_ref_600,Human_VAR_600,Sys_VAR_ref_600_2,User_VAR_600_1,individual,599,4.38,328,271,0.8365
alignment_score,Sys_VAR_ref_600,Human_VAR_600,Sys_VAR_ref_600_2,User_VAR_600_2,individual,599,4.38,310,289,0.8175
alignment_score,Sys_VAR_ref_600,Human_VAR_600,Sys_VAR_ref_600_2,User_VAR_600_3,individual,598,4.38,313,285,0.8331
alignment_score,Sys_VAR_ref_600,Human_VAR_600,Sys_VAR_ref_600_3,User_VAR_600_1,individual,600,4.38,329,271,0.8513
alignment_score,Sys_VAR_ref_600,Human_VAR_600,Sys_VAR_ref_600_3,User_VAR_600_2,individual,600,4.38,311,289,0.8166
alignment_score,Sys_VAR_ref_600,Human_VAR_600,Sys_VAR_ref_600_3,User_VAR_600_3,individual,599,4.38,314,285,0.836
authenticity_score,Sys_VAR_ref_600,Human_VAR_600,Sys_VAR_ref_600_1,User_VAR_600_1,individual,600,3.0,377,223,0.8332
authenticity_score,Sys_VAR_ref_600,Human_VAR_600,Sys_VAR_ref_600_1,User_VAR_600_2,individual,600,3.0,385,215,0.8245
authenticity_score,Sys_VAR_ref_600,Human_VAR_600,Sys_VAR_ref_600_1,User_VAR_600_3,individual,599,3.0,396,203,0.8146
authenticity_score,Sys_VAR_ref_600,Human_VAR_600,Sys_VAR_ref_600_2,User_VAR_600_1,individual,599,3.0,376,223,0.8775
authenticity_score,Sys_VAR_ref_600,Human_VAR_600,Sys_VAR_ref_600_2,User_VAR_600_2,individual,599,3.0,384,215,0.857
authenticity_score,Sys_VAR_ref_600,Human_VAR_600,Sys_VAR_ref_600_2,User_VAR_600_3,individual,598,3.0,395,203,0.8356
authenticity_score,Sys_VAR_ref_600,Human_VAR_600,Sys_VAR_ref_600_3,User_VAR_600_1,individual,600,3.0,377,223,0.8573
authenticity_score,Sys_VAR_ref_600,Human_VAR_600,Sys_VAR_ref_600_3,User_VAR_600_2,individual,600,3.0,385,215,0.8412
authenticity_score,Sys_VAR_ref_600,Human_VAR_600,Sys_VAR_ref_600_3,User_VAR_600_3,individual,599,3.0,396,203,0.8272
alignment_score,Sys_VAR_ref_600,Human_VAR_600,Sys_VAR_ref_600 (avg),Human_VAR_600 (avg),group_avg,600,4.38,310,290,0.8802
authenticity_score,Sys_VAR_ref_600,Human_VAR_600,Sys_VAR_ref_600 (avg),Human_VAR_600 (avg),group_avg,600,3.0,351,249,0.9055
