score_type,source_1,source_2,n_common_images,pearson_r,pearson_p,spearman_r,spearman_p,icc_2_1_absolute_agreement,icc_3_1_consistency
alignment_score,Sys_VAR_ref_600_1,Sys_VAR_ref_600_2,599,0.8015,0.0,0.7596,0.0,0.8013,0.8013
alignment_score,Sys_VAR_ref_600_1,Sys_VAR_ref_600_3,600,0.8331,0.0,0.7887,0.0,0.833,0.833
alignment_score,Sys_VAR_ref_600_1,User_VAR_600_1,600,0.6482,0.0,0.5909,0.0,0.6401,0.6456
alignment_score,Sys_VAR_ref_600_1,User_VAR_600_2,600,0.6897,0.0,0.629,0.0,0.6841,0.6866
alignment_score,Sys_VAR_ref_600_1,User_VAR_600_3,599,0.7164,0.0,0.6329,0.0,0.7107,0.7127
alignment_score,Sys_VAR_ref_600_2,Sys_VAR_ref_600_3,599,0.8302,0.0,0.7814,0.0,0.8304,0.8301
alignment_score,Sys_VAR_ref_600_2,User_VAR_600_1,599,0.7033,0.0,0.6262,0.0,0.6953,0.6992
alignment_score,Sys_VAR_ref_600_2,User_VAR_600_2,599,0.6852,0.0,0.6127,0.0,0.6796,0.6808
alignment_score,Sys_VAR_ref_600_2,User_VAR_600_3,598,0.7032,0.0,0.6346,0.0,0.6974,0.6981
alignment_score,Sys_VAR_ref_600_3,User_VAR_600_1,600,0.718,0.0,0.65,0.0,0.7104,0.7145
alignment_score,Sys_VAR_ref_600_3,User_VAR_600_2,600,0.6725,0.0,0.5967,0.0,0.6677,0.6689
alignment_score,Sys_VAR_ref_600_3,User_VAR_600_3,599,0.7083,0.0,0.63,0.0,0.7031,0.7039
alignment_score,User_VAR_600_1,User_VAR_600_2,600,0.8118,0.0,0.7872,0.0,0.8113,0.8118
alignment_score,User_VAR_600_1,User_VAR_600_3,599,0.8378,0.0,0.8187,0.0,0.8369,0.8378
alignment_score,User_VAR_600_2,User_VAR_600_3,599,0.8592,0.0,0.8334,0.0,0.8594,0.8592
artifact_score,Sys_VAR_ref_600_1,Sys_VAR_ref_600_2,599,0.7116,0.0,0.7177,0.0,0.7116,0.7116
artifact_score,Sys_VAR_ref_600_1,Sys_VAR_ref_600_3,600,0.7481,0.0,0.7304,0.0,0.7466,0.7481
artifact_score,Sys_VAR_ref_600_1,User_VAR_600_1,600,0.6319,0.0,0.6317,0.0,0.6184,0.6319
artifact_score,Sys_VAR_ref_600_1,User_VAR_600_2,600,0.6309,0.0,0.6238,0.0,0.6141,0.6307
artifact_score,Sys_VAR_ref_600_1,User_VAR_600_3,599,0.6161,0.0,0.6167,0.0,0.5922,0.6157
artifact_score,Sys_VAR_ref_600_2,Sys_VAR_ref_600_3,599,0.7482,0.0,0.735,0.0,0.748,0.7482
artifact_score,Sys_VAR_ref_600_2,User_VAR_600_1,599,0.7012,0.0,0.6996,0.0,0.6907,0.7012
artifact_score,Sys_VAR_ref_600_2,User_VAR_600_2,599,0.6785,0.0,0.6765,0.0,0.6653,0.6783
artifact_score,Sys_VAR_ref_600_2,User_VAR_600_3,598,0.6477,0.0,0.6403,0.0,0.6284,0.6473
artifact_score,Sys_VAR_ref_600_3,User_VAR_600_1,600,0.6718,0.0,0.6644,0.0,0.6655,0.6718
artifact_score,Sys_VAR_ref_600_3,User_VAR_600_2,600,0.6939,0.0,0.6854,0.0,0.6845,0.6936
artifact_score,Sys_VAR_ref_600_3,User_VAR_600_3,599,0.6483,0.0,0.6356,0.0,0.6335,0.6478
artifact_score,User_VAR_600_1,User_VAR_600_2,600,0.7478,0.0,0.7356,0.0,0.7477,0.7476
artifact_score,User_VAR_600_1,User_VAR_600_3,599,0.7505,0.0,0.7411,0.0,0.7483,0.7501
artifact_score,User_VAR_600_2,User_VAR_600_3,599,0.7635,0.0,0.7547,0.0,0.7629,0.7634
