image_id,source,alignment_score,artifact_score
0,Sys_VAR_ref_1,4.85,4.2
0,Sys_VAR_ref_2,4.62,3.85
0,Sys_VAR_ref_3,4.85,4.72
0,User_VAR_1,5.0,3.0
0,User_VAR_2,4.44,3.0
0,User_VAR_3,5.0,3.0
1,Sys_VAR_ref_1,4.65,1.82
1,Sys_VAR_ref_2,4.65,3.82
1,Sys_VAR_ref_3,4.62,2.85
1,User_VAR_1,5.0,3.0
1,User_VAR_2,4.44,3.0
1,User_VAR_3,5.0,3.0
2,Sys_VAR_ref_1,4.15,2.85
2,Sys_VAR_ref_2,4.12,2.85
2,Sys_VAR_ref_3,4.12,2.85
2,User_VAR_1,5.0,2.0
2,User_VAR_2,5.0,2.0
2,User_VAR_3,5.0,2.0
3,Sys_VAR_ref_1,4.12,2.85
3,Sys_VAR_ref_2,4.12,2.85
3,Sys_VAR_ref_3,4.65,2.85
3,User_VAR_1,5.0,3.0
3,User_VAR_2,5.0,2.0
3,User_VAR_3,5.0,3.0
4,Sys_VAR_ref_1,4.65,3.85
4,Sys_VAR_ref_2,4.68,3.85
4,Sys_VAR_ref_3,4.85,4.62
4,User_VAR_1,5.0,3.0
4,User_VAR_2,5.0,3.0
4,User_VAR_3,5.0,3.0
5,Sys_VAR_ref_1,4.85,3.92
5,Sys_VAR_ref_2,4.78,4.15
5,Sys_VAR_ref_3,4.85,3.65
5,User_VAR_1,5.0,5.0
5,User_VAR_2,5.0,4.0
5,User_VAR_3,5.0,5.0
6,Sys_VAR_ref_1,3.85,1.42
6,Sys_VAR_ref_2,4.35,2.85
6,Sys_VAR_ref_3,4.65,3.85
6,User_VAR_1,5.0,3.0
6,User_VAR_2,5.0,3.0
6,User_VAR_3,4.29,3.0
7,Sys_VAR_ref_1,4.82,3.65
7,Sys_VAR_ref_2,4.65,3.85
7,Sys_VAR_ref_3,4.85,3.62
7,User_VAR_1,5.0,4.0
7,User_VAR_2,5.0,3.0
7,User_VAR_3,5.0,3.0
8,Sys_VAR_ref_1,4.12,3.65
8,Sys_VAR_ref_2,4.85,3.6
8,Sys_VAR_ref_3,4.85,3.65
8,User_VAR_1,5.0,4.0
8,User_VAR_2,5.0,4.0
8,User_VAR_3,5.0,4.0
9,Sys_VAR_ref_1,3.85,2.15
9,Sys_VAR_ref_2,4.65,2.85
9,Sys_VAR_ref_3,4.65,2.85
9,User_VAR_1,5.0,3.0
9,User_VAR_2,5.0,2.0
9,User_VAR_3,4.38,2.0
10,Sys_VAR_ref_1,4.68,1.5
10,Sys_VAR_ref_2,4.65,1.5
10,Sys_VAR_ref_3,4.62,1.5
10,User_VAR_1,5.0,2.0
10,User_VAR_2,5.0,3.0
10,User_VAR_3,5.0,3.0
11,Sys_VAR_ref_1,4.15,3.65
11,Sys_VAR_ref_2,4.15,3.85
11,Sys_VAR_ref_3,4.12,3.85
11,User_VAR_1,4.17,3.0
11,User_VAR_2,4.17,4.0
11,User_VAR_3,4.17,4.0
12,Sys_VAR_ref_1,3.85,1.5
12,Sys_VAR_ref_2,3.85,2.15
12,Sys_VAR_ref_3,4.12,1.5
12,User_VAR_1,5.0,2.0
12,User_VAR_2,4.09,3.0
12,User_VAR_3,4.09,3.0
13,Sys_VAR_ref_1,4.82,4.15
13,Sys_VAR_ref_2,4.85,3.65
13,Sys_VAR_ref_3,4.82,3.65
13,User_VAR_1,5.0,4.0
13,User_VAR_2,5.0,4.0
13,User_VAR_3,5.0,5.0
14,Sys_VAR_ref_1,4.12,1.5
14,Sys_VAR_ref_2,4.82,1.5
14,Sys_VAR_ref_3,4.12,1.5
14,User_VAR_1,5.0,3.0
14,User_VAR_2,5.0,2.0
14,User_VAR_3,5.0,2.0
15,Sys_VAR_ref_1,3.65,1.5
15,Sys_VAR_ref_2,3.65,1.5
15,Sys_VAR_ref_3,4.92,1.5
15,User_VAR_1,4.5,4.0
15,User_VAR_2,4.09,3.0
15,User_VAR_3,4.09,2.0
16,Sys_VAR_ref_1,4.85,4.92
16,Sys_VAR_ref_2,4.85,4.92
16,Sys_VAR_ref_3,4.65,4.82
16,User_VAR_1,5.0,5.0
16,User_VAR_2,5.0,5.0
16,User_VAR_3,4.17,4.0
17,Sys_VAR_ref_1,4.15,1.5
17,Sys_VAR_ref_2,3.85,1.5
17,Sys_VAR_ref_3,3.85,1.5
17,User_VAR_1,3.64,3.0
17,User_VAR_2,3.64,4.0
17,User_VAR_3,5.0,3.0
18,Sys_VAR_ref_1,3.85,3.92
18,Sys_VAR_ref_2,3.45,2.8
18,Sys_VAR_ref_3,3.42,2.85
18,User_VAR_1,3.33,3.0
18,User_VAR_2,3.33,3.0
18,User_VAR_3,3.33,3.0
19,Sys_VAR_ref_1,4.12,1.5
19,Sys_VAR_ref_2,3.85,1.5
19,Sys_VAR_ref_3,3.85,1.5
19,User_VAR_1,4.09,3.0
19,User_VAR_2,4.09,3.0
19,User_VAR_3,5.0,3.0
20,Sys_VAR_ref_1,3.42,2.15
20,Sys_VAR_ref_2,4.85,4.15
20,Sys_VAR_ref_3,4.85,4.75
20,User_VAR_1,5.0,3.0
20,User_VAR_2,5.0,5.0
20,User_VAR_3,3.75,4.0
21,Sys_VAR_ref_1,3.42,2.85
21,Sys_VAR_ref_2,3.42,2.85
21,Sys_VAR_ref_3,3.65,1.85
21,User_VAR_1,4.44,2.0
21,User_VAR_2,4.38,3.0
21,User_VAR_3,4.38,3.0
22,Sys_VAR_ref_1,4.65,4.98
22,Sys_VAR_ref_2,4.85,4.92
22,Sys_VAR_ref_3,4.15,4.92
22,User_VAR_1,4.38,4.0
22,User_VAR_2,4.44,4.0
22,User_VAR_3,4.44,4.0
23,Sys_VAR_ref_1,4.82,1.5
23,Sys_VAR_ref_2,4.92,4.85
23,Sys_VAR_ref_3,4.82,3.65
23,User_VAR_1,5.0,5.0
23,User_VAR_2,4.0,5.0
23,User_VAR_3,4.0,5.0
24,Sys_VAR_ref_1,3.42,3.85
24,Sys_VAR_ref_2,3.85,2.4
24,Sys_VAR_ref_3,3.85,4.92
24,User_VAR_1,2.22,2.0
24,User_VAR_2,2.22,3.0
24,User_VAR_3,2.5,3.0
25,Sys_VAR_ref_1,3.65,3.8
25,Sys_VAR_ref_2,3.65,3.2
25,Sys_VAR_ref_3,3.82,4.15
25,User_VAR_1,3.75,4.0
25,User_VAR_2,4.17,2.0
26,Sys_VAR_ref_1,4.92,4.85
26,Sys_VAR_ref_2,4.82,4.65
26,Sys_VAR_ref_3,4.92,4.95
26,User_VAR_1,4.0,5.0
26,User_VAR_2,4.0,5.0
26,User_VAR_3,4.0,5.0
27,Sys_VAR_ref_1,4.85,1.5
27,Sys_VAR_ref_2,4.12,1.5
27,Sys_VAR_ref_3,3.85,1.5
27,User_VAR_1,3.33,4.0
27,User_VAR_2,3.33,4.0
27,User_VAR_3,5.0,4.0
28,Sys_VAR_ref_1,2.85,1.5
28,Sys_VAR_ref_2,3.42,2.85
28,Sys_VAR_ref_3,3.85,2.15
28,User_VAR_1,3.89,2.0
28,User_VAR_2,2.78,3.0
28,User_VAR_3,3.89,3.0
29,Sys_VAR_ref_1,3.85,1.5
29,Sys_VAR_ref_2,3.15,1.5
29,Sys_VAR_ref_3,3.42,1.5
29,User_VAR_1,3.89,5.0
29,User_VAR_2,4.0,2.0
