image_id,output_DiT_val_1_alignment_score,output_DiT_val_1_artifact_score,output_DiT_val_2_alignment_score,output_DiT_val_2_artifact_score,output_DiT_val_3_alignment_score,output_DiT_val_3_artifact_score,alignment_score_mean,alignment_score_std,alignment_score_range,alignment_score_min,alignment_score_max,artifact_score_mean,artifact_score_std,artifact_score_range,artifact_score_min,artifact_score_max
000000,4.12,2.87,4.12,2.38,3.85,2.15,4.03,0.12727922061357858,0.27,3.85,4.12,2.466666666666667,0.3002591473303613,0.7200000000000002,2.15,2.87
000001,4.32,3.15,4.12,2.35,4.35,2.65,4.263333333333334,0.10208928554075693,0.22999999999999954,4.12,4.35,2.716666666666667,0.3299831645537221,0.7999999999999998,2.35,3.15
000002,4.35,3.82,4.32,2.18,4.35,3.12,4.34,0.014142135623730649,0.02999999999999936,4.32,4.35,3.0400000000000005,0.6719126927411526,1.6399999999999997,2.18,3.82
000003,4.65,3.85,4.35,1.5,4.25,2.15,4.416666666666667,0.1699673171197597,0.40000000000000036,4.25,4.65,2.5,0.9907909298467901,2.35,1.5,3.85
000004,3.85,1.42,3.2,2.1,3.2,1.1,3.4166666666666665,0.30641293851417056,0.6499999999999999,3.2,3.85,1.54,0.41697322056298375,1.0,1.1,2.1
000005,4.25,2.85,4.35,3.12,4.35,3.85,4.316666666666666,0.047140452079103,0.09999999999999964,4.25,4.35,3.2733333333333334,0.4224005471376928,1.0,2.85,3.85
000006,3.82,1.5,4.2,1.5,3.82,1.5,3.9466666666666668,0.1791337179005922,0.38000000000000034,3.82,4.2,1.5,0.0,0.0,1.5,1.5
000007,4.65,1.85,4.2,1.5,4.2,1.5,4.3500000000000005,0.21213203435596434,0.4500000000000002,4.2,4.65,1.6166666666666665,0.16499158227686114,0.3500000000000001,1.5,1.85
000008,4.15,2.85,4.2,2.1,4.2,2.8,4.183333333333334,0.0235702260395515,0.04999999999999982,4.15,4.2,2.5833333333333335,0.34237730973623554,0.75,2.1,2.85
000009,4.2,1.5,4.25,1.5,4.2,1.5,4.216666666666666,0.0235702260395515,0.04999999999999982,4.2,4.25,1.5,0.0,0.0,1.5,1.5
000010,3.82,1.5,3.85,1.5,4.2,1.5,3.956666666666667,0.17249798710580824,0.38000000000000034,3.82,4.2,1.5,0.0,0.0,1.5,1.5
000011,4.25,1.5,3.85,1.5,4.15,1.5,4.083333333333333,0.16996731711975951,0.3999999999999999,3.85,4.25,1.5,0.0,0.0,1.5,1.5
