对比对 (Comparison),n,Spearman ρ,Spearman p,Pearson r,Pearson p,Normalized RMSE
Sys_composite_product  vs  Human_composite_product,5,1.0,0.0,0.9882,0.0015,0.0748
(-FID)  vs  Human_composite_product,5,0.5643,0.3217,0.6439,0.241,0.3317
Sys_composite_harmonic  vs  Human_composite_harmonic,5,0.9,0.0374,0.9763,0.0044,0.1115
(-FID)  vs  Human_composite_harmonic,5,0.6669,0.2189,0.763,0.1334,0.2821
Sys_composite_product_x_vendi_ratio  vs  Human_composite_product_x_vendi_ratio,5,1.0,0.0,0.9881,0.0016,0.0549
(-FID)  vs  Human_composite_product_x_vendi_ratio,5,0.4104,0.4925,0.4664,0.4285,0.4016
Sys_composite_product_x_vendi_ratio_train  vs  Human_composite_product_x_vendi_ratio_train,5,1.0,0.0,0.9929,0.0007,0.0489
(-FID)  vs  Human_composite_product_x_vendi_ratio_train,5,0.6669,0.2189,0.7662,0.1308,0.2919
Sys_composite_harmonic_x_vendi_ratio  vs  Human_composite_harmonic_x_vendi_ratio,5,0.9,0.0374,0.9881,0.0016,0.0674
(-FID)  vs  Human_composite_harmonic_x_vendi_ratio,5,0.4104,0.4925,0.502,0.3887,0.4348
Sys_composite_harmonic_x_vendi_ratio_train  vs  Human_composite_harmonic_x_vendi_ratio_train,5,1.0,0.0,0.9883,0.0015,0.0552
(-FID)  vs  Human_composite_harmonic_x_vendi_ratio_train,5,0.6669,0.2189,0.7283,0.1629,0.3354
Sys_composite_product_x_MEAN_VENDI_RATIO  vs  Human_composite_product_x_MEAN_VENDI_RATIO,5,0.9,0.0374,0.9915,0.0009,0.0547
(-FID)  vs  Human_composite_product_x_MEAN_VENDI_RATIO,5,0.2052,0.7406,0.4995,0.3916,0.4052
Sys_composite_harmonic_x_MEAN_VENDI_RATIO  vs  Human_composite_harmonic_x_MEAN_VENDI_RATIO,5,0.9,0.0374,0.9777,0.004,0.0794
(-FID)  vs  Human_composite_harmonic_x_MEAN_VENDI_RATIO,5,0.4104,0.4925,0.4991,0.392,0.4565
Sys_composite_product_x_MEAN_VENDI_RATIO_TRAIN  vs  Human_composite_product_x_MEAN_VENDI_RATIO_TRAIN,5,0.9,0.0374,0.9921,0.0008,0.0513
(-FID)  vs  Human_composite_product_x_MEAN_VENDI_RATIO_TRAIN,5,0.5643,0.3217,0.6916,0.1958,0.3258
Sys_composite_harmonic_x_MEAN_VENDI_RATIO_TRAIN  vs  Human_composite_harmonic_x_MEAN_VENDI_RATIO_TRAIN,5,1.0,0.0,0.9903,0.0011,0.0512
(-FID)  vs  Human_composite_harmonic_x_MEAN_VENDI_RATIO_TRAIN,5,0.6669,0.2189,0.7219,0.1685,0.3523
