total_images,per_class,metric,sys_run1,sys_run2,sys_run3,sys_mean,sys_std,sys_cv,user_run1,user_run2,user_run3,user_mean,user_std,user_cv,pearson_r,spearman_rho,abs_diff,sys_deviation,sys_rel_deviation_pct,user_deviation,user_rel_deviation_pct
200,2,alignment_norm,0.7698,0.7646,0.7561,0.7635,0.00691592365487071,0.009058184223799228,0.7949,0.7845,0.7833,0.7875666666666667,0.006379132647416403,0.008099800204109369,0.7707069602127065,0.6830762418935069,0.02406666666666679,-0.0013333333333334085,-0.17432991937242212,0.0011999999999999789,0.15260056801322266
200,2,authenticity_norm,0.5789,0.5783,0.5897,0.5823,0.006415605972938174,0.011017698734223208,0.62,0.622,0.623,0.6216666666666667,0.001527525231651948,0.0024571451447484415,0.8093441345192732,0.7836107628234125,0.03936666666666666,0.019000000000000017,3.3729806497425914,0.011933333333333351,1.9571397332167098
200,2,composite_product,0.4741,0.4696,0.4766,0.4734333333333334,0.003547299442298797,0.007492711629160311,0.5228,0.5141,0.5149,0.5172666666666667,0.004808672720547065,0.009296312773322074,0.8389249742048146,0.8178280035205507,0.04383333333333328,0.014266666666666705,3.107078039927413,0.011333333333333306,2.240084332586633
400,4,alignment_norm,0.7547,0.7623,0.7574,0.7581333333333333,0.0038527046776690712,0.00508182994768168,0.7841,0.7709,0.7775,0.7775,0.006599999999999995,0.00848874598070739,0.7870112631060127,0.8145910642079056,0.019366666666666643,-0.006700000000000039,-0.8760078448463768,-0.0088666666666668,-1.127548641431071
400,4,authenticity_norm,0.5651,0.5747,0.5851,0.5749666666666667,0.010002666311205848,0.017396949929629278,0.6065,0.6105,0.6235,0.6135,0.008888194417315597,0.014487684461802113,0.8470823304548641,0.8517397697082005,0.03853333333333331,0.011666666666666714,2.071128469140194,0.003766666666666696,0.6177563962387977
400,4,composite_product,0.4587,0.4692,0.4734,0.4671,0.0075716576784743755,0.016209928662972328,0.5069,0.4995,0.5131,0.5065,0.006808817812219681,0.01344287820773876,0.858803432125435,0.8735154146252468,0.039399999999999935,0.007933333333333348,1.7277676950998218,0.0005666666666666043,0.11200421662931959
500,5,alignment_norm,0.7515,0.7685,0.7541,0.7580333333333332,0.009157146571576394,0.012080137071689541,0.7893,0.7753,0.7872,0.7839333333333333,0.007550055187436279,0.009630991394807739,0.8126598890841785,0.8008877045727992,0.025900000000000034,-0.006800000000000139,-0.8890825887993208,-0.0024333333333335094,-0.30944004069350717
500,5,authenticity_norm,0.557,0.568,0.5717,0.5655666666666667,0.007646131919691988,0.013519417551173434,0.604,0.608,0.6152,0.6090666666666666,0.005675679107678063,0.009318650023551986,0.861556436496548,0.8493849140720255,0.04349999999999998,0.002266666666666639,0.40239067400437406,-0.0006666666666667043,-0.10933741526350935
500,5,composite_product,0.4468,0.4645,0.4611,0.4574666666666667,0.009392727683337454,0.02053204827310723,0.5018,0.496,0.5066,0.5014666666666666,0.0053078558131635055,0.010584663280703614,0.8643422208331493,0.8323406119901912,0.04399999999999993,-0.0016999999999999793,-0.3702359346642423,-0.00446666666666673,-0.8828567663723936
600,6,alignment_norm,0.7543,0.7608,0.7611,0.7587333333333333,0.0038423083339749723,0.005064109042230436,0.7919,0.7798,0.7771,0.7829333333333334,0.007881835657594843,0.010067058486369435,0.7894804364464081,0.7846517197227604,0.02420000000000011,-0.006100000000000105,-0.7975593811288,-0.0034333333333333993,-0.43660718070451426
600,6,authenticity_norm,0.5543,0.5616,0.5697,0.5618666666666666,0.007703462424996509,0.013710481297454632,0.6019,0.608,0.6188,0.6095666666666667,0.008558231904624552,0.014039862040724917,0.8753039661071693,0.8597750267549432,0.047700000000000076,-0.0014333333333333975,-0.2544529262086628,-0.0001666666666666483,-0.02733435381587278
600,6,composite_product,0.4494,0.4583,0.4637,0.45713333333333334,0.007221034090304044,0.015796341162980992,0.5045,0.5033,0.5084,0.5054,0.0026664583251946763,0.0052759365358026845,0.8663904277775415,0.8549690018938899,0.048266666666666624,-0.0020333333333333314,-0.4428312159709615,-0.0005333333333333856,-0.10541573329820508
800,8,alignment_norm,0.7616,0.7688,0.7638,0.7647333333333334,0.0036896250938724504,0.004824721158407005,0.7947,0.7842,0.7867,0.7885333333333332,0.0054848275573014275,0.006955733290456664,0.7548079891248448,0.7685700670448581,0.02379999999999982,-9.999999999998899e-05,-0.013074743952929482,0.002166666666666428,0.2755288033571821
800,8,authenticity_norm,0.5536,0.5625,0.5694,0.5618333333333333,0.007921068951431593,0.01409860982159287,0.6042,0.6061,0.6153,0.6085333333333333,0.005936609582357029,0.009755602950849632,0.8655345197935576,0.8522897795072042,0.046699999999999964,-0.0014666666666667272,-0.26037043612049127,-0.0012000000000000899,-0.19680734747432044
800,8,composite_product,0.4491,0.4602,0.4625,0.45726666666666665,0.007165426249242501,0.015670125927779197,0.5066,0.5011,0.5097,0.5058,0.004355456348076543,0.008611024808375925,0.866047959280165,0.8634545390186235,0.04853333333333337,-0.0019000000000000128,-0.41379310344827863,-0.00013333333333331865,-0.026353933324545782
1000,10,alignment_norm,0.7619,0.7681,0.7645,0.7648333333333334,0.0031134118476894923,0.004070706272856168,0.794,0.7821,0.783,0.7863666666666668,0.006625959050079728,0.008426042622287815,0.7794604347114367,0.7782179658188937,0.021533333333333404,0.0,0.0,0.0,0.0
