image_name,class_id,class_name,User_1_alignment,User_2_alignment,User_3_alignment,alignment_mean,alignment_max-min
000641.png,632,loudspeaker,5.0,0.0,3.33,2.78,5.0
000907.png,962,meat loaf,5.0,3.33,0.0,2.78,5.0
000904.png,962,meat loaf,5.0,4.38,0.0,3.13,5.0
000900.png,962,meat loaf,5.0,3.75,0.0,2.92,5.0
000511.png,481,cassette,0.0,5.0,1.67,2.22,5.0
000531.png,499,cleaver,0.0,4.44,5.0,3.15,5.0
000441.png,432,bassoon,5.0,0.0,0.0,1.67,5.0
000613.png,605,iPod,0.0,2.78,5.0,2.59,5.0
000604.png,590,hand-held computer,5.0,0.0,0.0,1.67,5.0
000373.png,406,altar,5.0,0.0,2.78,2.59,5.0
000358.png,400,academic gown,5.0,0.0,0.0,1.67,5.0
000387.png,413,assault rifle,0.0,5.0,3.33,2.78,5.0
000704.png,687,organ,5.0,0.0,2.22,2.41,5.0
000702.png,687,organ,5.0,1.11,0.0,2.04,5.0
000701.png,687,organ,5.0,0.0,2.78,2.59,5.0
000715.png,730,plow,5.0,0.0,3.0,2.67,5.0
000712.png,730,plow,5.0,0.0,0.0,1.67,5.0
000882.png,952,fig,5.0,4.29,0.0,3.1,5.0
000931.png,972,cliff,3.12,5.0,0.0,2.71,5.0
000927.png,971,bubble,5.0,3.89,0.0,2.96,5.0
000922.png,971,bubble,0.0,4.38,5.0,3.13,5.0
000921.png,971,bubble,4.44,0.0,5.0,3.15,5.0
000908.png,962,meat loaf,5.0,3.33,0.0,2.78,5.0
000708.png,687,organ,5.0,4.29,0.0,3.1,5.0
000707.png,687,organ,5.0,2.22,0.0,2.41,5.0
000706.png,687,organ,5.0,0.0,2.78,2.59,5.0
000716.png,730,plow,5.0,0.0,2.5,2.5,5.0
000599.png,585,hair spray,0.0,5.0,3.89,2.96,5.0
000491.png,477,carpenter's kit,0.0,5.0,0.56,1.85,5.0
000732.png,746,puck,5.0,0.0,2.22,2.41,5.0
000727.png,743,prison,5.0,0.0,0.0,1.67,5.0
000283.png,356,weasel,0.0,5.0,3.33,2.78,5.0
000747.png,755,radio telescope,5.0,1.0,0.0,2.0,5.0
000745.png,755,radio telescope,5.0,0.0,0.0,1.67,5.0
000873.png,943,cucumber,5.0,3.75,0.0,2.92,5.0
000869.png,931,bagel,5.0,4.38,0.0,3.13,5.0
000862.png,931,bagel,5.0,5.0,0.0,3.33,5.0
000857.png,928,ice cream,4.44,5.0,0.0,3.15,5.0
000801.png,903,wig,5.0,0.0,2.78,2.59,5.0
000250.png,333,hamster,5.0,0.0,0.0,1.67,5.0
000821.png,919,street sign,0.0,5.0,2.78,2.59,5.0
000818.png,917,comic book,2.5,0.0,5.0,2.5,5.0
000209.png,159,Rhodesian ridgeback,5.0,2.86,0.0,2.62,5.0
000562.png,554,fireboat,3.75,5.0,0.0,2.92,5.0
000561.png,554,fireboat,5.0,5.0,0.0,3.33,5.0
000174.png,147,grey whale,5.0,0.0,1.67,2.22,5.0
000171.png,147,grey whale,5.0,0.0,0.0,1.67,5.0
000170.png,147,grey whale,5.0,0.0,0.0,1.67,5.0
000132.png,116,chiton,0.0,0.0,5.0,1.67,5.0
000130.png,116,chiton,5.0,5.0,0.0,3.33,5.0
000838.png,920,traffic light,5.0,0.56,0.0,1.85,5.0
000837.png,920,traffic light,5.0,3.33,0.0,2.78,5.0
000836.png,920,traffic light,5.0,2.22,0.0,2.41,5.0
000992.png,999,toilet tissue,5.0,2.22,0.0,2.41,5.0
000991.png,999,toilet tissue,5.0,0.0,0.0,1.67,5.0
000006.png,4,hammerhead,2.86,0.0,5.0,2.62,5.0
000519.png,481,cassette,0.0,5.0,2.22,2.41,5.0
000041.png,35,mud turtle,5.0,0.0,4.0,3.0,5.0
000048.png,35,mud turtle,4.0,5.0,0.0,3.0,5.0
000964.png,983,scuba diver,1.67,5.0,0.0,2.22,5.0
000969.png,983,scuba diver,5.0,0.0,0.0,1.67,5.0
000853.png,928,ice cream,5.0,3.75,0.56,3.1,4.44
