image_name,class_id,class_name,User_1_artifact,User_2_artifact,User_3_artifact,artifact_mean,artifact_max-min
000995.png,999,toilet tissue,4,5,0,3.0,5
000905.png,962,meat loaf,4,5,0,3.0,5
000906.png,962,meat loaf,5,3,0,2.67,5
000130.png,116,chiton,4,5,0,3.0,5
000902.png,962,meat loaf,5,5,0,3.33,5
000964.png,983,scuba diver,5,5,0,3.33,5
000397.png,415,bakery,4,5,0,3.0,5
000931.png,972,cliff,5,5,0,3.33,5
000398.png,415,bakery,4,5,0,3.0,5
000330.png,394,sturgeon,2,5,0,2.33,5
000924.png,971,bubble,4,4,0,2.67,4
000900.png,962,meat loaf,5,4,1,3.33,4
000078.png,51,triceratops,4,1,0,1.67,4
000177.png,147,grey whale,5,2,1,2.67,4
000178.png,147,grey whale,5,1,1,2.33,4
000196.png,156,Blenheim spaniel,4,4,0,2.67,4
000285.png,356,weasel,4,2,0,2.0,4
000429.png,426,barometer,3,4,0,2.33,4
000428.png,426,barometer,3,4,0,2.33,4
000441.png,432,bassoon,4,2,0,2.0,4
000552.png,535,disk brake,3,1,5,3.0,4
000241.png,330,wood rabbit,4,0,0,1.33,4
000990.png,999,toilet tissue,4,2,0,2.0,4
000907.png,962,meat loaf,5,4,1,3.33,4
000992.png,999,toilet tissue,4,3,0,2.33,4
000993.png,999,toilet tissue,5,5,1,3.67,4
000991.png,999,toilet tissue,5,3,1,3.0,4
000423.png,426,barometer,4,3,0,2.33,4
000071.png,51,triceratops,4,2,0,2.0,4
000416.png,421,bannister,4,2,0,2.0,4
000277.png,347,bison,4,3,0,2.33,4
000981.png,991,coral fungus,4,3,0,2.33,4
000424.png,426,barometer,3,4,0,2.33,4
000087.png,52,thunder snake,4,4,1,3.0,3
000083.png,52,thunder snake,3,1,0,1.33,3
000004.png,4,hammerhead,5,2,3,3.33,3
000008.png,4,hammerhead,4,2,1,2.33,3
000006.png,4,hammerhead,4,1,2,2.33,3
000908.png,962,meat loaf,5,4,2,3.67,3
000103.png,80,black grouse,3,4,1,2.67,3
000904.png,962,meat loaf,4,5,2,3.67,3
000132.png,116,chiton,5,2,3,3.33,3
000126.png,106,wombat,3,4,1,2.67,3
000082.png,52,thunder snake,3,1,0,1.33,3
000089.png,52,thunder snake,1,1,4,2.0,3
000197.png,156,Blenheim spaniel,3,3,0,2.0,3
000630.png,626,lighter,2,4,5,3.67,3
000759.png,756,rain barrel,3,2,5,3.33,3
000835.png,920,traffic light,1,3,0,1.33,3
000801.png,903,wig,3,1,4,2.67,3
000814.png,917,comic book,4,2,1,2.33,3
000736.png,746,puck,1,4,3,2.67,3
000717.png,730,plow,2,3,5,3.33,3
000657.png,633,loupe,3,2,5,3.33,3
000674.png,645,maypole,1,4,2,2.33,3
000655.png,633,loupe,4,2,5,3.67,3
000739.png,746,puck,1,3,4,2.67,3
000737.png,746,puck,3,5,2,3.33,3
000774.png,810,space bar,3,2,5,3.33,3
000439.png,429,baseball,3,3,0,2.0,3
000446.png,432,bassoon,2,3,0,1.67,3
000449.png,432,bassoon,2,3,0,1.67,3
000458.png,443,bib,5,2,3,3.33,3
000467.png,446,binder,4,1,3,2.67,3
000464.png,446,binder,1,3,0,1.33,3
000483.png,461,breastplate,3,1,4,2.67,3
000531.png,499,cleaver,2,5,4,3.67,3
000627.png,606,iron,2,3,5,3.33,3
000550.png,535,disk brake,3,2,5,3.33,3
000558.png,535,disk brake,4,2,5,3.67,3
000596.png,585,hair spray,3,1,0,1.33,3
000609.png,590,hand-held computer,3,2,5,3.33,3
000640.png,632,loudspeaker,2,3,5,3.33,3
000419.png,421,bannister,3,2,0,1.67,3
