image_name,class_id,class_name,User_1_alignment,User_2_alignment,User_3_alignment,User_1_artifact,User_2_artifact,User_3_artifact,alignment_max-min,artifact_max-min
000006.png,4,hammerhead,2.86,0.0,5.0,4,1,2,5.0,3
000132.png,116,chiton,0.0,0.0,5.0,5,2,3,5.0,3
000130.png,116,chiton,5.0,5.0,0.0,4,5,0,5.0,5
000170.png,147,grey whale,5.0,0.0,0.0,4,2,3,5.0,2
000041.png,35,mud turtle,5.0,0.0,4.0,3,1,3,5.0,2
000991.png,999,toilet tissue,5.0,0.0,0.0,5,3,1,5.0,4
000908.png,962,meat loaf,5.0,3.33,0.0,5,4,2,5.0,3
000706.png,687,organ,5.0,0.0,2.78,4,2,4,5.0,2
000707.png,687,organ,5.0,2.22,0.0,4,3,5,5.0,2
000747.png,755,radio telescope,5.0,1.0,0.0,3,3,1,5.0,2
000745.png,755,radio telescope,5.0,0.0,0.0,3,2,1,5.0,2
000701.png,687,organ,5.0,0.0,2.78,3,3,5,5.0,2
000704.png,687,organ,5.0,0.0,2.22,4,2,4,5.0,2
000907.png,962,meat loaf,5.0,3.33,0.0,5,4,1,5.0,4
000873.png,943,cucumber,5.0,3.75,0.0,4,3,2,5.0,2
000904.png,962,meat loaf,5.0,4.38,0.0,4,5,2,5.0,3
000900.png,962,meat loaf,5.0,3.75,0.0,5,4,1,5.0,4
000857.png,928,ice cream,4.44,5.0,0.0,4,4,2,5.0,2
000837.png,920,traffic light,5.0,3.33,0.0,2,4,3,5.0,2
000818.png,917,comic book,2.5,0.0,5.0,3,1,1,5.0,2
000801.png,903,wig,5.0,0.0,2.78,3,1,4,5.0,3
000441.png,432,bassoon,5.0,0.0,0.0,4,2,0,5.0,4
000531.png,499,cleaver,0.0,4.44,5.0,2,5,4,5.0,3
000927.png,971,bubble,5.0,3.89,0.0,2,3,1,5.0,2
000931.png,972,cliff,3.12,5.0,0.0,5,5,0,5.0,5
000969.png,983,scuba diver,5.0,0.0,0.0,1,2,0,5.0,2
000992.png,999,toilet tissue,5.0,2.22,0.0,4,3,0,5.0,4
000715.png,730,plow,5.0,0.0,3.0,4,3,5,5.0,2
000964.png,983,scuba diver,1.67,5.0,0.0,5,5,0,5.0,5
000358.png,400,academic gown,5.0,0.0,0.0,1,3,0,5.0,3
000373.png,406,altar,5.0,0.0,2.78,3,1,3,5.0,2
000641.png,632,loudspeaker,5.0,0.0,3.33,3,5,4,5.0,2
000387.png,413,assault rifle,0.0,5.0,3.33,3,4,5,5.0,2
000209.png,159,Rhodesian ridgeback,5.0,2.86,0.0,2,2,0,5.0,2
000250.png,333,hamster,5.0,0.0,0.0,3,2,0,5.0,3
000133.png,116,chiton,0.0,4.44,2.5,5,3,5,4.44,2
000537.png,499,cleaver,4.38,4.44,0.0,3,4,5,4.44,2
000649.png,632,loudspeaker,5.0,0.56,2.78,2,3,4,4.44,2
000733.png,746,puck,5.0,0.56,5.0,3,2,4,4.44,2
000948.png,981,ballplayer,5.0,0.56,1.88,3,3,1,4.44,2
000814.png,917,comic book,5.0,0.56,0.56,4,2,1,4.44,3
000694.png,679,necklace,4.38,0.0,2.78,3,2,4,4.38,2
000946.png,981,ballplayer,4.38,0.0,0.56,3,2,1,4.38,2
000864.png,931,bagel,4.38,4.29,0.0,4,4,2,4.38,2
000729.png,743,prison,3.33,0.0,4.38,2,1,3,4.38,2
000277.png,347,bison,4.17,1.88,0.0,4,3,0,4.17,4
000718.png,730,plow,4.17,0.0,0.0,4,2,2,4.17,2
000285.png,356,weasel,4.0,1.25,0.0,4,2,0,4.0,4
000724.png,743,prison,5.0,1.0,2.5,4,2,4,4.0,2
000878.png,943,cucumber,5.0,1.0,1.67,4,3,5,4.0,2
000726.png,743,prison,5.0,1.0,5.0,2,2,4,4.0,2
000446.png,432,bassoon,4.0,1.88,0.0,2,3,0,4.0,3
000467.png,446,binder,1.67,0.0,3.89,4,1,3,3.89,3
000798.png,836,sunglass,5.0,2.14,1.11,4,3,2,3.89,2
000954.png,982,groom,5.0,1.11,1.67,3,3,1,3.89,2
000813.png,917,comic book,5.0,1.11,1.67,4,4,2,3.89,2
000993.png,999,toilet tissue,2.78,5.0,1.11,5,5,1,3.89,4
000700.png,687,organ,5.0,1.11,2.78,4,3,5,3.89,2
000662.png,634,lumbermill,5.0,1.67,1.11,5,3,3,3.89,2
000490.png,477,carpenter's kit,0.0,2.22,3.89,3,3,5,3.89,2
000382.png,413,assault rifle,5.0,1.11,4.44,3,2,4,3.89,2
000137.png,116,chiton,0.0,3.89,0.0,4,3,5,3.89,2
000486.png,461,breastplate,0.0,0.0,3.89,3,2,4,3.89,2
000424.png,426,barometer,4.38,1.88,0.56,3,4,0,3.82,4
000423.png,426,barometer,4.38,0.62,0.56,4,3,0,3.82,4
000196.png,156,Blenheim spaniel,3.75,3.75,0.0,4,4,0,3.75,4
000054.png,39,common iguana,4.29,1.25,5.0,4,2,3,3.75,2
000711.png,730,plow,2.5,0.0,3.75,4,3,5,3.75,2
000168.png,144,pelican,4.29,0.56,1.11,4,2,3,3.73,2
000638.png,626,lighter,5.0,1.43,2.22,3,4,5,3.57,2
000065.png,49,African crocodile,3.57,0.0,0.0,2,1,0,3.57,2
000083.png,52,thunder snake,3.57,0.0,0.0,3,1,0,3.57,3
000082.png,52,thunder snake,3.57,0.0,0.0,3,1,0,3.57,3
000333.png,394,sturgeon,3.33,5.0,1.43,2,5,2,3.57,3
000516.png,481,cassette,1.43,2.5,5.0,3,4,5,3.57,2
000066.png,49,African crocodile,3.75,0.5,4.0,3,2,4,3.5,2
000352.png,400,academic gown,4.17,5.0,1.67,2,4,1,3.33,3
000416.png,421,bannister,3.33,1.11,0.0,4,2,0,3.33,4
000384.png,413,assault rifle,0.0,3.33,3.33,1,4,4,3.33,3
000197.png,156,Blenheim spaniel,3.33,1.25,0.0,3,3,0,3.33,3
000281.png,356,weasel,3.33,0.0,3.33,3,3,5,3.33,2
000353.png,400,academic gown,5.0,4.38,1.67,2,3,0,3.33,3
000357.png,400,academic gown,5.0,3.33,1.67,1,3,1,3.33,2
000449.png,432,bassoon,3.33,0.62,0.0,2,3,0,3.33,3
000458.png,443,bib,3.33,1.11,0.0,5,2,3,3.33,3
000739.png,746,puck,5.0,1.67,1.67,1,3,4,3.33,3
000774.png,810,space bar,5.0,1.67,2.78,3,2,5,3.33,3
000924.png,971,bubble,3.33,0.56,0.0,4,4,0,3.33,4
000671.png,645,maypole,0.0,1.67,3.33,1,3,2,3.33,2
000709.png,687,organ,5.0,1.67,3.33,3,3,5,3.33,2
000186.png,150,sea lion,3.33,0.0,1.11,4,2,4,3.33,2
000089.png,52,thunder snake,3.33,0.0,1.88,1,1,4,3.33,3
000167.png,144,pelican,5.0,1.67,2.86,4,4,2,3.33,2
000827.png,919,street sign,5.0,1.67,1.67,4,3,2,3.33,2
000535.png,499,cleaver,3.12,0.0,1.67,3,2,4,3.12,2
000290.png,365,orangutan,5.0,3.12,1.88,4,3,2,3.12,2
000937.png,972,cliff,5.0,2.22,1.88,5,4,3,3.12,2
000374.png,406,altar,5.0,1.88,3.33,4,2,3,3.12,2
000545.png,529,diaper,4.17,1.11,3.33,4,3,5,3.06,2
000078.png,51,triceratops,3.0,0.0,0.0,4,1,0,3.0,4
000042.png,35,mud turtle,3.33,2.0,5.0,3,2,5,3.0,3
000279.png,347,bison,3.0,0.0,0.0,2,2,0,3.0,2
000744.png,755,radio telescope,5.0,2.0,4.0,4,3,2,3.0,2
000079.png,51,triceratops,5.0,2.0,5.0,5,3,4,3.0,2
000975.png,985,daisy,0.0,3.0,0.0,5,5,3,3.0,2
000626.png,606,iron,3.5,1.5,0.5,4,2,4,3.0,2
000397.png,415,bakery,3.0,0.56,0.0,4,5,0,3.0,5
000398.png,415,bakery,3.0,0.0,0.0,4,5,0,3.0,5
000660.png,634,lumbermill,4.0,1.67,1.11,4,3,2,2.89,2
000330.png,394,sturgeon,2.86,2.86,0.0,2,5,0,2.86,5
000039.png,25,European fire salamander,2.14,2.14,5.0,2,2,4,2.86,2
000609.png,590,hand-held computer,4.29,1.43,4.17,3,2,5,2.86,3
000347.png,396,lionfish,5.0,2.14,2.14,4,2,4,2.86,2
000453.png,443,bib,0.0,2.86,0.0,1,3,3,2.86,2
000982.png,991,coral fungus,5.0,2.22,4.44,5,3,4,2.78,2
000316.png,389,barracouta,3.89,3.33,1.11,5,5,3,2.78,2
000630.png,626,lighter,3.0,5.0,2.22,2,4,5,2.78,3
000143.png,118,Dungeness crab,2.22,0.0,2.78,2,3,1,2.78,2
000400.png,419,Band Aid,0.0,0.0,2.78,3,2,5,2.78,3
000627.png,606,iron,5.0,2.22,3.0,2,3,5,2.78,3
000822.png,919,street sign,5.0,2.22,2.22,4,3,5,2.78,2
000689.png,654,minibus,5.0,2.78,2.22,4,3,5,2.78,2
000329.png,392,rock beauty,2.86,4.17,1.43,2,4,3,2.74,2
000000.png,4,hammerhead,3.75,1.11,2.0,4,2,3,2.64,2
000179.png,147,grey whale,3.75,3.33,1.11,3,5,5,2.64,2
