image_name,class_id,class_name,User_1_alignment,User_1_artifact,User_2_alignment,User_2_artifact,User_3_alignment,User_3_artifact,alignment_mean,artifact_mean,alignment_zscore,artifact_zscore,alignment_additive,artifact_additive
000000.png,4,hammerhead,3.75,4.0,1.11,2.0,2.0,3.0,2.29,3.0,2.29,3.0,2.29,3.0
000001.png,4,hammerhead,4.29,5.0,4.44,5.0,3.75,5.0,4.16,5.0,4.17,5.03,4.16,5.0
000002.png,4,hammerhead,2.5,4.0,2.0,3.0,4.17,4.0,2.89,3.67,2.86,3.64,2.89,3.67
000003.png,4,hammerhead,3.12,4.0,1.5,3.0,5.0,4.0,3.21,3.67,3.21,3.64,3.21,3.67
000004.png,4,hammerhead,4.29,5.0,2.0,2.0,3.33,3.0,3.21,3.33,3.24,3.39,3.21,3.33
000005.png,4,hammerhead,2.86,1.0,0.0,1.0,0.0,1.0,0.95,1.0,0.92,0.92,0.95,1.0
000006.png,4,hammerhead,2.86,4.0,0.0,1.0,5.0,2.0,2.62,2.33,2.63,2.36,2.62,2.33
000007.png,4,hammerhead,5.0,5.0,4.44,5.0,5.0,4.0,4.81,4.67,4.86,4.74,4.81,4.67
000008.png,4,hammerhead,4.17,4.0,2.5,2.0,2.5,1.0,3.06,2.33,3.07,2.43,3.06,2.33
000009.png,4,hammerhead,3.12,5.0,2.5,3.0,5.0,3.0,3.54,3.67,3.54,3.74,3.54,3.67
000010.png,7,cock,3.5,5.0,2.73,4.0,3.57,4.0,3.27,4.33,3.26,4.39,3.27,4.33
000011.png,7,cock,5.0,5.0,4.17,5.0,5.0,4.0,4.72,4.67,4.77,4.74,4.72,4.67
000012.png,7,cock,4.0,3.0,3.64,4.0,5.0,3.0,4.21,3.33,4.23,3.33,4.21,3.33
000013.png,7,cock,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.33,5.04,4.39,5.0,4.33
000014.png,7,cock,4.29,5.0,5.0,5.0,5.0,4.0,4.76,4.67,4.78,4.74,4.76,4.67
000015.png,7,cock,3.18,4.0,1.82,3.0,5.0,3.0,3.33,3.33,3.34,3.36,3.33,3.33
000016.png,7,cock,4.09,4.0,4.09,4.0,3.33,3.0,3.84,3.67,3.84,3.72,3.84,3.67
000017.png,7,cock,2.73,4.0,2.0,4.0,4.0,2.0,2.91,3.33,2.89,3.43,2.91,3.33
000018.png,7,cock,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.04,5.03,5.0,5.0
000019.png,7,cock,5.0,4.0,5.0,4.0,5.0,3.0,5.0,3.67,5.04,3.72,5.0,3.67
000020.png,10,brambling,4.0,5.0,5.0,5.0,4.38,5.0,4.46,5.0,4.46,5.03,4.46,5.0
000021.png,10,brambling,4.5,4.0,4.44,4.0,5.0,4.0,4.65,4.0,4.67,4.0,4.65,4.0
000022.png,10,brambling,2.5,3.0,2.22,3.0,5.0,4.0,3.24,3.33,3.22,3.26,3.24,3.33
000023.png,10,brambling,4.38,5.0,2.22,4.0,3.75,4.0,3.45,4.33,3.48,4.39,3.45,4.33
000024.png,10,brambling,4.5,4.0,5.0,5.0,4.38,5.0,4.63,4.67,4.64,4.64,4.63,4.67
000025.png,10,brambling,3.5,4.0,5.0,4.0,5.0,4.0,4.5,4.0,4.48,4.0,4.5,4.0
000026.png,10,brambling,4.0,3.0,2.22,2.0,5.0,3.0,3.74,2.67,3.77,2.62,3.74,2.67
000027.png,10,brambling,4.44,4.0,5.0,5.0,5.0,5.0,4.81,4.67,4.83,4.64,4.81,4.67
000028.png,10,brambling,4.44,4.0,2.22,2.0,3.57,2.0,3.41,2.67,3.44,2.72,3.41,2.67
