Source                       c2i (output copy)                      c2i (output)                   User_1 adjusted                   User_2 adjusted                   User_3 adjusted
Image                        align    artifact                 align    artifact                 align    artifact                 align    artifact                 align    artifact
======================================================================================================================================================================================
000000.png                    3.85         3.2                   4.0         2.5                  3.89           3                   2.5           2                   3.0           3
000001.png                    4.15        2.65                  4.75        2.25                  4.38           4                  4.44           4                  4.17           4
000002.png                     4.2         2.8                   4.5         2.5                   3.5           3                  3.12           3                  4.29           3
000003.png                    4.15        2.65                   4.2         2.8                  3.57           3                  2.86           3                   4.5           3
000004.png                     3.2         1.8                  3.85        2.15                  3.89           3                  2.78           2                   3.5           2
000005.png                    4.15        2.75                   4.5         2.5                  3.57           2                  2.14           2                  2.14           2
000006.png                    4.65         1.5                  4.15        2.65                  3.57           3                  2.22           2                   4.5           2
000007.png                     4.2         1.5                  4.15         1.5                   4.5           3                  4.29           3                   4.5           3
000008.png                    4.75         3.0                  4.75         3.0                  4.44           4                  3.57           2                  3.57           2
000009.png                    3.62         1.5                  4.15         1.5                   3.5           3                  3.12           2                  4.44           2
000010.png                     4.2         1.5                   4.2         1.5                  3.89           3                   3.5           3                  3.89           3
000011.png                    4.25         1.5                  4.85         1.5                   5.0           3                  4.38           3                   5.0           3
000012.png                    4.09         1.5                  3.85         1.5                   4.0           2                  3.75           3                   4.5           2
000013.png                     4.2         3.8                  3.85         3.8                   4.5           4                   4.5           4                   4.5           4
000014.png                     4.2         4.0                  4.85        4.75                  4.38           5                  4.55           5                  4.55           4
000015.png                    1.82         4.2                  1.82         4.2                   2.5           4                  1.82           4                  3.33           4
000016.png                    3.25         1.5                  3.82         1.5                  3.75           3                  3.75           3                   3.5           2
000017.png                    3.82         1.5                  3.62         1.5                  3.18           3                  2.86           3                  3.89           2
000018.png                    3.25         1.5                   4.2         4.0                  4.38           4                  4.38           4                  4.38           4
000019.png                     4.2         1.5                  3.85         1.5                   4.5           3                   4.5           3                   4.5           2
000020.png                    4.65         1.5                   4.2         1.5                  4.17           3                   4.5           3                  4.38           3
000021.png                     4.2         1.5                   4.2         1.5                  4.38           3                  4.29           3                   4.5           3
000022.png                     4.2         1.5                  4.85         1.5                   3.5           2                  3.33           2                   5.0           3
000023.png                    2.35        2.82                   4.2         2.1                  3.89           4                  2.78           3                   3.5           3
000024.png                    4.25         1.5                   4.2         1.5                  4.38           3                   4.5           3                  4.29           3
000025.png                    4.85        3.75                  4.85         4.2                  4.17           4                   5.0           4                   5.0           4
000026.png                    4.65         1.5                  4.35         1.5                  4.29           2                  3.33           2                   4.5           2
000027.png                     4.2         1.5                  4.85         1.5                   4.5           3                   5.0           3                   5.0           3
000028.png                     4.2         1.5                   4.2         1.5                  4.29           3                  3.12           2                  3.89           2
000029.png                    4.35         1.5                   4.8         1.5                   4.0           3                  3.57           3                   5.0           2
000030.png                     4.2         3.0                   4.2         2.8                  3.57           3                  4.17           3                  4.29           4
000031.png                    4.85         2.0                  4.65         2.0                  4.29           4                  4.29           4                   5.0           3
000032.png                    3.85         1.5                   3.2         1.5                  3.75           3                  4.29           3                  3.75           3
000033.png                    4.85         3.0                  3.85         3.0                  4.29           4                  4.29           4                   5.0           4
000034.png                    3.25         1.5                   3.2         1.5                  3.57           3                  3.33           3                   3.0           3
000035.png                    1.85         1.5                  3.75         3.2                  3.33           3                  2.86           3                   4.0           4
000036.png                    3.82         1.5                  3.85         1.5                  3.57           2                  3.33           2                  4.29           3
000037.png                    2.73         1.5                   3.2         1.5                  2.86           2                   2.5           2                  3.33           2
000038.png                    4.85         4.9                  4.95        4.95                  4.29           5                  4.29           4                  4.29           5
000039.png                     4.2         2.0                  3.85         2.0                   3.0           2                   3.0           2                  4.29           3
