run,img_id,sys_alignment,sys_authenticity,cl_alignment,cl_authenticity,cl_total
Human_anno_1_vs_Sys,0,5.0,4.6,5.0,4.0,20.0
Human_anno_1_vs_Sys,1,2.67,2.5,3.33,2.0,6.66
Human_anno_1_vs_Sys,2,5.0,5.0,5.0,5.0,25.0
Human_anno_1_vs_Sys,3,5.0,4.2,5.0,4.0,20.0
Human_anno_1_vs_Sys,4,0.0,0.0,5.0,0.0,0.0
Human_anno_1_vs_Sys,5,3.75,2.0,3.75,2.0,7.5
Human_anno_1_vs_Sys,6,5.0,3.2,5.0,3.0,15.0
Human_anno_1_vs_Sys,7,4.33,3.0,5.0,3.0,15.0
Human_anno_1_vs_Sys,8,3.25,4.8,5.0,5.0,25.0
Human_anno_1_vs_Sys,9,1.0,3.2,3.75,3.0,11.25
Human_anno_1_vs_Sys,10,5.0,4.3,5.0,4.0,20.0
Human_anno_1_vs_Sys,11,1.67,2.5,1.67,2.0,3.34
Human_anno_1_vs_Sys,12,5.0,5.0,5.0,5.0,25.0
Human_anno_1_vs_Sys,13,3.33,3.2,3.33,3.0,9.99
Human_anno_1_vs_Sys,14,2.0,4.5,2.0,5.0,10.0
Human_anno_1_vs_Sys,15,5.0,4.0,5.0,2.0,10.0
Human_anno_1_vs_Sys,16,4.75,3.8,5.0,4.0,20.0
Human_anno_1_vs_Sys,17,5.0,4.2,5.0,4.0,20.0
Human_anno_1_vs_Sys,18,3.33,4.0,3.33,4.0,13.32
Human_anno_1_vs_Sys,19,3.4,2.5,5.0,2.0,10.0
Human_anno_1_vs_Sys,20,3.33,2.5,3.33,2.0,6.66
Human_anno_1_vs_Sys,21,2.0,2.0,2.0,2.0,4.0
Human_anno_1_vs_Sys,22,5.0,2.5,5.0,3.0,15.0
Human_anno_1_vs_Sys,23,5.0,2.0,5.0,2.0,10.0
Human_anno_1_vs_Sys,24,5.0,4.3,5.0,4.0,20.0
Human_anno_1_vs_Sys,25,5.0,4.3,5.0,4.0,20.0
Human_anno_1_vs_Sys,26,3.33,3.5,3.33,4.0,13.32
Human_anno_1_vs_Sys,27,2.62,3.2,3.75,3.0,11.25
Human_anno_1_vs_Sys,28,5.0,4.3,5.0,4.0,20.0
Human_anno_1_vs_Sys,29,4.75,2.7,3.33,3.0,9.99
Human_anno_1_vs_Sys,30,5.0,4.2,5.0,4.0,20.0
Human_anno_1_vs_Sys,31,2.0,2.5,2.0,4.0,8.0
Human_anno_1_vs_Sys,32,3.33,3.0,3.33,4.0,13.32
Human_anno_1_vs_Sys,33,3.65,3.0,4.0,4.0,16.0
Human_anno_1_vs_Sys,34,3.33,5.0,3.33,5.0,16.65
Human_anno_1_vs_Sys,35,5.0,2.0,5.0,2.0,10.0
Human_anno_1_vs_Sys,36,4.72,3.2,3.33,3.0,9.99
Human_anno_1_vs_Sys,37,5.0,5.0,5.0,5.0,25.0
Human_anno_1_vs_Sys,38,5.0,3.8,5.0,4.0,20.0
Human_anno_1_vs_Sys,39,5.0,3.5,5.0,2.0,10.0
Human_anno_1_vs_Sys,40,2.83,2.5,3.33,2.0,6.66
Human_anno_1_vs_Sys,41,3.75,4.2,3.75,4.0,15.0
Human_anno_1_vs_Sys,42,3.33,2.5,3.33,2.0,6.66
Human_anno_1_vs_Sys,43,5.0,4.0,5.0,4.0,20.0
Human_anno_1_vs_Sys,44,4.0,4.9,5.0,4.0,20.0
Human_anno_1_vs_Sys,45,5.0,3.4,5.0,4.0,20.0
Human_anno_1_vs_Sys,46,1.58,3.8,1.67,4.0,6.68
Human_anno_1_vs_Sys,47,2.5,2.8,1.67,3.0,5.01
Human_anno_1_vs_Sys,48,2.33,3.8,3.33,4.0,13.32
Human_anno_1_vs_Sys,49,4.0,4.2,4.0,4.0,16.0
Human_anno_1_vs_Sys,50,5.0,5.0,5.0,5.0,25.0
Human_anno_1_vs_Sys,51,5.0,4.2,5.0,4.0,20.0
Human_anno_1_vs_Sys,52,5.0,4.2,5.0,4.0,20.0
Human_anno_1_vs_Sys,53,5.0,4.0,5.0,4.0,20.0
Human_anno_1_vs_Sys,54,3.33,4.8,3.33,5.0,16.65
Human_anno_1_vs_Sys,55,5.0,4.8,5.0,5.0,25.0
Human_anno_1_vs_Sys,56,5.0,2.5,5.0,2.0,10.0
Human_anno_1_vs_Sys,57,3.19,2.0,3.75,2.0,7.5
Human_anno_1_vs_Sys,58,4.33,4.9,5.0,5.0,25.0
Human_anno_1_vs_Sys,59,1.67,4.8,1.67,5.0,8.35
Human_anno_1_vs_Sys,60,5.0,5.0,5.0,5.0,25.0
Human_anno_1_vs_Sys,61,3.0,4.8,5.0,5.0,25.0
Human_anno_1_vs_Sys,62,5.0,4.3,5.0,4.0,20.0
Human_anno_1_vs_Sys,63,4.75,2.5,5.0,3.0,15.0
Human_anno_1_vs_Sys,64,5.0,4.2,5.0,4.0,20.0
Human_anno_1_vs_Sys,65,5.0,3.0,5.0,3.0,15.0
Human_anno_1_vs_Sys,66,5.0,4.3,5.0,5.0,25.0
