img_id,all_correct_1,n_correct_1,n_atoms_1,ge2_gm,ge2_am,all_correct_2,n_correct_2,n_atoms_2,all_correct_3,n_correct_3,n_atoms_3
0,1,5,5,0.9999996042862842,0.9999996042864636,1,5,5,1,5,5
1,1,3,3,0.6061429194276101,0.7409007026245397,1,3,3,1,3,3
2,1,3,3,0.9999989262677379,0.9999989262688586,1,3,3,1,3,3
3,1,3,3,0.4387215208394573,0.6139694615036799,1,3,3,1,3,3
4,0,2,4,1.5092262771271665e-05,0.49999993705422896,0,2,4,0,2,4
5,0,3,4,0.07694926061772611,0.7500076056564624,0,3,4,0,3,4
6,1,3,3,0.9999999272381017,0.999999927238108,1,3,3,1,3,3
7,0,2,3,0.0012045757189393953,0.66666622436891,0,2,3,0,2,3
8,0,3,4,0.014719947380081163,0.7499999305555536,0,3,4,0,3,4
9,0,3,4,0.0641845004736577,0.7500039866866495,0,3,4,0,3,4
10,1,3,3,0.979460958232475,0.9798799146968897,1,3,3,1,3,3
11,0,2,3,0.06460707305425378,0.6667565890979034,0,2,3,0,2,3
12,1,5,5,0.9999999689674853,0.9999999689674859,1,5,5,1,5,5
13,1,3,3,0.02646961432493916,0.666672841215265,1,3,3,1,3,3
14,1,5,5,0.0012085817322291775,0.398201923908008,1,5,5,1,5,5
15,1,5,5,0.9095436855595134,0.924493292980873,1,5,5,1,5,5
16,1,3,3,0.982037595691162,0.9823583026353336,1,3,3,1,3,3
17,1,5,5,1.0000000041096198,1.0000000041096222,1,5,5,1,5,5
18,1,3,3,0.9977551434592271,0.9977600892305879,1,3,3,1,3,3
19,1,5,5,0.7754515242482667,0.8155799702953331,1,5,5,1,5,5
20,1,3,3,0.9999987652813978,0.9999987652828392,1,3,3,1,3,3
21,0,3,5,0.0031932408768621107,0.6000015677957004,0,3,5,0,3,5
22,1,4,4,0.04682826845383067,0.750001049097045,1,4,4,1,4,4
23,1,4,4,0.9964151721910585,0.9964343109624884,1,4,4,1,4,4
24,1,3,3,0.9999999408775125,0.9999999408775145,1,3,3,1,3,3
25,1,3,3,0.9999998591597502,0.9999998591597677,1,3,3,1,3,3
26,0,2,3,0.00547212632915385,0.666650684966545,0,2,3,0,2,3
27,0,3,4,0.09902463746207771,0.7500239599556848,0,3,4,0,3,4
28,0,4,5,0.015766789045591006,0.6000209927797452,0,4,5,0,4,5
29,1,3,3,0.9999992206773746,0.999999220677615,1,3,3,1,3,3
30,1,3,3,0.16300473752708708,0.6681100821831576,1,3,3,1,3,3
31,0,4,5,0.31643706006139505,0.8006311465381504,0,4,5,0,4,5
32,0,1,3,0.0016441380824660217,0.3341589635278601,0,1,3,0,1,3
33,0,4,5,0.07962544761480674,0.7976473151534844,0,4,5,0,4,5
34,0,2,3,0.0009264648031246619,0.6666552258812264,0,2,3,0,2,3
35,0,2,3,0.0042341502835016335,0.6664103540437053,0,2,3,0,2,3
36,0,1,3,0.0017284193085232299,0.3340974850896375,0,1,3,0,1,3
37,0,2,3,0.0029963237806525924,0.6666666861795152,0,2,3,0,2,3
38,0,2,3,0.020311373099166422,0.6666694730168373,0,2,3,0,2,3
39,0,2,3,0.0007910076736278195,0.6666666773836002,0,2,3,0,2,3
40,0,1,3,0.00018150192273599822,0.33334579467218806,0,1,3,0,1,3
41,0,3,4,0.016185530111747844,0.7500000194763973,0,3,4,0,3,4
42,0,2,3,0.22135749898127202,0.6702636041302155,0,2,3,1,3,3
43,1,4,4,0.999994755786748,0.999994755823401,1,4,4,1,4,4
44,1,3,3,0.9999836326164653,0.9999836326873298,1,3,3,1,3,3
45,1,5,5,0.9986743499668811,0.998677859681895,1,5,5,1,5,5
46,0,1,3,0.016202827892893908,0.6666668290734773,0,1,3,0,1,3
47,0,2,3,0.007664284210904869,0.37350885256151317,0,2,3,0,2,3
48,1,3,3,0.02006840256417308,0.6666692377462073,1,3,3,1,3,3
49,1,5,5,0.9095501448355826,0.9244979336380303,1,5,5,1,5,5
50,1,3,3,0.9671486019457806,0.9682159901066504,1,3,3,1,3,3
51,1,3,3,0.9896030428943237,0.9896323132542673,1,3,3,1,3,3
52,1,3,3,0.9998764102056679,0.9998764126551426,1,3,3,1,3,3
53,0,2,3,0.0006301345132452912,0.6666379901638506,0,2,3,0,2,3
54,0,1,3,0.0029822231088483075,0.6663776889458859,0,1,3,0,2,3
