img_id,all_correct_1,n_correct_1,n_atoms_1,ge2_gm,ge2_am,all_correct_2,n_correct_2,n_atoms_2,all_correct_3,n_correct_3,n_atoms_3
0,1,5,5,0.21759278908208013,0.8000656118357206,1,5,5,1,5,5
1,1,3,3,9.986356304068014e-05,0.6653041485955137,1,3,3,1,3,3
2,1,3,3,0.9993449151568871,0.9993453213217167,1,3,3,1,3,3
3,1,3,3,0.10505414925731217,0.6641806251339571,1,3,3,1,3,3
4,0,2,4,0.006014267736037862,0.5000767695665989,0,2,4,0,2,4
5,0,3,4,0.46351182887625575,0.7552732926902588,0,3,4,0,3,4
6,1,3,3,9.999278986134676e-09,0.3332612371452862,1,3,3,1,3,3
7,0,2,3,0.0036045462544278596,0.6661076190728794,0,2,3,0,2,3
8,0,3,4,0.0009999851792850758,0.7499851794075614,0,3,4,0,3,4
9,0,3,4,0.0008928942384978137,0.6588337198803322,0,3,4,0,3,4
10,1,3,3,0.027780059677231662,0.6666046936621722,1,3,3,1,3,3
11,0,2,3,0.034195418201677166,0.666230003825116,0,2,3,0,2,3
12,1,5,5,0.9999664688871602,0.9999664706040015,1,5,5,1,5,5
13,1,3,3,9.999884189676274e-05,0.6666550857442676,1,3,3,1,3,3
14,1,5,5,0.0032883540954483912,0.2523355835450554,1,5,5,1,5,5
15,1,5,5,0.5181167255913014,0.8068807130367219,1,5,5,1,5,5
16,1,3,3,0.8790097956645538,0.8930560703610727,1,3,3,1,3,3
17,1,5,5,0.9999815235352977,0.9999815239426004,1,5,5,1,5,5
18,1,3,3,0.9950533621026276,0.9950744443833819,1,3,3,1,3,3
19,1,5,5,0.2559567661708549,0.6577051163939927,1,5,5,1,5,5
20,1,3,3,0.013122405359851335,0.666658764932598,1,3,3,1,3,3
21,0,3,5,0.002671725690683864,0.599975306697433,0,3,5,0,3,5
22,1,4,4,0.9162551714305862,0.9261452601176495,1,4,4,1,4,4
23,1,4,4,0.9994670967357131,0.9994674218082187,1,4,4,1,4,4
24,1,3,3,0.9712022938352145,0.9720221679463307,1,3,3,1,3,3
25,1,3,3,0.9999751731564535,0.9999751736449386,1,3,3,1,3,3
26,0,2,3,0.00444095054209342,0.666446594754357,0,2,3,0,2,3
27,0,3,4,0.9980588607700343,0.9980642769097531,0,3,4,0,3,4
28,0,4,5,0.004747491278779015,0.5998717623875589,0,4,5,0,4,5
29,1,3,3,0.9993524807675086,0.9993528875396948,1,3,3,1,3,3
30,1,3,3,9.996947749833519e-05,0.6663615344038032,1,3,3,1,3,3
31,0,4,5,0.43175934525194953,0.686475337970651,0,4,5,0,4,5
32,0,1,3,0.0002698515223759143,0.33282505535418283,0,1,3,0,1,3
33,0,4,5,0.03759784161855144,0.7711460685585753,0,4,5,0,4,5
34,0,2,3,0.006697277983671791,0.6606697905555329,0,2,3,0,2,3
35,0,2,3,0.04159856509932805,0.6542065384079486,0,2,3,0,2,3
36,0,1,3,0.000740249580181902,0.3332794803536951,0,1,3,0,1,3
37,0,2,3,0.04762691820455451,0.6641613339153009,0,2,3,0,2,3
38,0,2,3,9.999841172833441e-05,0.666650784013759,0,2,3,0,2,3
39,0,2,3,0.004441879931382964,0.6666634077733664,0,2,3,0,2,3
40,0,1,3,0.0002304899477353374,0.33309894317889,0,1,3,0,1,3
41,0,3,4,0.034198952005712144,0.7499879495172018,0,3,4,0,3,4
42,0,2,3,0.013075413323070823,0.6630015905021712,0,2,3,1,3,3
43,1,4,4,0.9992946592930664,0.9992949266481783,1,4,4,1,4,4
44,1,3,3,0.9992480325815608,0.9992485467710542,1,3,3,1,3,3
45,1,5,5,0.9998845313394883,0.9998845360514437,1,5,5,1,5,5
46,0,1,3,0.6058035527592586,0.7403737002667371,0,1,3,0,1,3
47,0,2,3,0.10100504661832499,0.666452201860789,0,2,3,0,2,3
48,1,3,3,0.02664256836548589,0.6664871251439994,1,3,3,1,3,3
49,1,5,5,0.15721414430569794,0.7998920767390458,1,5,5,1,5,5
50,1,3,3,0.9931208511241957,0.9931679755857371,1,3,3,1,3,3
51,1,3,3,0.0403983849573632,0.6661785925284126,1,3,3,1,3,3
52,1,3,3,0.9986055718069448,0.9986073691392819,1,3,3,1,3,3
53,0,2,3,0.013084841566249361,0.6637472088200703,0,2,3,0,2,3
54,0,1,3,9.939175425739244e-05,0.6606204267031063,0,1,3,0,2,3
55,1,5,5,0.42616493623503793,0.8027132542434074,1,5,5,1,5,5
56,0,4,5,0.03254547843498699,0.7998839562298065,0,4,5,0,4,5
57,0,3,4,0.06003114012520966,0.7499382745893498,0,3,4,0,3,4
58,1,3,3,0.9967726977406813,0.9967800983283387,1,3,3,1,3,3
59,0,1,3,7.020419138709508e-07,0.3327375023478526,0,1,3,0,1,3
60,1,3,3,0.9992546088086167,0.99925515446788,1,3,3,1,3,3
61,1,5,5,0.9999450710017319,0.9999450732074543,1,5,5,1,5,5
62,1,3,3,0.008275072429805783,0.3349812085934943,1,3,3,1,3,3
63,0,2,3,9.999970736059983e-05,0.6666637402761063,0,2,3,0,2,3
64,1,4,4,0.9998852999155996,0.9998853060893165,1,4,4,1,4,4
65,1,4,4,0.0009999886301553932,0.7499886302900028,0,3,4,0,3,4
66,1,3,3,0.9996657929241518,0.9996658941683294,1,3,3,1,3,3
67,0,2,3,0.006193167698820968,0.5111801367231129,0,2,3,0,2,3
68,1,3,3,0.9992517363507286,0.9992520994761902,1,3,3,1,3,3
69,1,3,3,0.9993925475464374,0.9993926524067209,1,3,3,1,3,3
70,1,4,4,0.9999443896030147,0.9999443916872494,1,4,4,1,4,4
71,0,4,5,0.08415156749047585,0.799866662589943,0,4,5,0,4,5
72,0,1,3,0.00079348542989365,0.3418226896206848,0,1,3,0,1,3
73,0,2,3,9.997318564258282e-05,0.6663985943357486,0,2,3,0,2,3
74,0,1,3,9.401711659747373e-07,0.33313713817191426,0,1,3,0,1,3
75,0,1,3,0.0014978223241535562,0.33694047648511233,0,1,3,0,1,3
76,0,2,3,9.255996490353124e-05,0.597662435323644,0,2,3,0,2,3
77,0,2,3,0.001807694080351155,0.34346142737957575,0,2,3,0,2,3
78,1,3,3,0.9999733197259758,0.9999733201650919,1,3,3,1,3,3
79,1,5,5,0.9868525503958069,0.9871628030853193,1,5,5,1,5,5
80,0,4,5,0.3444505652892003,0.7461350513397382,0,4,5,0,4,5
81,1,3,3,0.9995000586875386,0.9995002905046758,1,3,3,1,3,3
82,0,4,6,0.0013818019130866547,0.666639054859213,0,4,6,0,4,6
83,0,4,5,0.003980958138133014,0.7999714737247716,0,4,5,0,4,5
