run,img_id,sys_alignment,sys_authenticity,cl_alignment,cl_authenticity,cl_total
output_flux2_dev_800_1,0,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,1,5.0,4.4,5.0,4.0,20.0
output_flux2_dev_800_1,2,5.0,4.5,5.0,4.0,20.0
output_flux2_dev_800_1,3,5.0,4.5,5.0,4.0,20.0
output_flux2_dev_800_1,4,3.75,4.8,3.75,5.0,18.75
output_flux2_dev_800_1,5,3.75,3.2,3.75,3.0,11.25
output_flux2_dev_800_1,6,5.0,3.5,5.0,4.0,20.0
output_flux2_dev_800_1,7,5.0,5.0,5.0,5.0,25.0
output_flux2_dev_800_1,8,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,9,3.75,4.2,3.75,4.0,15.0
output_flux2_dev_800_1,10,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,11,4.0,2.5,5.0,2.0,10.0
output_flux2_dev_800_1,12,5.0,4.6,5.0,5.0,25.0
output_flux2_dev_800_1,13,5.0,3.5,5.0,4.0,20.0
output_flux2_dev_800_1,14,5.0,3.2,5.0,3.0,15.0
output_flux2_dev_800_1,15,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,16,4.83,2.0,5.0,2.0,10.0
output_flux2_dev_800_1,17,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,18,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,19,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,20,3.33,4.8,3.33,5.0,16.65
output_flux2_dev_800_1,21,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,22,5.0,3.0,5.0,3.0,15.0
output_flux2_dev_800_1,23,5.0,4.0,5.0,4.0,20.0
output_flux2_dev_800_1,24,5.0,4.3,5.0,4.0,20.0
output_flux2_dev_800_1,25,5.0,4.7,5.0,5.0,25.0
output_flux2_dev_800_1,26,4.83,3.8,5.0,4.0,20.0
output_flux2_dev_800_1,27,5.0,5.0,5.0,5.0,25.0
output_flux2_dev_800_1,28,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,29,3.33,4.2,3.33,4.0,13.32
output_flux2_dev_800_1,30,3.83,3.8,5.0,4.0,20.0
output_flux2_dev_800_1,31,4.0,4.5,4.0,4.0,16.0
output_flux2_dev_800_1,32,5.0,4.0,5.0,4.0,20.0
output_flux2_dev_800_1,33,5.0,3.0,5.0,3.0,15.0
output_flux2_dev_800_1,34,5.0,5.0,5.0,5.0,25.0
output_flux2_dev_800_1,35,4.83,4.0,5.0,4.0,20.0
output_flux2_dev_800_1,36,3.17,3.8,3.33,4.0,13.32
output_flux2_dev_800_1,37,5.0,3.8,5.0,4.0,20.0
output_flux2_dev_800_1,38,3.33,4.8,3.33,5.0,16.65
output_flux2_dev_800_1,39,3.33,2.8,3.33,3.0,9.99
output_flux2_dev_800_1,40,3.33,4.0,3.33,4.0,13.32
output_flux2_dev_800_1,41,3.75,5.0,3.75,5.0,18.75
output_flux2_dev_800_1,42,4.92,4.3,5.0,4.0,20.0
output_flux2_dev_800_1,43,5.0,4.3,5.0,4.0,20.0
output_flux2_dev_800_1,44,4.08,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,45,5.0,4.6,5.0,5.0,25.0
output_flux2_dev_800_1,46,3.33,3.5,3.33,4.0,13.32
output_flux2_dev_800_1,47,5.0,5.0,5.0,5.0,25.0
output_flux2_dev_800_1,48,4.17,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,49,4.0,4.2,4.0,4.0,16.0
output_flux2_dev_800_1,50,4.17,4.8,5.0,5.0,25.0
output_flux2_dev_800_1,51,5.0,4.5,5.0,4.0,20.0
output_flux2_dev_800_1,52,4.58,3.5,5.0,4.0,20.0
output_flux2_dev_800_1,53,5.0,3.8,5.0,4.0,20.0
output_flux2_dev_800_1,54,3.33,4.0,3.33,4.0,13.32
output_flux2_dev_800_1,55,5.0,4.9,5.0,5.0,25.0
output_flux2_dev_800_1,56,5.0,3.9,5.0,4.0,20.0
output_flux2_dev_800_1,57,3.75,3.8,3.75,4.0,15.0
output_flux2_dev_800_1,58,4.33,4.2,5.0,4.0,20.0
