run,img_id,sys_alignment,sys_authenticity,cl_alignment,cl_authenticity,cl_total
output_flux2_dev_800_11,0,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_11,1,5.0,4.4,5.0,4.0,20.0
output_flux2_dev_800_11,2,5.0,4.5,5.0,4.0,20.0
output_flux2_dev_800_11,3,5.0,4.5,5.0,4.0,20.0
output_flux2_dev_800_11,4,3.75,4.8,3.75,5.0,18.75
output_flux2_dev_800_11,5,3.75,3.2,3.75,3.0,11.25
output_flux2_dev_800_11,6,5.0,3.5,5.0,4.0,20.0
output_flux2_dev_800_11,7,5.0,5.0,5.0,5.0,25.0
output_flux2_dev_800_11,8,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_11,9,3.75,4.2,3.75,4.0,15.0
output_flux2_dev_800_11,10,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_11,11,4.0,2.5,5.0,2.0,10.0
output_flux2_dev_800_11,12,5.0,4.6,5.0,5.0,25.0
output_flux2_dev_800_11,13,5.0,3.5,5.0,4.0,20.0
output_flux2_dev_800_11,14,5.0,3.2,5.0,3.0,15.0
output_flux2_dev_800_11,15,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_11,16,4.83,2.0,5.0,2.0,10.0
output_flux2_dev_800_11,17,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_11,18,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_11,19,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_11,20,3.33,4.8,3.33,5.0,16.65
output_flux2_dev_800_11,21,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_11,22,5.0,3.0,5.0,3.0,15.0
output_flux2_dev_800_11,23,5.0,4.0,5.0,4.0,20.0
output_flux2_dev_800_11,24,5.0,4.3,5.0,4.0,20.0
output_flux2_dev_800_11,25,5.0,4.7,5.0,5.0,25.0
output_flux2_dev_800_11,26,4.83,3.8,5.0,4.0,20.0
output_flux2_dev_800_11,27,5.0,5.0,5.0,5.0,25.0
output_flux2_dev_800_11,28,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_11,29,3.33,4.2,3.33,4.0,13.32
output_flux2_dev_800_11,30,3.83,3.8,5.0,4.0,20.0
output_flux2_dev_800_11,31,4.0,4.5,4.0,4.0,16.0
output_flux2_dev_800_11,32,5.0,4.0,5.0,4.0,20.0
output_flux2_dev_800_11,33,5.0,3.0,5.0,3.0,15.0
output_flux2_dev_800_11,34,5.0,5.0,5.0,5.0,25.0
output_flux2_dev_800_11,35,4.83,4.0,5.0,4.0,20.0
output_flux2_dev_800_11,36,3.17,3.8,3.33,4.0,13.32
output_flux2_dev_800_11,37,5.0,3.8,5.0,4.0,20.0
output_flux2_dev_800_11,38,3.33,4.8,3.33,5.0,16.65
output_flux2_dev_800_11,39,3.33,2.8,3.33,3.0,9.99
output_flux2_dev_800_11,40,3.33,4.0,3.33,4.0,13.32
output_flux2_dev_800_11,41,3.75,5.0,3.75,5.0,18.75
output_flux2_dev_800_11,42,4.92,4.3,5.0,4.0,20.0
output_flux2_dev_800_11,43,5.0,4.3,5.0,4.0,20.0
output_flux2_dev_800_11,44,4.08,4.2,5.0,4.0,20.0
output_flux2_dev_800_11,45,5.0,4.6,5.0,5.0,25.0
output_flux2_dev_800_11,46,3.33,3.5,3.33,4.0,13.32
output_flux2_dev_800_11,47,5.0,5.0,5.0,5.0,25.0
output_flux2_dev_800_11,48,4.17,4.2,5.0,4.0,20.0
output_flux2_dev_800_11,49,4.0,4.2,4.0,4.0,16.0
output_flux2_dev_800_11,50,4.17,4.8,5.0,5.0,25.0
output_flux2_dev_800_11,51,5.0,4.5,5.0,4.0,20.0
output_flux2_dev_800_11,52,4.58,3.5,5.0,4.0,20.0
output_flux2_dev_800_11,53,5.0,3.8,5.0,4.0,20.0
output_flux2_dev_800_11,54,3.33,4.0,3.33,4.0,13.32
output_flux2_dev_800_11,55,5.0,4.9,5.0,5.0,25.0
output_flux2_dev_800_11,56,5.0,3.9,5.0,4.0,20.0
output_flux2_dev_800_11,57,3.75,3.8,3.75,4.0,15.0
output_flux2_dev_800_11,58,4.33,4.2,5.0,4.0,20.0
output_flux2_dev_800_11,59,3.33,4.8,3.33,5.0,16.65
output_flux2_dev_800_11,60,5.0,4.3,5.0,4.0,20.0
output_flux2_dev_800_11,61,5.0,3.2,5.0,3.0,15.0
output_flux2_dev_800_11,62,4.83,3.8,5.0,4.0,20.0
output_flux2_dev_800_11,63,5.0,4.6,5.0,5.0,25.0
output_flux2_dev_800_11,64,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_11,65,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_11,66,5.0,4.3,5.0,4.0,20.0
output_flux2_dev_800_11,67,3.33,3.5,5.0,4.0,20.0
output_flux2_dev_800_11,68,4.92,4.8,5.0,5.0,25.0
output_flux2_dev_800_11,69,5.0,4.8,5.0,5.0,25.0
output_flux2_dev_800_11,70,4.94,4.2,5.0,4.0,20.0
output_flux2_dev_800_11,71,5.0,4.7,5.0,5.0,25.0
output_flux2_dev_800_11,72,5.0,4.6,5.0,5.0,25.0
output_flux2_dev_800_11,73,3.83,4.2,5.0,4.0,20.0
output_flux2_dev_800_11,74,4.17,4.8,5.0,5.0,25.0
output_flux2_dev_800_11,75,5.0,3.5,5.0,4.0,20.0
output_flux2_dev_800_11,76,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_11,77,3.33,3.8,3.33,4.0,13.32
output_flux2_dev_800_11,78,5.0,4.9,5.0,5.0,25.0
output_flux2_dev_800_11,79,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_11,80,5.0,4.6,5.0,5.0,25.0
output_flux2_dev_800_11,81,4.0,4.3,5.0,4.0,20.0
output_flux2_dev_800_11,82,3.33,3.8,5.0,4.0,20.0
output_flux2_dev_800_11,83,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_11,84,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_11,85,4.0,4.5,4.0,4.0,16.0
output_flux2_dev_800_11,86,5.0,3.2,5.0,3.0,15.0
output_flux2_dev_800_11,87,3.5,4.2,3.75,4.0,15.0
output_flux2_dev_800_11,88,5.0,4.3,5.0,4.0,20.0
output_flux2_dev_800_11,89,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_11,90,5.0,3.5,5.0,4.0,20.0
output_flux2_dev_800_11,91,1.25,3.2,3.75,3.0,11.25
output_flux2_dev_800_11,92,4.67,4.9,5.0,5.0,25.0
output_flux2_dev_800_11,93,4.5,3.9,5.0,4.0,20.0
output_flux2_dev_800_11,94,0.67,4.2,5.0,4.0,20.0
output_flux2_dev_800_11,95,4.5,4.9,5.0,5.0,25.0
output_flux2_dev_800_11,96,3.7,3.8,5.0,4.0,20.0
output_flux2_dev_800_11,97,5.0,3.8,5.0,4.0,20.0
output_flux2_dev_800_11,98,5.0,4.3,5.0,4.0,20.0
output_flux2_dev_800_11,99,4.83,3.2,5.0,3.0,15.0
output_flux2_dev_800_11,100,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_11,101,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_11,102,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_11,103,3.9,4.2,5.0,4.0,20.0
output_flux2_dev_800_11,104,4.75,3.5,5.0,4.0,20.0
output_flux2_dev_800_11,105,5.0,4.5,5.0,4.0,20.0
output_flux2_dev_800_11,106,5.0,4.3,5.0,4.0,20.0
output_flux2_dev_800_11,107,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_11,108,5.0,4.8,5.0,5.0,25.0
output_flux2_dev_800_11,109,5.0,5.0,5.0,5.0,25.0
output_flux2_dev_800_11,110,5.0,3.5,5.0,4.0,20.0
output_flux2_dev_800_11,111,5.0,4.0,5.0,4.0,20.0
output_flux2_dev_800_11,112,4.17,4.2,4.17,4.0,16.68
output_flux2_dev_800_11,113,5.0,5.0,5.0,5.0,25.0
output_flux2_dev_800_11,114,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_11,115,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_11,116,4.0,3.5,4.0,4.0,16.0
