img_id,all_correct_1,n_correct_1,n_atoms_1,ge2_gm,ge2_am,all_correct_2,n_correct_2,n_atoms_2,all_correct_3,n_correct_3,n_atoms_3
0,1,5,5,0.9997761566402218,0.9997762194465617,1,5,5,1,5,5
1,0,2,3,9.922813702368388e-05,0.65900743326397,0,2,3,0,2,3
2,1,3,3,0.9989374614393832,0.9989385791775124,1,3,3,1,3,3
3,1,3,3,0.49212305751279656,0.7063420302124195,1,3,3,1,3,3
4,1,4,4,0.8882021915468782,0.905581842164552,1,4,4,1,4,4
5,0,3,4,0.0009970533583429331,0.7470633936968563,0,3,4,0,3,4
6,1,3,3,0.9999641901854757,0.9999641903797206,1,3,3,1,3,3
7,1,3,3,0.986683274928718,0.98683259394295,1,3,3,1,3,3
8,1,4,4,0.999978143440091,0.9999781436683289,1,4,4,1,4,4
9,0,3,4,0.0009976899038578475,0.7476978338159546,0,3,4,0,3,4
10,1,3,3,0.9552200042730666,0.9571600011752045,1,3,3,1,3,3
11,0,1,3,9.453729382016493e-05,0.6149679473997107,0,2,3,0,2,3
12,1,5,5,0.999954028263933,0.9999540312777,1,5,5,1,5,5
13,0,2,3,0.020724487272244126,0.6662116471763614,0,2,3,0,2,3
14,0,2,5,0.00192702180613079,0.3774296388978036,0,2,5,0,2,5
15,1,5,5,0.9999645429962328,0.9999645435677984,1,5,5,1,5,5
16,1,3,3,0.999697734422098,0.9996977984201156,1,3,3,1,3,3
17,1,5,5,0.9999723306862054,0.9999723317606168,1,5,5,1,5,5
18,0,2,3,0.010911873759871188,0.6493165584500901,0,2,3,0,2,3
19,1,5,5,0.5426915498321747,0.8062465807641092,1,5,5,1,5,5
20,0,2,3,9.999978878093825e-05,0.6666645544783489,0,2,3,0,2,3
21,0,2,5,0.06326241941617129,0.789681659650998,0,4,5,0,4,5
22,1,4,4,0.9999497555174088,0.9999497566763039,1,4,4,1,4,4
23,1,4,4,0.366205903675132,0.7544726097013865,1,4,4,1,4,4
24,1,3,3,0.9903148389684142,0.9904077758244285,1,3,3,1,3,3
25,1,3,3,0.9997204099426676,0.9997204857501193,1,3,3,1,3,3
26,1,3,3,0.014869927301031935,0.6666022710223606,1,3,3,1,3,3
27,0,3,4,0.9382107358637071,0.9436920230413002,0,3,4,0,3,4
28,1,5,5,0.9987774143190389,0.9987789772127533,1,5,5,1,5,5
29,0,2,3,0.9996100062207451,0.9996101299577848,1,3,3,0,2,3
30,1,3,3,0.9946626309076749,0.9946910591681069,1,3,3,1,3,3
31,0,2,5,0.002002628274112328,0.38798197480495145,0,2,5,0,2,5
32,0,2,3,0.0404196559265776,0.6666055178262862,0,2,3,0,2,3
33,0,4,5,0.048546024975979374,0.7997571493584957,0,4,5,0,4,5
34,0,2,3,0.019089693460279385,0.6663992276335119,0,2,3,0,2,3
35,1,3,3,0.9996665863935278,0.9996666936639368,1,3,3,1,3,3
36,0,2,3,0.018284776962889663,0.6653246285256772,0,2,3,0,2,3
37,1,3,3,0.9999036661119731,0.9999036750809918,1,3,3,1,3,3
38,1,3,3,0.9999657624710954,0.9999657627860908,1,3,3,1,3,3
39,1,3,3,0.9943836664528117,0.9944139638543179,1,3,3,1,3,3
40,0,1,3,0.0007708868231792776,0.3322375516851666,0,1,3,0,1,3
41,0,3,4,0.04676626058434344,0.7499122389508774,0,3,4,0,3,4
42,0,2,3,0.08902298420125022,0.6661609674019896,1,3,3,1,3,3
43,1,4,4,0.9998731390319023,0.9998731471121525,1,4,4,1,4,4
44,1,3,3,0.6648245647439792,0.7645577363518025,1,3,3,1,3,3
45,1,5,5,0.990300404123268,0.9904854843081721,1,5,5,1,5,5
46,0,1,3,1.365996555950313e-06,0.3317197834434886,0,1,3,0,1,3
47,0,2,3,0.024357427553312987,0.6606844204184864,0,2,3,0,2,3
48,0,2,3,9.886343503127559e-05,0.6553455521405337,0,2,3,0,2,3
49,0,4,5,0.11942640846943285,0.7999552766157647,0,4,5,0,4,5
50,1,3,3,0.958577659282424,0.9602696340801896,1,3,3,1,3,3
51,1,3,3,0.6583397949892876,0.7507043689316474,1,3,3,1,3,3
52,1,3,3,0.9971106858475206,0.99711883466668,1,3,3,1,3,3
53,1,3,3,0.04393364650775441,0.6666487328655795,1,3,3,1,3,3
54,0,2,3,0.00594297445695954,0.6661233450990482,0,2,3,0,2,3
55,1,5,5,0.8473271022406808,0.8870839381401925,1,5,5,1,5,5
56,1,5,5,0.9999321827009012,0.9999321834170051,1,5,5,1,5,5
57,0,3,4,0.08710805743481864,0.7499647951367558,0,3,4,0,3,4
58,1,3,3,0.9929979513513166,0.9930284291683168,1,3,3,1,3,3
59,0,1,3,0.0004675080372359032,0.3326576578746547,0,1,3,0,1,3
60,1,3,3,0.9998205786653691,0.9998206097215704,1,3,3,1,3,3
61,1,5,5,0.9998881809544906,0.9998881957664872,1,5,5,1,5,5
62,1,3,3,0.03417158784127828,0.6653372275411574,1,3,3,1,3,3
63,1,3,3,0.9999492481120319,0.9999492496543504,1,3,3,1,3,3
64,1,4,4,0.9999521180320006,0.9999521183654512,1,4,4,1,4,4
65,1,4,4,0.9998787443500636,0.9998787501394856,1,4,4,0,3,4
66,1,3,3,0.01900661883259525,0.6620861020416848,1,3,3,1,3,3
67,1,3,3,0.9465978662739425,0.9492550792090407,1,3,3,1,3,3
68,1,3,3,0.9195156563267843,0.9258194179166841,1,3,3,1,3,3
69,1,3,3,0.9977484075028579,0.9977533635768093,1,3,3,1,3,3
70,1,4,4,0.9999307191184352,0.999930724774224,1,4,4,1,4,4
71,0,4,5,0.7114785944261691,0.8363547308097324,0,4,5,0,4,5
72,0,2,3,0.00269299583309666,0.6662325959871794,0,2,3,0,2,3
73,0,2,3,0.01110398662566953,0.6663605044358675,0,2,3,0,2,3
74,0,1,3,1.0654381183654483e-06,0.33321887353947893,0,2,3,0,1,3
75,1,3,3,0.05318284955215698,0.35016567721151787,1,3,3,1,3,3
76,1,3,3,0.7624847219286819,0.8143523927802349,1,3,3,1,3,3
77,1,3,3,1.0965965024720178e-05,0.332038474043633,1,3,3,1,3,3
78,1,3,3,0.9999594400346412,0.999959440449937,1,3,3,1,3,3
79,0,4,5,0.15719337369615852,0.7997602649567896,0,4,5,0,4,5
80,1,5,5,0.7470039470565353,0.8457695398025737,1,5,5,1,5,5
81,1,3,3,0.8253357034117342,0.854056902846818,1,3,3,1,3,3
82,0,4,6,0.0014108839984180764,0.6666339517697066,0,4,6,0,4,6
83,1,5,5,0.9999603720458521,0.9999603731020074,1,5,5,1,5,5
84,1,3,3,0.9992339642519742,0.9992344742076383,1,3,3,1,3,3
85,0,3,5,0.01576315668800523,0.6000268811211041,0,3,5,0,3,5
