img_id,all_correct_1,n_correct_1,n_atoms_1,ge2_gm,ge2_am,all_correct_2,n_correct_2,n_atoms_2,all_correct_3,n_correct_3,n_atoms_3
0,1,5,5,1.0000000060120295,1.0000000060120298,1,5,5,1,5,5
1,0,2,3,0.2842958869184796,0.6743260113144508,0,2,3,0,2,3
2,1,3,3,0.9999999710378269,0.9999999710378281,1,3,3,1,3,3
3,1,3,3,0.9935260378713225,0.993567851618276,1,3,3,1,3,3
4,1,4,4,0.017790658233113543,0.7499997312469822,1,4,4,1,4,4
5,0,3,4,0.010511095506765057,0.7499999153996489,0,3,4,0,3,4
6,1,3,3,0.9999997011598732,0.9999997011599357,1,3,3,1,3,3
7,1,3,3,0.9848262195469643,0.9850551910867763,1,3,3,1,3,3
8,1,4,4,0.999999667206507,0.9999996672067009,1,4,4,1,4,4
9,0,3,4,0.08316996453956794,0.7500113114059651,0,3,4,0,3,4
10,1,3,3,0.33311727034330607,0.6789883339052638,1,3,3,1,3,3
11,0,1,3,0.00830201772699878,0.6666668364069078,0,2,3,0,2,3
12,1,5,5,0.9999999894211137,0.9999999894211149,1,5,5,1,5,5
13,0,2,3,0.001226980170359367,0.6666666561349869,0,2,3,0,2,3
14,0,2,5,0.024583386961691763,0.38025763217329667,0,2,5,0,2,5
15,1,5,5,0.9999999584056751,0.9999999584056771,1,5,5,1,5,5
16,1,3,3,0.9999996274838031,0.9999996274838315,1,3,3,1,3,3
17,1,5,5,0.9999999631616997,0.9999999631617001,1,5,5,1,5,5
18,0,2,3,0.0008006345062604637,0.6644357069369417,0,2,3,0,2,3
19,1,5,5,0.9999965232339304,0.9999965232575064,1,5,5,1,5,5
20,0,2,3,0.00045879458398717876,0.6666667058034159,0,2,3,0,2,3
21,0,2,5,0.20179270069841826,0.8000111042590344,0,4,5,0,4,5
22,1,4,4,0.08741521782180858,0.750014399325771,1,4,4,1,4,4
23,1,4,4,0.9899733378020228,0.9901231332776674,1,4,4,1,4,4
24,1,3,3,1.0000000063581183,1.0000000063581196,1,3,3,1,3,3
25,1,3,3,0.9999999467804136,0.9999999467804161,1,3,3,1,3,3
26,1,3,3,0.024209279157697355,0.6666713625299517,1,3,3,1,3,3
27,0,3,4,0.09188532314805853,0.7497916050672884,0,3,4,0,3,4
28,1,5,5,0.999889282816286,0.9998893072584469,1,5,5,1,5,5
29,0,2,3,0.9999119891934568,0.9999119967450066,1,3,3,0,2,3
30,1,3,3,0.99998685271581,0.9999868528381487,1,3,3,1,3,3
31,0,2,5,0.0037332051090548327,0.41519565908232836,0,2,5,0,2,5
32,0,2,3,0.8253245355642131,0.8540594375840694,0,2,3,0,2,3
33,0,4,5,0.055506243253393164,0.7999564478378779,0,4,5,0,4,5
34,0,2,3,0.008718643244836278,0.666666416610143,0,2,3,0,2,3
35,1,3,3,0.9999593251585562,0.999959326806345,1,3,3,1,3,3
36,0,2,3,0.03438857456191693,0.6666789599592967,0,2,3,0,2,3
37,1,3,3,0.9999989026998218,0.9999989027010531,1,3,3,1,3,3
38,1,3,3,0.39099965383992896,0.6865921120015143,1,3,3,1,3,3
39,1,3,3,0.09662902586861023,0.6669673789920715,1,3,3,1,3,3
40,0,1,3,0.0001950378700025355,0.33337464070287903,0,1,3,0,1,3
41,0,3,4,0.01779230624575336,0.7500000018179429,0,3,4,0,3,4
42,0,2,3,0.8975612568555665,0.9076965550319572,1,3,3,1,3,3
43,1,4,4,0.9999997186453137,0.9999997186454197,1,4,4,1,4,4
44,1,3,3,0.999997020893743,0.9999970209028497,1,3,3,1,3,3
45,1,5,5,0.6968493287999361,0.8326688706034663,1,5,5,1,5,5
