run,img_id,sys_alignment,sys_authenticity,cl_alignment,cl_authenticity,cl_total
output_sd3_m_800_1,0,5.0,3.8,5.0,4.0,20.0
output_sd3_m_800_1,1,5.0,4.5,5.0,4.0,20.0
output_sd3_m_800_1,2,5.0,4.3,5.0,4.0,20.0
output_sd3_m_800_1,3,5.0,4.6,5.0,5.0,25.0
output_sd3_m_800_1,4,2.5,3.5,2.5,4.0,10.0
output_sd3_m_800_1,5,4.79,2.5,3.75,2.0,7.5
output_sd3_m_800_1,6,5.0,3.8,5.0,4.0,20.0
output_sd3_m_800_1,7,3.33,2.5,3.33,2.0,6.66
output_sd3_m_800_1,8,3.75,2.8,3.75,3.0,11.25
output_sd3_m_800_1,9,3.75,4.2,3.75,4.0,15.0
output_sd3_m_800_1,10,5.0,2.3,5.0,2.0,10.0
output_sd3_m_800_1,11,3.33,4.2,3.33,4.0,13.32
output_sd3_m_800_1,12,5.0,5.0,5.0,5.0,25.0
output_sd3_m_800_1,13,5.0,3.0,5.0,3.0,15.0
output_sd3_m_800_1,14,3.8,3.2,5.0,3.0,15.0
output_sd3_m_800_1,15,5.0,5.0,5.0,5.0,25.0
output_sd3_m_800_1,16,4.0,3.5,5.0,4.0,20.0
output_sd3_m_800_1,17,5.0,3.8,5.0,4.0,20.0
output_sd3_m_800_1,18,5.0,4.3,5.0,4.0,20.0
output_sd3_m_800_1,19,5.0,4.2,5.0,4.0,20.0
output_sd3_m_800_1,20,5.0,3.0,5.0,3.0,15.0
output_sd3_m_800_1,21,3.0,4.5,3.0,4.0,12.0
output_sd3_m_800_1,22,5.0,3.2,5.0,3.0,15.0
output_sd3_m_800_1,23,5.0,2.8,5.0,3.0,15.0
output_sd3_m_800_1,24,5.0,3.2,5.0,3.0,15.0
output_sd3_m_800_1,25,5.0,3.8,5.0,4.0,20.0
output_sd3_m_800_1,26,3.0,4.3,3.33,4.0,13.32
output_sd3_m_800_1,27,3.12,3.0,3.75,3.0,11.25
output_sd3_m_800_1,28,4.0,4.2,4.0,4.0,16.0
output_sd3_m_800_1,29,4.17,2.8,5.0,3.0,15.0
output_sd3_m_800_1,30,5.0,2.5,5.0,2.0,10.0
output_sd3_m_800_1,31,3.6,4.2,4.0,4.0,16.0
output_sd3_m_800_1,32,1.67,2.8,1.67,3.0,5.01
output_sd3_m_800_1,33,4.0,3.5,4.0,4.0,16.0
output_sd3_m_800_1,34,3.33,4.8,3.33,5.0,16.65
output_sd3_m_800_1,35,3.33,4.0,3.33,4.0,13.32
output_sd3_m_800_1,36,1.67,2.5,1.67,2.0,3.34
output_sd3_m_800_1,37,3.33,2.5,3.33,2.0,6.66
